Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Measurement date,
1,1,="",14.66,23.64,23.64,57.7,57.6,23.25,23.54,10/2/2023 3:05:57 PM,
2,1,="",14.66,23.64,23.64,57.6,57,23.34,23.44,10/2/2023 3:07:03 PM,
3,1,="",14.66,23.64,23.64,57.3,58.1,23.44,23.34,10/2/2023 3:08:15 PM,
4,1,="",14.66,23.64,23.64,56.8,56.3,23.25,23.54,10/2/2023 3:09:52 PM,
5,1,="",14.66,23.64,23.73,57.3,57.9,23.34,23.25,10/2/2023 3:10:54 PM,
6,1,="",14.66,23.73,23.73,57.6,56.6,23.25,23.25,10/2/2023 3:11:58 PM,
7,1,="",14.66,23.73,23.73,56.8,57.4,23.34,23.25,10/2/2023 3:13:02 PM,
8,1,="",14.66,23.73,23.73,58.1,56.6,23.34,23.25,10/2/2023 3:14:06 PM,
9,1,="",14.66,23.73,23.73,56.6,57.1,23.25,23.34,10/2/2023 3:15:08 PM,


Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,new alamar blue,0,1467,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),
2,new alamar blue,0,1358,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),
3,new alamar blue,0,1468,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),
4,new alamar blue,0,1350,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),
5,new alamar blue,0,1411,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),
6,new alamar blue,0,1393,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),
7,new alamar blue,0,1342,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),
8,new alamar blue,0,1372,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),
9,new alamar blue,0,1607,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),,
Plate,Well,Signal,MeasTime,
1,A01,532627,00:00:00.000,
1,A02,536976,00:00:00.094,
1,A03,536593,00:00:00.188,
1,A04,544553,00:00:00.282,
1,A05,449849,00:00:00.375,
1,A06,563540,00:00:00.469,
1,A07,447893,00:00:00.563,
1,A08,465991,00:00:00.656,
1,A09,435635,00:00:00.749,
1,A10,443349,00:00:00.844,
1,A11,409889,00:00:00.937,
1,A12,399185,00:00:01.032,
1,A13,537597,00:00:01.125,
1,A14,440986,00:00:01.219,
1,A15,404217,00:00:01.314,
1,A16,445696,00:00:01.408,
1,A17,475593,00:00:01.502,
1,A18,429704,00:00:01.596,
1,A19,429687,00:00:01.690,
1,A20,425447,00:00:01.783,
1,A21,423507,00:00:01.876,
1,A22,426463,00:00:01.971,
1,A23,163741,00:00:02.064,
1,A24,155774,00:00:02.159,
1,B01,478143,00:00:04.473,
1,B02,501668,00:00:04.379,
1,B03,475902,00:00:04.286,
1,B04,476228,00:00:04.193,
1,B05,484398,00:00:04.099,
1,B06,450921,00:00:04.004,
1,B07,477092,00:00:03.911,
1,B08,451849,00:00:03.818,
1,B09,498038,00:00:03.725,
1,B10,445589,00:00:03.631,
1,B11,426485,00:00:03.537,
1,B12,437174,00:00:03.442,
1,B13,463212,00:00:03.348,
1,B14,485551,00:00:03.254,
1,B15,486165,00:00:03.160,
1,B16,445074,00:00:03.066,
1,B17,418841,00:00:02.972,
1,B18,431178,00:00:02.878,
1,B19,433577,00:00:02.785,
1,B20,417704,00:00:02.692,
1,B21,421172,00:00:02.598,
1,B22,427825,00:00:02.503,
1,B23,151595,00:00:02.409,
1,B24,156851,00:00:02.316,
1,C01,483575,00:00:04.634,
1,C02,499148,00:00:04.728,
1,C03,498979,00:00:04.822,
1,C04,451474,00:00:04.915,
1,C05,252646,00:00:05.009,
1,C06,273469,00:00:05.103,
1,C07,454239,00:00:05.198,
1,C08,427473,00:00:05.292,
1,C09,465558,00:00:05.386,
1,C10,433378,00:00:05.480,
1,C11,415457,00:00:05.574,
1,C12,407660,00:00:05.668,
1,C13,383851,00:00:05.762,
1,C14,403049,00:00:05.856,
1,C15,433979,00:00:05.950,
