Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
1,1,="",14.66,23.64,23.64,57.7,57.6,23.25,23.54,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,10/2/2023 3:05:57 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,new alamar blue,0,1467,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,532627,536976,536593,544553,449849,563540,447893,465991,435635,443349,409889,399185,537597,440986,404217,445696,475593,429704,429687,425447,423507,426463,163741,155774,
B,478143,501668,475902,476228,484398,450921,477092,451849,498038,445589,426485,437174,463212,485551,486165,445074,418841,431178,433577,417704,421172,427825,151595,156851,
C,483575,499148,498979,451474,252646,273469,454239,427473,465558,433378,415457,407660,383851,403049,433979,382107,434956,448900,212989,209465,45912,55616,175226,165808,
D,479391,464775,476497,452007,269682,490691,464845,403340,457094,495240,436523,413729,387177,440110,418911,420068,413983,397701,199406,378497,49043,457925,161970,164744,
E,528945,508468,482563,500098,474057,463763,306379,274128,365030,392449,410067,408199,447395,453852,440269,416402,452129,438236,297157,334100,432287,413830,215244,214718,
F,506609,519429,474902,480388,460162,436367,283027,367907,392062,389654,355357,421379,405756,447939,416345,427792,436361,417296,303035,366764,409476,422425,198555,224601,
G,613309,485667,514807,492942,500283,470345,381991,392512,473017,482831,448403,395176,405329,424666,369332,437900,354788,383960,490215,441792,417232,475751,205531,211074,
H,489660,469177,454235,395452,460207,452047,359513,296196,418645,440514,423167,472089,409810,398431,415247,421527,339496,414404,443853,388194,451183,424014,202345,217016,
I,205206,211518,509678,471837,502852,488066,434113,445973,287382,312014,483615,424359,426037,419049,469471,451179,397143,423434,129042,117193,439031,431993,450695,432866,
J,208402,201818,456392,477599,494627,445976,402866,446918,284929,378468,438950,415525,400612,437455,434726,446979,422429,423671,130395,417363,454724,414740,445291,490228,
K,229015,214392,491894,479052,496426,459112,476402,436562,460222,477879,435912,468332,455822,464786,475077,474212,454443,457990,445590,450787,405623,397299,464331,462054,
L,210148,244709,480112,432144,475627,432827,434906,441781,452307,458527,472302,422195,425654,429696,428690,444347,443889,439352,448060,415539,392019,432510,437279,439672,
M,193494,197659,493311,487724,491231,471482,448442,452632,425380,471698,294988,237068,438330,475436,475929,481654,372827,386968,433233,477673,466478,445845,445987,523543,
N,210824,239367,472567,442918,453972,428225,443942,448582,476016,430293,248066,437644,455943,434929,434756,450517,387424,404102,434249,434186,434625,429111,442418,438608,
O,239343,184496,511668,517331,496426,471189,466730,462249,409008,413105,446159,457058,366209,443105,421813,455185,461102,438754,324890,293232,458063,446631,451651,471274,
P,214811,199197,481650,475170,443260,480058,456270,487466,426223,453181,429282,440118,426745,444737,405300,443081,424750,438763,304506,351183,396303,442105,460891,464239,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
2,1,="",14.66,23.64,23.64,57.6,57,23.34,23.44,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,10/2/2023 3:07:03 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
2,new alamar blue,0,1358,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,423378,428561,475500,488873,472904,450767,430694,382863,365257,377979,387688,377687,380984,377876,344993,394697,401395,383567,412568,414906,382139,381551,180509,167007,
B,453252,472817,473481,467130,486422,463907,455046,466327,440733,462720,454972,448955,448719,440480,496609,426933,415324,431806,441055,409931,383712,414409,187809,178741,
C,465638,437984,424804,421562,234037,234443,376407,353054,362463,368918,315761,322653,134369,141856,216947,232494,385537,420352,133108,135611,44188,43657,158329,160480,
D,459681,468082,421809,446628,271180,407647,378283,422058,396709,437075,383444,398007,208345,403939,233395,438684,423459,436245,133628,428021,43404,445761,169042,182543,
E,460954,461513,449975,423585,443215,405100,263104,264138,328904,345679,348137,379100,384048,374417,381123,407327,389778,387746,280691,269332,412231,426383,183760,211621,
F,466772,448079,484633,462264,440636,431045,258331,417458,367144,420744,400352,460617,407714,405853,400686,413942,408508,407071,275800,299851,389707,427008,205400,182059,
G,477772,461791,453175,390242,412806,410185,308517,318118,406075,373011,324205,359550,384991,406403,379136,382148,339403,353739,452542,430295,479155,441806,230480,200375,
H,475049,506118,463509,427116,432864,414550,326619,389391,446852,450814,468020,415980,471727,442096,436561,452309,364207,425160,484828,392594,425594,406965,234246,198496,
I,211336,234268,437932,385064,373574,371364,374570,352977,323371,329197,352818,403978,399780,373394,355819,369122,318799,339120,94546,100972,394937,426234,437591,451525,
J,229557,211841,447169,418126,408703,411914,349622,412048,253749,331785,356630,418633,399094,436336,409661,394460,330683,403909,109931,411446,408976,411465,448914,445157,
K,203827,200648,422315,400287,384517,402389,383659,354429,356333,367517,379904,347073,306865,312208,333206,390069,380871,377331,411638,368018,324684,347673,465851,478221,
L,183806,183462,436849,431033,421866,404787,366833,417568,381337,401048,422107,384527,367842,390959,408846,395136,387408,405669,369680,404900,321916,418580,453404,472579,
M,219208,183672,413844,387250,412233,366477,352286,367242,378198,380555,132295,129823,396497,405566,368804,379522,378291,364230,392776,412529,389443,433976,454339,539393,
N,214058,207647,438338,460485,364409,421145,320999,410631,412742,424331,148142,410517,441703,406664,410893,409761,341079,407877,394168,411953,394366,446702,462513,510266,
O,191257,194792,422755,373155,444084,382083,396345,411175,278453,269082,320719,357354,437875,370657,421022,356873,403686,401122,270875,303671,431845,474122,421626,527779,
P,221504,201666,458316,460697,414846,472420,389129,460087,335179,442887,349919,431707,368826,414000,419302,422303,426240,373142,291186,388044,433921,434952,436649,490190,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
3,1,="",14.66,23.64,23.64,57.3,58.1,23.44,23.34,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,10/2/2023 3:08:15 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
3,new alamar blue,0,1468,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,538620,420732,468758,447304,502442,489774,484992,454003,414153,448273,424443,425697,427794,471155,418317,427244,435735,436212,435074,422394,424573,438057,143524,148628,
B,424973,427105,478220,475741,495109,507371,496042,483406,490152,502414,457470,454493,460209,466346,455856,463957,440367,457337,454291,459755,454582,441620,153423,170610,
C,454084,448501,485603,429394,310463,282711,423174,430338,472302,456222,419043,409906,391298,400735,435296,419091,470006,426256,201571,209172,50902,54534,155641,153133,
D,474766,437919,498636,453256,305124,449493,409136,477560,444102,461304,375935,436474,443373,416965,427465,435502,433098,428545,188678,456040,45739,434157,154911,164606,
E,440750,419220,493007,443306,454846,435928,302081,311154,381457,379389,438940,400983,376912,429249,441947,406239,452724,443981,218143,226402,444546,435390,190393,211453,
F,467370,461675,521806,462470,452901,459611,286213,449442,387672,433846,401657,429492,424571,414593,407712,427166,425054,419798,179692,201624,447853,445158,195588,197012,
G,457890,493646,520070,467639,461897,453119,308742,332653,451719,413480,425318,451611,418838,397968,429086,409735,363349,412345,454576,462751,439026,375782,200459,238325,
H,460476,463607,476588,454462,457320,442320,336524,363150,446428,475005,485275,376580,405227,441113,440636,431136,400537,392720,467503,423554,444896,479093,178418,216413,
I,165837,191410,536920,484503,471085,471722,454088,425328,339545,315568,446645,395182,421051,408096,418725,436227,399325,383514,101086,99535,463046,455813,441466,446861,
J,184225,194953,526756,476198,487147,467159,471076,446469,290486,415909,431951,400295,461545,434811,446606,442276,415252,455959,107437,438331,439051,482124,432827,455630,
K,206259,195306,493440,460366,464212,448171,481582,424184,414934,417738,431408,416127,453175,406525,451266,430727,451830,440455,455628,447181,452131,456380,445472,495427,
L,217861,198094,506601,468084,483551,452661,455887,458960,486672,453005,495331,454681,485190,460628,468457,448395,456672,439619,415878,459495,429693,454755,416088,449904,
M,228510,211815,509596,467671,454630,485891,433576,448138,460202,432278,250982,255711,475990,444177,443778,457435,396604,407456,462163,447746,456563,462501,446255,526232,
N,219441,214033,514357,485873,483647,510465,458105,512403,521117,478341,309626,459716,511674,492526,479909,459023,417807,436411,446701,462340,473410,492958,447739,484841,
O,193117,177966,537115,481480,453455,452717,398359,458740,389420,394884,446173,404404,361723,444542,447617,470532,432971,490191,247634,355757,491551,480805,471465,442869,
P,173584,228730,491311,567207,488726,477979,478598,481334,461049,469782,486108,483759,472862,449310,448581,484774,452574,514842,377213,352411,484937,477529,434167,411184,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
4,1,="",14.66,23.64,23.64,56.8,56.3,23.25,23.54,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,10/2/2023 3:09:52 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
4,new alamar blue,0,1350,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
A,448695,413142,458113,468355,477917,440454,465215,437733,426125,433797,406551,387630,471479,445639,412544,424551,436720,443167,434128,462672,444279,453957,150928,156020,
B,435200,434545,452175,470801,480448,439938,489715,465789,410446,443373,442972,448363,434942,450971,447413,412908,414667,411483,457703,414183,374139,426785,162010,160508,
C,434939,405469,457910,406147,251932,261360,379878,369169,383022,366123,308817,331308,171249,186068,281491,274766,420475,424549,131642,126921,50314,46527,171316,183076,
D,434938,443730,412688,419588,281077,445321,381680,429315,391508,432621,367106,458423,276224,419223,275921,448356,430942,380207,141521,408749,50907,413872,184659,193473,
E,456887,421046,442715,448922,454319,400664,269893,285158,372864,337907,401170,399007,436561,411792,415081,451409,456925,448643,160101,168439,426434,422551,179434,172396,
F,475532,404485,462233,433948,415328,419145,287733,454125,375653,429033,456974,419302,419044,441746,432149,421088,434742,410664,190949,219719,416290,442512,187009,217580,
G,450819,409297,451575,468498,464730,422485,337268,315434,436056,342688,416742,396694,385671,373686,387969,453281,381078,392304,453456,428652,435895,433990,216583,233951,
H,462516,444045,456448,454177,425093,434950,360450,443164,456467,479315,421385,413332,441162,452987,458872,372811,403445,418460,425760,440811,410166,449866,202101,217163,
I,205260,161973,444166,426623,431457,418991,433782,397694,350765,345263,419334,408880,420618,431083,413144,429420,328582,351679,74177,78381,448776,464474,431742,446463,
J,177715,174494,458667,455544,474304,464990,416316,450456,284176,451583,450724,442717,432465,460841,423249,426812,317712,426200,101168,440686,446096,441919,427422,446554,
K,181344,174469,417777,428156,467498,415890,453552,422147,401916,405915,443149,448773,389510,374754,413198,433664,425418,413848,422318,395401,391966,385591,447429,461973,
L,189062,174504,422932,437116,459128,435379,452476,442895,396529,433971,461701,441167,420716,428964,457387,424480,425226,457626,386838,441318,374922,474561,409667,447642,
M,165421,174871,424893,436492,399153,345811,344625,344475,440303,443181,124938,126716,429576,444983,357245,365274,410109,389352,468485,454155,437523,446445,440399,466733,
N,175601,171795,468774,426786,386458,435247,372772,463466,460130,445777,131475,444009,467944,454054,380038,470361,385962,417974,466191,455503,390685,436945,469415,432450,
O,173571,152614,481217,495131,437695,385357,409054,398384,290236,322571,324222,367701,417488,417724,439936,458300,457310,474050,244216,322604,489450,470443,447221,484981,
P,169621,185886,479717,491149,451879,477288,464479,468444,374592,533525,414485,479002,454217,488374,434237,482595,523149,539576,353516,419445,478582,474639,461476,454000,

Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,
5,1,="",14.66,23.64,23.73,57.3,57.9,23.34,23.25,1,new alamar blue(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,10/2/2023 3:10:54 PM,

Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
5,new alamar blue,0,1411,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

Results for new alamar blue(1) - channel 1 (RFU)
,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,
