row,col,plate,well,signal
1,1,1,A01,532627
1,2,1,A02,536976
1,3,1,A03,536593
1,4,1,A04,544553
1,5,1,A05,449849
1,6,1,A06,563540
1,7,1,A07,447893
1,8,1,A08,465991
1,9,1,A09,435635
1,10,1,A10,443349
1,11,1,A11,409889
1,12,1,A12,399185
1,13,1,A13,537597
1,14,1,A14,440986
1,15,1,A15,404217
1,16,1,A16,445696
1,17,1,A17,475593
1,18,1,A18,429704
1,19,1,A19,429687
1,20,1,A20,425447
1,21,1,A21,423507
1,22,1,A22,426463
1,23,1,A23,163741
1,24,1,A24,155774
2,1,1,B01,478143
2,2,1,B02,501668
2,3,1,B03,475902
2,4,1,B04,476228
2,5,1,B05,484398
2,6,1,B06,450921
2,7,1,B07,477092
2,8,1,B08,451849
2,9,1,B09,498038
2,10,1,B10,445589
2,11,1,B11,426485
2,12,1,B12,437174
2,13,1,B13,463212
2,14,1,B14,485551
2,15,1,B15,486165
2,16,1,B16,445074
2,17,1,B17,418841
2,18,1,B18,431178
2,19,1,B19,433577
2,20,1,B20,417704
2,21,1,B21,421172
2,22,1,B22,427825
2,23,1,B23,151595
2,24,1,B24,156851
3,1,1,C01,483575
3,2,1,C02,499148
3,3,1,C03,498979
3,4,1,C04,451474
3,5,1,C05,252646
3,6,1,C06,273469
3,7,1,C07,454239
3,8,1,C08,427473
3,9,1,C09,465558
3,10,1,C10,433378
3,11,1,C11,415457
3,12,1,C12,407660
3,13,1,C13,383851
3,14,1,C14,403049
3,15,1,C15,433979
3,16,1,C16,382107
3,17,1,C17,434956
3,18,1,C18,448900
3,19,1,C19,212989
3,20,1,C20,209465
3,21,1,C21,45912
3,22,1,C22,55616
3,23,1,C23,175226
3,24,1,C24,165808
4,1,1,D01,479391
4,2,1,D02,464775
4,3,1,D03,476497
4,4,1,D04,452007
4,5,1,D05,269682
4,6,1,D06,490691
4,7,1,D07,464845
4,8,1,D08,403340
4,9,1,D09,457094
4,10,1,D10,495240
4,11,1,D11,436523
4,12,1,D12,413729
4,13,1,D13,387177
4,14,1,D14,440110
4,15,1,D15,418911
4,16,1,D16,420068
4,17,1,D17,413983
4,18,1,D18,397701
4,19,1,D19,199406
4,20,1,D20,378497
4,21,1,D21,49043
4,22,1,D22,457925
4,23,1,D23,161970
4,24,1,D24,164744
5,1,1,E01,528945
5,2,1,E02,508468
5,3,1,E03,482563
5,4,1,E04,500098
5,5,1,E05,474057
5,6,1,E06,463763
5,7,1,E07,306379
5,8,1,E08,274128
5,9,1,E09,365030
5,10,1,E10,392449
5,11,1,E11,410067
5,12,1,E12,408199
5,13,1,E13,447395
5,14,1,E14,453852
5,15,1,E15,440269
5,16,1,E16,416402
5,17,1,E17,452129
5,18,1,E18,438236
5,19,1,E19,297157
5,20,1,E20,334100
5,21,1,E21,432287
5,22,1,E22,413830
5,23,1,E23,215244
5,24,1,E24,214718
6,1,1,F01,506609
6,2,1,F02,519429
6,3,1,F03,474902
6,4,1,F04,480388
6,5,1,F05,460162
6,6,1,F06,436367
6,7,1,F07,283027
6,8,1,F08,367907
6,9,1,F09,392062
6,10,1,F10,389654
6,11,1,F11,355357
6,12,1,F12,421379
6,13,1,F13,405756
6,14,1,F14,447939
6,15,1,F15,416345
6,16,1,F16,427792
6,17,1,F17,436361
6,18,1,F18,417296
6,19,1,F19,303035
6,20,1,F20,366764
6,21,1,F21,409476
6,22,1,F22,422425
6,23,1,F23,198555
6,24,1,F24,224601
7,1,1,G01,613309
7,2,1,G02,485667
7,3,1,G03,514807
7,4,1,G04,492942
7,5,1,G05,500283
7,6,1,G06,470345
7,7,1,G07,381991
7,8,1,G08,392512
7,9,1,G09,473017
7,10,1,G10,482831
7,11,1,G11,448403
7,12,1,G12,395176
7,13,1,G13,405329
7,14,1,G14,424666
7,15,1,G15,369332
7,16,1,G16,437900
7,17,1,G17,354788
7,18,1,G18,383960
7,19,1,G19,490215
7,20,1,G20,441792
7,21,1,G21,417232
7,22,1,G22,475751
7,23,1,G23,205531
7,24,1,G24,211074
8,1,1,H01,489660
8,2,1,H02,469177
8,3,1,H03,454235
8,4,1,H04,395452
8,5,1,H05,460207
8,6,1,H06,452047
8,7,1,H07,359513
8,8,1,H08,296196
8,9,1,H09,418645
8,10,1,H10,440514
8,11,1,H11,423167
8,12,1,H12,472089
8,13,1,H13,409810
8,14,1,H14,398431
8,15,1,H15,415247
8,16,1,H16,421527
8,17,1,H17,339496
8,18,1,H18,414404
8,19,1,H19,443853
8,20,1,H20,388194
8,21,1,H21,451183
8,22,1,H22,424014
8,23,1,H23,202345
8,24,1,H24,217016
9,1,1,I01,205206
9,2,1,I02,211518
9,3,1,I03,509678
9,4,1,I04,471837
9,5,1,I05,502852
9,6,1,I06,488066
9,7,1,I07,434113
9,8,1,I08,445973
9,9,1,I09,287382
9,10,1,I10,312014
9,11,1,I11,483615
9,12,1,I12,424359
9,13,1,I13,426037
9,14,1,I14,419049
9,15,1,I15,469471
9,16,1,I16,451179
9,17,1,I17,397143
9,18,1,I18,423434
9,19,1,I19,129042
9,20,1,I20,117193
9,21,1,I21,439031
9,22,1,I22,431993
9,23,1,I23,450695
9,24,1,I24,432866
10,1,1,J01,208402
10,2,1,J02,201818
10,3,1,J03,456392
10,4,1,J04,477599
10,5,1,J05,494627
10,6,1,J06,445976
10,7,1,J07,402866
10,8,1,J08,446918
10,9,1,J09,284929
10,10,1,J10,378468
10,11,1,J11,438950
10,12,1,J12,415525
10,13,1,J13,400612
10,14,1,J14,437455
10,15,1,J15,434726
10,16,1,J16,446979
10,17,1,J17,422429
10,18,1,J18,423671
10,19,1,J19,130395
10,20,1,J20,417363
10,21,1,J21,454724
10,22,1,J22,414740
10,23,1,J23,445291
10,24,1,J24,490228
11,1,1,K01,229015
11,2,1,K02,214392
11,3,1,K03,491894
11,4,1,K04,479052
11,5,1,K05,496426
11,6,1,K06,459112
11,7,1,K07,476402
11,8,1,K08,436562
11,9,1,K09,460222
11,10,1,K10,477879
11,11,1,K11,435912
11,12,1,K12,468332
11,13,1,K13,455822
11,14,1,K14,464786
11,15,1,K15,475077
11,16,1,K16,474212
11,17,1,K17,454443
11,18,1,K18,457990
11,19,1,K19,445590
11,20,1,K20,450787
11,21,1,K21,405623
11,22,1,K22,397299
11,23,1,K23,464331
11,24,1,K24,462054
12,1,1,L01,210148
12,2,1,L02,244709
12,3,1,L03,480112
12,4,1,L04,432144
12,5,1,L05,475627
12,6,1,L06,432827
12,7,1,L07,434906
12,8,1,L08,441781
12,9,1,L09,452307
12,10,1,L10,458527
12,11,1,L11,472302
12,12,1,L12,422195
12,13,1,L13,425654
12,14,1,L14,429696
12,15,1,L15,428690
12,16,1,L16,444347
12,17,1,L17,443889
12,18,1,L18,439352
12,19,1,L19,448060
12,20,1,L20,415539
12,21,1,L21,392019
12,22,1,L22,432510
12,23,1,L23,437279
12,24,1,L24,439672
13,1,1,M01,193494
13,2,1,M02,197659
13,3,1,M03,493311
13,4,1,M04,487724
13,5,1,M05,491231
13,6,1,M06,471482
13,7,1,M07,448442
13,8,1,M08,452632
13,9,1,M09,425380
13,10,1,M10,471698
13,11,1,M11,294988
13,12,1,M12,237068
13,13,1,M13,438330
13,14,1,M14,475436
13,15,1,M15,475929
13,16,1,M16,481654
13,17,1,M17,372827
13,18,1,M18,386968
13,19,1,M19,433233
13,20,1,M20,477673
13,21,1,M21,466478
13,22,1,M22,445845
13,23,1,M23,445987
13,24,1,M24,523543
14,1,1,N01,210824
14,2,1,N02,239367
