plate,drugs,drug_avg,drug_sd,ctrl_count,ctrl_avg,ctrl_sd,ttest_pval,wilcox_pval,ttest_color,wilcox_color,drug_to_ctlr,d_t_c_SD
1,Hydroxyurea,499262.3333333333,58284.836572931505,4,480794,44113.93191120768,0.6722860364440838,0.8571428571428572,gray,gray,1.0384121543391418,0.154186366700233
1,Tazemetostat,463658.6666666667,14738.562831339199,2,451385,656.1950929411161,0.28578610952254324,0.7999999999999998,gray,gray,1.0271911265697058,0.032685994538139175
1,Pemetrexed,459007.3333333333,34020.89290911297,2,448719,4426.488450227787,0.6543187971349603,0.8,gray,gray,1.0229282319967135,0.07648638432456352
1,Raloxifene (hydrochloride),411853,13755.561493446932,2,441381.5,5950.303563684797,0.05018642183092512,0.2,gray,gray,0.9330998240750915,0.033607743610668026
1,Mifepristone,480598.3333333333,50597.77436146113,2,461362.5,34207.70475346161,0.6477426024243844,0.7999999999999998,gray,gray,1.0416935345489355,0.13413810020010555
1,Fulvestrant,445359.3333333333,40975.03733168932,2,465312.5,28621.561182087884,0.5686814090647064,1,gray,gray,0.9571187821804342,0.10592649231357386
1,Enzalutamide,441379.3333333333,30123.619177206005,2,438126,9825.955831368265,0.8748999954498515,0.8,gray,gray,1.0074255655526796,0.07237273019873618
1,Rucaparib,429570.3333333333,4066.2554436893574,2,424441,9527.556769707542,0.5826623699670623,0.7999999999999998,gray,gray,1.012084914825225,0.024655937161085145
1,5-Fluorouracil,423714,2651.566895252692,2,422764.5,7156.627732389047,0.8831989662341602,1,gray,gray,1.0022459312454097,0.0180883687671558
1,Gemcitabine,265265.6666666667,11091.768674712494,6,470236.5,21924.54533850132,3.693705476080789e-7,0.023809523809523808,orange,orange,0.5641111795164065,0.03532903425163144
1,Erlotinib,448852.3333333333,19259.51010107301,4,449200.25,35752.02429117359,0.9874911084885437,0.8571428571428572,gray,gray,0.9992254753494312,0.09034985779935448
1,Saracatinib,452010,16681.528467139935,4,449004.5,37606.403891713264,0.8932443373230612,0.8571428571428572,gray,gray,1.0066936968337734,0.0921380893391681
1,Ipatasertib,419880,14931.18846575851,4,447933,34298.28121057963,0.21290296311515966,0.22857142857142856,gray,gray,0.9373723302368882,0.07913742999902991
1,Vorinostat,391359,10259.51480334231,4,444141,30024.800271331256,0.03234696674907047,0.05714285714285714,orange,gray,0.881159361554101,0.06389016582744388
1,Buparlisib,411665.6666666667,26684.213260527908,4,447700.75,27451.348471735713,0.147200419010108,0.11428571428571428,gray,gray,0.9195107818485153,0.08204455079511586
1,Everolimus,432613,17576.019429893677,4,423505.25,20014.62860634691,0.552189943022881,0.6285714285714286,gray,gray,1.0215056365889206,0.06366247901007199
1,Topotecan (Hydrochloride),207286.66666666666,7048.639892442608,4,406270,23064.490094804467,1.3894791366158074e-4,0.05714285714285714,orange,gray,0.5102189840910396,0.033764307358788395
1,Bortezomib,50190.333333333336,4952.6946537549975,4,420487.75,32794.08114660327,1.3404643479817668e-4,0.05714285714285714,orange,gray,0.11936217721760821,0.015013051930715558
1,FRAX597,465994,7211.156425983283,6,475415.5,25484.167200440355,0.43111950900697626,0.5476190476190476,gray,gray,0.9801825981693908,0.05468730763450674
1,Ganetespib,287844.6666666667,16656.50576601627,4,424576.25,52193.75493533685,0.00926854799948906,0.05714285714285714,orange,gray,0.6779575321668763,0.09211404518583437
1,Afatinib,383180.3333333333,15719.840722263485,4,414035.25,56067.9962032709,0.36015061001927073,0.6285714285714286,gray,gray,0.9254775609886677,0.13095153859508385
