drugs,drug_avg_1,drug_avg_2,drug_avg_3,drug_avg_4,drug_sd_1,drug_sd_2,drug_sd_3,drug_sd_4,ctrl_avg_1,ctrl_avg_2,ctrl_avg_3,ctrl_avg_4,ctrl_sd_1,ctrl_sd_2,ctrl_sd_3,ctrl_sd_4,drug_to_ctlr_1,drug_to_ctlr_2,drug_to_ctlr_3,drug_to_ctlr_4,d_t_c_SD_1,d_t_c_SD_2,d_t_c_SD_3,d_t_c_SD_4,ttest_pval_1,ttest_pval_2,ttest_pval_3,ttest_pval_4,wilcox_pval_1,wilcox_pval_2,wilcox_pval_3,wilcox_pval_4
Hydroxyurea,577612.53125,478940.71875,329791.9791666667,321311.375,73442.44753221709,122468.08887502163,26015.158316409776,73633.36986557618,593354.21875,502677.390625,309107.1796875,339462.9296875,29138.948489195514,95682.82281819794,44403.4562116651,40808.34051818207,0.9734699998709666,0.952779511635709,1.0669178875109875,0.9465286100482023,0.132686383886458,0.3037221117731752,0.17485130735513543,0.24494465958173922,0.7531911528617241,0.7957083284853035,0.47619964161865747,0.7265730851591535,0.8571428571428572,0.8571428571428571,0.8571428571428572,0.8571428571428571
Tazemetostat,541782.8333333334,423302.4583333333,295517.2916666667,338693.9375,75274.98186656735,118466.92710232553,60675.280747318764,77793.13626979828,542196.875,602934.65625,356665.734375,386524.46875,18229.566372379788,18099.502918815288,6793.506303162843,47632.96668359087,0.9992363628678852,0.7020702060254698,0.8285553199679071,0.8762548425338208,0.14284038842255573,0.19761093351018513,0.17084851419749494,0.22840204295257885,0.9934353158178955,0.11507691836441246,0.22137625366884298,0.4570146545397234,0.8,0.2,0.8,0.8
Pemetrexed,512885.5208333333,388905.1666666667,263652.9739583333,288890.4479166667,55238.189523669804,136781.98637687796,44763.22774606057,48038.62955125214,539817.625,611262,358501.96875,380650.8125,14864.798754103602,6322.86044902246,9390.333859983528,55939.57101305837,0.9501088832239097,0.636233180970953,0.7354296403939437,0.7589382143159531,0.10561919094040863,0.22386657420079578,0.12633907650280335,0.1684224348693149,0.4942058014166475,0.10591733202404616,0.059338387337807386,0.19886111708919743,0.8,0.2,0.2,0.4
Raloxifene (hydrochloride),461066.71875,390061.2083333333,288800.921875,278842.1666666667,69716.71773169097,147293.63658504264,48619.78436538538,94681.19571909819,551452.5625,592922.875,375797.4375,353152.328125,1589.4876557597106,19612.578848033027,15069.152613866514,17050.841465228725,0.8360949791578854,0.6578616288557484,0.7685015730715301,0.789580428783041,0.1264467478821433,0.24937080679669707,0.13299704549399463,0.27079979837181395,0.15372213287273995,0.1364776821353017,0.07746103289918498,0.3058367909429061,0.2,0.2,0.2,0.8
Mifepristone,510716.4583333333,376938.8854166667,309364.5625,281216.5364583333,68694.15965001544,140630.84326466368,57912.36200716582,47912.14254489938,558774.21875,574350.21875,378265.71875,379163.421875,8764.897912024026,6653.123510010401,11578.475794365298,19734.40008817932,0.9139943132591661,0.6562875282558891,0.8178498530670776,0.7416763333015886,0.12377039318604245,0.24497006636242932,0.155132871672759,0.1321275143041203,0.34905886652233575,0.1351241394117184,0.16992635781920493,0.05620120989281037,0.8,0.2,0.4,0.2
Fulvestrant,477874.1875,394713.625,258577.25520833334,285851.4375,99876.69004528217,189310.22973404278,47355.72979985669,58767.261713215215,565563.09375,537517.234375,349481.28125,372654.8125,836.0211862316199,45436.5825357909,29128.866103415407,28938.963738492996,0.844952919985331,0.7343273847934468,0.7398887124468367,0.7670676130071445,0.17660131856671668,0.3576220415924738,0.14887608529534704,0.16857415294866804,0.2677139401515149,0.32127275860517684,0.07692714506309387,0.11795828479493273,0.8,0.8,0.2,0.4
Enzalutamide,504971.25,425599,311306.8854166667,321931.25,30932.170051402263,61430.32393867023,28590.094456226452,24145.426466699424,561810.3125,541322.546875,335934.203125,338101.8125,6143.255326601076,50818.107082358765,9970.40448851253,19926.357482184558,0.8988287305601924,0.7862207152776838,0.9266900557334152,0.9521725057300602,0.055928397426974356,0.1353730160579779,0.08944009778899625,0.09082507857953366,0.07902950431289116,0.11760473395653337,0.2756356418070286,0.48150936745404743,0.2,0.2,0.4,0.8
Rucaparib,507076.0729166667,476813.5,311265.0416666667,332644.1458333333,34982.533704815156,62608.085252843695,40763.97361261263,54538.90928764053,555408.25,561008.9375,353598.984375,351850.328125,2910.628288059126,22977.346466309213,15011.368731591427,39369.69474155796,0.9129790076338742,0.8499213971969921,0.8802769674716113,0.9454137718329954,0.06316671930658814,0.11690217832510562,0.12118884766391329,0.1876630568468272,0.13771164719749004,0.13469436050023392,0.21047785823732953,0.6801839231142927,0.2,0.2,0.4,1
5-Fluorouracil,528713.0416666666,433181.4270833333,309725.59375,300198.8958333333,24505.975172229468,38313.736746738396,23420.50416850235,17823.508977796024,554960.125,519513.8125,357594.078125,403770.328125,2276.8838354206832,35705.62208105766,9361.45296738944,34056.27341685313,0.9527045599297186,0.8338208083415171,0.8661373683088031,0.7434892435691737,0.04433074066033407,0.09339758125388309,0.06930864850832581,0.07668854142344522,0.20343589445043353,0.10253554036680282,0.05628410946811853,0.1034267351602202,0.8,0.2,0.2,0.2
Gemcitabine,255306.65625,235936.03645833334,227857.31770833334,214888.75520833334,9946.031249754535,41291.16727412119,22502.472476871226,25247.62689466266,608349.53125,532995.1979166666,332298.2083333333,352332.96875,34318.87358980546,86579.21216135389,57674.99496675404,43037.07269951977,0.41967100019853926,0.44266071698308573,0.6857013128393586,0.6099024907340107,0.028771497787699798,0.10569764159364171,0.1369298773032507,0.10336835186912871,2.0740324954101805e-7,2.2131271309624325e-4,0.006182466563614051,6.93890592660436e-4,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808
