drugs,drug_avg_1,drug_avg_2,drug_avg_3,drug_avg_4,drug_sd_1,drug_sd_2,drug_sd_3,drug_sd_4,ctrl_avg_1,ctrl_avg_2,ctrl_avg_3,ctrl_avg_4,ctrl_sd_1,ctrl_sd_2,ctrl_sd_3,ctrl_sd_4,drug_to_ctlr_1,drug_to_ctlr_2,drug_to_ctlr_3,drug_to_ctlr_4,d_t_c_SD_1,d_t_c_SD_2,d_t_c_SD_3,d_t_c_SD_4,ttest_pval_1,ttest_pval_2,ttest_pval_3,ttest_pval_4,wilcox_pval_1,wilcox_pval_2,wilcox_pval_3,wilcox_pval_4
Hydroxyurea,499262.3333333333,470031,495775,466273,58284.836572931505,18000.28758103603,6360.206207348941,22395.69291180784,480794,460368,464952.5,446310.25,44113.93191120768,28146.57957905365,34115.47717678884,30218.427373320847,1.0384121543391418,1.0209897299551662,1.0662917179711906,1.0447284148190636,0.154186366700233,0.07365713891913762,0.07942505569185523,0.08672676015330244,0.6722860364440838,0.6047057570648375,0.16775274776954208,0.36163244299227004,0.8571428571428572,0.8571428571428572,0.4,0.22857142857142856
Tazemetostat,463658.6666666667,422867.6666666667,478345.6666666667,464221,14738.562831339199,36722.40450097642,21793.34050423049,26005.251546562667,451385,465117,495388.5,452863.5,656.1950929411161,1711.198410471445,16945.81401113561,18279.41740045344,1.0271911265697058,0.9091640741290185,0.9655970347851569,1.025079300937258,0.032685994538139175,0.07902386914047493,0.05501212238438516,0.07077799919372876,0.28578610952254324,0.18411635172826138,0.40489510714369104,0.6080244760846091,0.7999999999999998,0.2,0.8,1
Pemetrexed,459007.3333333333,394656.3333333333,450859.3333333333,423456,34020.89290911297,40407.384589123474,38065.45468444234,11902.099436654022,448719,464523.5,492910,454581,4426.488450227787,2550.534159739877,13440.685696793895,15850.50560707765,1.0229282319967135,0.849593902856009,0.9146889560636492,0.9315303543262917,0.07648638432456352,0.08711172913724077,0.08115382179161683,0.04171977680630876,0.6543187971349603,0.09488402012046156,0.1899095896436791,0.15777154972716406,0.8,0.2,0.4,0.2
Raloxifene (hydrochloride),411853,406782.3333333333,435870,412384.3333333333,13755.561493446932,42031.98758485415,18716.653787469597,28128.36778651284,441381.5,455837.5,478453.5,445868,5950.303563684797,9733.324843032826,33885.264061240545,3528.462838120872,0.9330998240750915,0.8923845303059387,0.9109976204584145,0.9249022879716269,0.033607743610668026,0.09415651112996581,0.07545208472432799,0.06350994321970346,0.05018642183092512,0.1741141981889956,0.29378483963040314,0.17273581198333393,0.2,0.4,0.4,0.2
Mifepristone,480598.3333333333,402526.3333333333,453052.6666666667,450686.6666666667,50597.77436146113,40034.19483807978,22548.92259806072,18784.229990429027,461362.5,444717.5,460419.5,449667,34207.70475346161,5992.72997055599,8381.336677404148,1844.134485334516,1.0416935345489355,0.9051281618855416,0.98399973647221,1.002267603952851,0.13413810020010555,0.09084414805616772,0.05214767310438115,0.041975385216861075,0.6477426024243844,0.2065687452539133,0.6459131768078887,0.9339247871232318,0.7999999999999998,0.4,1,0.8
Fulvestrant,445359.3333333333,412099.6666666667,433805.6666666667,428169.3333333333,40975.03733168932,77291.606719833,19610.857511422935,17713.86582125238,465312.5,433706.5,465151.5,431939.5,28621.561182087884,9579.17556473416,1689.2781002546621,26914.605412303557,0.9571187821804342,0.9501809787648252,0.9326115613228522,0.9912715399571776,0.10592649231357386,0.17944321714691128,0.042295977372992385,0.07414181698363424,0.5686814090647064,0.6775505730337265,0.10789115961979763,0.8810361404766404,1,0.8,0.2,0.8
Enzalutamide,441379.3333333333,400095.3333333333,437438,431518,30123.619177206005,15918.342009560334,2547.7760890627733,14945.16988862957,438126,429369.5,460647,412195.5,9825.955831368265,3445.7313447220463,4681.046891454945,1007.6271631908302,1.0074255655526796,0.9318205725682269,0.9496165176371495,1.0468770280121933,0.07237273019873618,0.03782041040933916,0.011122549759390293,0.03634768168469866,0.8748999954498515,0.07788937059028736,0.05218033220937611,0.15360999479711404,0.8,0.2,0.2,0.2
Rucaparib,429570.3333333333,422843,437253,451501,4066.2554436893574,15815.317543445026,16059.753516165807,15249.215947057737,424441,420868.5,458546,412833,9527.556769707542,15467.960838455727,1709.7841969090719,1909.1883092036783,1.012084914825225,1.0046914891468475,0.9535640917159892,1.0936649928663649,0.024655937161085145,0.05268339833075239,0.035203229432336385,0.03728263872611778,0.5826623699670623,0.9009093062312823,0.14635864447048566,0.0453097038285801,0.7999999999999998,0.7999999999999998,0.2,0.2
5-Fluorouracil,423714,382467.3333333333,439070.6666666667,424125,2651.566895252692,1117.2879366274985,15030.158360221403,43558.76568499158,422764.5,412170,450687.5,420484,7156.627732389047,3166.4241661533597,12823.38147681804,8910.959656512872,1.0022459312454097,0.927935884060784,0.9742241945176351,1.0086590690727828,0.0180883687671558,0.00762670210124055,0.04336536942898222,0.10577435746420302,0.8831989662341602,0.033780711790060015,0.43268850912033485,0.8999367081314891,1,0.2,0.4,0.7999999999999998
Gemcitabine,265265.6666666667,246553.33333333334,299432.6666666667,264789.6666666667,11091.768674712494,21328.285030290957,14725.380549694915,14872.11203337755,470236.5,438409.8333333333,459760.1666666667,438452.8333333333,21924.54533850132,24464.132238169957,27794.751514749445,22825.13340523263,0.5641111795164065,0.562380938079628,0.6512801420740741,0.6039182473827478,0.03532903425163144,0.05789276073081626,0.05075487027780849,0.046248722619921634,3.693705476080789e-7,1.0328864407632392e-4,1.1510419064374668e-5,8.211117177669423e-6,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808
