Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Measurement date,
1,1,="",14.71,23.73,23.73,34.1,34,23.25,23.34,10/9/2023 2:47:31 PM,
2,1,="",14.71,23.73,23.73,34.3,34,23.34,23.44,10/9/2023 2:48:39 PM,
3,1,="",14.71,23.73,23.73,33.7,33.8,23.54,23.54,10/9/2023 2:49:50 PM,
4,1,="",14.71,23.73,23.83,33.5,34.1,23.64,23.54,10/9/2023 2:50:59 PM,
5,1,="",14.71,23.83,23.83,33.8,33.7,23.44,23.54,10/9/2023 2:52:06 PM,
6,1,="",14.76,23.83,23.83,33.8,34,23.44,23.34,10/9/2023 2:53:15 PM,


Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,new alamar blue,0,1350,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),
2,new alamar blue,0,1330,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),
3,new alamar blue,0,1340,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),
4,new alamar blue,0,1237,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),
5,new alamar blue,0,1280,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),
6,new alamar blue,0,1375,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),,
Plate,Well,Signal,MeasTime,
1,A01,391491,00:00:00.000,
1,A02,415937,00:00:00.094,
1,A03,381113,00:00:00.188,
1,A04,412352,00:00:00.282,
1,A05,391765,00:00:00.376,
1,A06,382659,00:00:00.470,
1,A07,402572,00:00:00.564,
1,A08,356462,00:00:00.658,
1,A09,341109,00:00:00.751,
1,A10,329649,00:00:00.846,
1,A11,321753,00:00:00.939,
1,A12,322665,00:00:01.034,
1,A13,318249,00:00:01.128,
1,A14,340225,00:00:01.222,
1,A15,311493,00:00:01.317,
1,A16,355230,00:00:01.411,
1,A17,341963,00:00:01.505,
1,A18,356169,00:00:01.599,
1,A19,348142,00:00:01.693,
1,A20,373636,00:00:01.787,
1,A21,376065,00:00:01.880,
1,A22,351330,00:00:01.975,
1,A23,150007,00:00:02.068,
1,A24,125441,00:00:02.163,
1,B01,392575,00:00:04.481,
1,B02,388128,00:00:04.387,
1,B03,397066,00:00:04.294,
1,B04,398134,00:00:04.200,
1,B05,401938,00:00:04.106,
1,B06,374629,00:00:04.012,
1,B07,356634,00:00:03.918,
1,B08,363013,00:00:03.824,
1,B09,379345,00:00:03.731,
1,B10,374349,00:00:03.637,
1,B11,364493,00:00:03.543,
1,B12,393836,00:00:03.448,
1,B13,372448,00:00:03.354,
1,B14,334774,00:00:03.260,
1,B15,378681,00:00:03.166,
1,B16,368593,00:00:03.072,
1,B17,370465,00:00:02.977,
1,B18,368009,00:00:02.883,
1,B19,358405,00:00:02.790,
1,B20,359170,00:00:02.696,
1,B21,342117,00:00:02.602,
1,B22,382881,00:00:02.508,
1,B23,153863,00:00:02.414,
1,B24,142750,00:00:02.320,
1,C01,437358,00:00:04.642,
1,C02,395773,00:00:04.736,
1,C03,350238,00:00:04.830,
1,C04,356393,00:00:04.924,
1,C05,210699,00:00:05.018,
1,C06,211757,00:00:05.113,
1,C07,347168,00:00:05.207,
1,C08,330169,00:00:05.301,
1,C09,333793,00:00:05.396,
1,C10,290910,00:00:05.490,
1,C11,244331,00:00:05.584,
1,C12,267325,00:00:05.678,
1,C13,254551,00:00:05.772,
1,C14,274648,00:00:05.866,
1,C15,250245,00:00:05.960,
1,C16,244210,00:00:06.055,
1,C17,287186,00:00:06.149,
1,C18,306213,00:00:06.243,
1,C19,165922,00:00:06.337,
1,C20,179607,00:00:06.431,
1,C21,49899,00:00:06.526,
1,C22,50098,00:00:06.619,
1,C23,159558,00:00:06.714,
1,C24,154394,00:00:06.809,
1,D01,420080,00:00:09.131,
1,D02,411816,00:00:09.037,
1,D03,376969,00:00:08.943,
1,D04,388391,00:00:08.849,
1,D05,205850,00:00:08.755,
1,D06,369329,00:00:08.661,
1,D07,348489,00:00:08.567,
1,D08,365953,00:00:08.472,
1,D09,356235,00:00:08.378,
1,D10,369768,00:00:08.283,
1,D11,348686,00:00:08.190,
1,D12,358719,00:00:08.096,
1,D13,343180,00:00:08.002,
1,D14,393912,00:00:07.908,
1,D15,359887,00:00:07.813,
1,D16,364460,00:00:07.719,
1,D17,358827,00:00:07.625,
1,D18,311742,00:00:07.530,
1,D19,170897,00:00:07.436,
1,D20,350896,00:00:07.342,
1,D21,50523,00:00:07.249,
1,D22,392088,00:00:07.154,
1,D23,163814,00:00:07.059,
1,D24,155484,00:00:06.966,
1,E01,423826,00:00:09.291,
1,E02,394956,00:00:09.385,
1,E03,379110,00:00:09.478,
1,E04,360781,00:00:09.573,
1,E05,346407,00:00:09.667,
1,E06,357492,00:00:09.761,
1,E07,215456,00:00:09.854,
1,E08,217922,00:00:09.948,
1,E09,280408,00:00:10.042,
1,E10,283901,00:00:10.136,
1,E11,305963,00:00:10.230,
1,E12,324034,00:00:10.325,
1,E13,315572,00:00:10.419,
1,E14,345315,00:00:10.513,
1,E15,366854,00:00:10.606,
1,E16,341343,00:00:10.700,
1,E17,304406,00:00:10.794,
1,E18,333123,00:00:10.888,
1,E19,258206,00:00:10.982,
1,E20,259971,00:00:11.076,
1,E21,349210,00:00:11.171,
1,E22,396907,00:00:11.264,
1,E23,217846,00:00:11.359,
1,E24,186784,00:00:11.453,
1,F01,417909,00:00:13.774,
1,F02,385345,00:00:13.681,
1,F03,363883,00:00:13.587,
1,F04,392382,00:00:13.492,
1,F05,380676,00:00:13.398,
1,F06,359970,00:00:13.304,
1,F07,226001,00:00:13.211,
1,F08,378815,00:00:13.117,
1,F09,286848,00:00:13.022,
1,F10,329135,00:00:12.929,
1,F11,340841,00:00:12.834,
1,F12,393361,00:00:12.740,
1,F13,350874,00:00:12.646,
1,F14,386081,00:00:12.551,
1,F15,378414,00:00:12.458,
1,F16,358875,00:00:12.364,
1,F17,356167,00:00:12.269,
1,F18,343269,00:00:12.175,
1,F19,243302,00:00:12.081,
1,F20,270854,00:00:11.987,
1,F21,343022,00:00:11.893,
1,F22,348956,00:00:11.798,
1,F23,191011,00:00:11.704,
1,F24,186641,00:00:11.611,
1,G01,418572,00:00:13.934,
1,G02,356859,00:00:14.028,
1,G03,367663,00:00:14.123,
1,G04,339564,00:00:14.217,
1,G05,340463,00:00:14.311,
1,G06,385016,00:00:14.405,
1,G07,259316,00:00:14.499,
1,G08,268943,00:00:14.594,
1,G09,337407,00:00:14.688,
1,G10,326499,00:00:14.782,
1,G11,363771,00:00:14.876,
1,G12,350326,00:00:14.969,
1,G13,350896,00:00:15.064,
1,G14,322657,00:00:15.158,
1,G15,364316,00:00:15.252,
