plate,well,signal,row,col,drugs,group_code,groups
1,A01,528030.9375,1,1,DMSO + dmso,0,bckg
1,A02,522930.875,1,2,DMSO + dmso,0,bckg
1,A03,438516,1,3,dmso wellmate only/unpinned,1,dmso
1,A04,505610.59375,1,4,dmso wellmate only/unpinned,1,dmso
1,A05,484903.875,1,5,Hydroxyurea,2,lib
1,A06,475673.03125,1,6,Hydroxyurea,2,lib
1,A07,450391.75,1,7,Tazemetostat,2,lib
1,A08,377706.6875,1,8,Tazemetostat,2,lib
1,A09,348560.25,1,9,Pemetrexed,2,lib
1,A10,318219.8125,1,10,Pemetrexed,2,lib
1,A11,293846.46875,1,11,Raloxifene (hydrochloride),2,lib
1,A12,328317.71875,1,12,Raloxifene (hydrochloride),2,lib
1,A13,324055.53125,1,13,Mifepristone,2,lib
1,A14,349144.125,1,14,Mifepristone,2,lib
1,A15,317892.84375,1,15,Fulvestrant,2,lib
1,A16,392163.125,1,16,Fulvestrant,2,lib
1,A17,382666.59375,1,17,Enzalutamide,2,lib
1,A18,418755.15625,1,18,Enzalutamide,2,lib
1,A19,391888.71875,1,19,Rucaparib,2,lib
1,A20,417473.5625,1,20,Rucaparib,2,lib
1,A21,474254.21875,1,21,5-Fluorouracil,2,lib
1,A22,416238.71875,1,22,5-Fluorouracil,2,lib
1,A23,208094.53125,1,23,STAUR + dmso,10,staur
1,A24,221605.125,1,24,STAUR + dmso,10,staur
1,B01,539573.875,2,1,DMSO + dmso,0,bckg
1,B02,592431,2,2,DMSO + dmso,0,bckg
1,B03,661627.5,2,3,dmso wellmate only/unpinned,1,dmso
1,B04,834141.4375,2,4,dmso wellmate only/unpinned,1,dmso
1,B05,706138.25,2,5,Hydroxyurea,2,lib
1,B06,609284.1875,2,6,dmso wellmate only/unpinned,1,dmso
1,B07,567476.6875,2,7,Tazemetostat,2,lib
1,B08,522542.59375,2,8,dmso wellmate only/unpinned,1,dmso
1,B09,538511.25,2,9,Pemetrexed,2,lib
1,B10,525657.5,2,10,dmso wellmate only/unpinned,1,dmso
1,B11,545611,2,11,Raloxifene (hydrochloride),2,lib
1,B12,610168.75,2,12,dmso wellmate only/unpinned,1,dmso
1,B13,520697.59375,2,13,Mifepristone,2,lib
1,B14,480539.5,2,14,dmso wellmate only/unpinned,1,dmso
1,B15,602928.8125,2,15,Fulvestrant,2,lib
1,B16,499328.21875,2,16,dmso wellmate only/unpinned,1,dmso
1,B17,563766.25,2,17,Enzalutamide,2,lib
1,B18,512958.5,2,18,dmso wellmate only/unpinned,1,dmso
1,B19,525821,2,19,Rucaparib,2,lib
1,B20,540908,2,20,dmso wellmate only/unpinned,1,dmso
1,B21,487204.3125,2,21,5-Fluorouracil,2,lib
1,B22,586755.8125,2,22,dmso wellmate only/unpinned,1,dmso
1,B23,333047,2,23,STAUR + dmso,10,staur
1,B24,249259.78125,2,24,STAUR + dmso,10,staur
1,C01,590139.3125,3,1,DMSO + dmso,0,bckg
1,C02,535685.375,3,2,DMSO + dmso,0,bckg
1,C03,441595.875,3,3,dmso wellmate only/unpinned,1,dmso
1,C04,525132.0625,3,4,dmso wellmate only/unpinned,1,dmso
1,C05,316491.59375,3,5,Gemcitabine,2,lib
1,C06,305523.71875,3,6,Gemcitabine,2,lib
1,C07,397914.15625,3,7,Erlotinib,2,lib
1,C08,354906.84375,3,8,Erlotinib,2,lib
1,C09,419771.0625,3,9,Saracatinib,2,lib
1,C10,331108.59375,3,10,Saracatinib,2,lib
1,C11,286597.8125,3,11,Ipatasertib,2,lib
