plate,well,signal,row,col,drugs,group_code,groups
1,A01,391491,1,1,DMSO + dmso,0,bckg
1,A02,415937,1,2,DMSO + dmso,0,bckg
1,A03,381113,1,3,dmso wellmate only/unpinned,1,dmso
1,A04,412352,1,4,dmso wellmate only/unpinned,1,dmso
1,A05,391765,1,5,Hydroxyurea,2,lib
1,A06,382659,1,6,Hydroxyurea,2,lib
1,A07,402572,1,7,Tazemetostat,2,lib
1,A08,356462,1,8,Tazemetostat,2,lib
1,A09,341109,1,9,Pemetrexed,2,lib
1,A10,329649,1,10,Pemetrexed,2,lib
1,A11,321753,1,11,Raloxifene (hydrochloride),2,lib
1,A12,322665,1,12,Raloxifene (hydrochloride),2,lib
1,A13,318249,1,13,Mifepristone,2,lib
1,A14,340225,1,14,Mifepristone,2,lib
1,A15,311493,1,15,Fulvestrant,2,lib
1,A16,355230,1,16,Fulvestrant,2,lib
1,A17,341963,1,17,Enzalutamide,2,lib
1,A18,356169,1,18,Enzalutamide,2,lib
1,A19,348142,1,19,Rucaparib,2,lib
1,A20,373636,1,20,Rucaparib,2,lib
1,A21,376065,1,21,5-Fluorouracil,2,lib
1,A22,351330,1,22,5-Fluorouracil,2,lib
1,A23,150007,1,23,STAUR + dmso,10,staur
1,A24,125441,1,24,STAUR + dmso,10,staur
1,B01,392575,2,1,DMSO + dmso,0,bckg
1,B02,388128,2,2,DMSO + dmso,0,bckg
1,B03,397066,2,3,dmso wellmate only/unpinned,1,dmso
1,B04,398134,2,4,dmso wellmate only/unpinned,1,dmso
1,B05,401938,2,5,Hydroxyurea,2,lib
1,B06,374629,2,6,dmso wellmate only/unpinned,1,dmso
1,B07,356634,2,7,Tazemetostat,2,lib
1,B08,363013,2,8,dmso wellmate only/unpinned,1,dmso
1,B09,379345,2,9,Pemetrexed,2,lib
1,B10,374349,2,10,dmso wellmate only/unpinned,1,dmso
1,B11,364493,2,11,Raloxifene (hydrochloride),2,lib
1,B12,393836,2,12,dmso wellmate only/unpinned,1,dmso
1,B13,372448,2,13,Mifepristone,2,lib
1,B14,334774,2,14,dmso wellmate only/unpinned,1,dmso
1,B15,378681,2,15,Fulvestrant,2,lib
1,B16,368593,2,16,dmso wellmate only/unpinned,1,dmso
1,B17,370465,2,17,Enzalutamide,2,lib
1,B18,368009,2,18,dmso wellmate only/unpinned,1,dmso
1,B19,358405,2,19,Rucaparib,2,lib
1,B20,359170,2,20,dmso wellmate only/unpinned,1,dmso
1,B21,342117,2,21,5-Fluorouracil,2,lib
1,B22,382881,2,22,dmso wellmate only/unpinned,1,dmso
1,B23,153863,2,23,STAUR + dmso,10,staur
1,B24,142750,2,24,STAUR + dmso,10,staur
1,C01,437358,3,1,DMSO + dmso,0,bckg
1,C02,395773,3,2,DMSO + dmso,0,bckg
1,C03,350238,3,3,dmso wellmate only/unpinned,1,dmso
1,C04,356393,3,4,dmso wellmate only/unpinned,1,dmso
1,C05,210699,3,5,Gemcitabine,2,lib
1,C06,211757,3,6,Gemcitabine,2,lib
1,C07,347168,3,7,Erlotinib,2,lib
1,C08,330169,3,8,Erlotinib,2,lib
1,C09,333793,3,9,Saracatinib,2,lib
1,C10,290910,3,10,Saracatinib,2,lib
1,C11,244331,3,11,Ipatasertib,2,lib
1,C12,267325,3,12,Ipatasertib,2,lib
1,C13,254551,3,13,Vorinostat,2,lib
1,C14,274648,3,14,Vorinostat,2,lib
1,C15,250245,3,15,Buparlisib,2,lib
1,C16,244210,3,16,Buparlisib,2,lib
1,C17,287186,3,17,Everolimus,2,lib
1,C18,306213,3,18,Everolimus,2,lib
1,C19,165922,3,19,Topotecan (Hydrochloride),2,lib
1,C20,179607,3,20,Topotecan (Hydrochloride),2,lib
1,C21,49899,3,21,Bortezomib,2,lib
1,C22,50098,3,22,Bortezomib,2,lib
1,C23,159558,3,23,STAUR + dmso,10,staur
1,C24,154394,3,24,STAUR + dmso,10,staur
1,D01,420080,4,1,DMSO + dmso,0,bckg
1,D02,411816,4,2,DMSO + dmso,0,bckg
1,D03,376969,4,3,dmso wellmate only/unpinned,1,dmso
1,D04,388391,4,4,dmso wellmate only/unpinned,1,dmso
1,D05,205850,4,5,Gemcitabine,2,lib
1,D06,369329,4,6,dmso wellmate only/unpinned,1,dmso
1,D07,348489,4,7,Erlotinib,2,lib
1,D08,365953,4,8,dmso wellmate only/unpinned,1,dmso
1,D09,356235,4,9,Saracatinib,2,lib
1,D10,369768,4,10,dmso wellmate only/unpinned,1,dmso
1,D11,348686,4,11,Ipatasertib,2,lib
1,D12,358719,4,12,dmso wellmate only/unpinned,1,dmso
1,D13,343180,4,13,Vorinostat,2,lib
1,D14,393912,4,14,dmso wellmate only/unpinned,1,dmso
1,D15,359887,4,15,Buparlisib,2,lib
1,D16,364460,4,16,dmso wellmate only/unpinned,1,dmso
1,D17,358827,4,17,Everolimus,2,lib
1,D18,311742,4,18,dmso wellmate only/unpinned,1,dmso
1,D19,170897,4,19,Topotecan (Hydrochloride),2,lib
1,D20,350896,4,20,dmso wellmate only/unpinned,1,dmso
1,D21,50523,4,21,Bortezomib,2,lib
1,D22,392088,4,22,dmso wellmate only/unpinned,1,dmso
1,D23,163814,4,23,STAUR + dmso,10,staur
1,D24,155484,4,24,STAUR + dmso,10,staur
1,E01,423826,5,1,DMSO + dmso,0,bckg
1,E02,394956,5,2,DMSO + dmso,0,bckg
1,E03,379110,5,3,dmso wellmate only/unpinned,1,dmso
1,E04,360781,5,4,dmso wellmate only/unpinned,1,dmso
1,E05,346407,5,5,FRAX597,2,lib
1,E06,357492,5,6,FRAX597,2,lib
1,E07,215456,5,7,Ganetespib,2,lib
1,E08,217922,5,8,Ganetespib,2,lib
1,E09,280408,5,9,Afatinib,2,lib
1,E10,283901,5,10,Afatinib,2,lib
1,E11,305963,5,11,Volasertib,2,lib
1,E12,324034,5,12,Volasertib,2,lib
1,E13,315572,5,13,PF-573228,2,lib
1,E14,345315,5,14,PF-573228,2,lib
1,E15,366854,5,15,ART558,2,lib
1,E16,341343,5,16,ART558,2,lib
1,E17,304406,5,17,Mirin,2,lib
1,E18,333123,5,18,Mirin,2,lib
1,E19,258206,5,19,Ferrostatin-1,2,lib
