drugs,drug_avg_1,drug_avg_2,drug_avg_3,drug_avg_4,drug_sd_1,drug_sd_2,drug_sd_3,drug_sd_4,ctrl_avg_1,ctrl_avg_2,ctrl_avg_3,ctrl_avg_4,ctrl_sd_1,ctrl_sd_2,ctrl_sd_3,ctrl_sd_4,drug_to_ctlr_1,drug_to_ctlr_2,drug_to_ctlr_3,drug_to_ctlr_4,d_t_c_SD_1,d_t_c_SD_2,d_t_c_SD_3,d_t_c_SD_4,ttest_pval_1,ttest_pval_2,ttest_pval_3,ttest_pval_4,wilcox_pval_1,wilcox_pval_2,wilcox_pval_3,wilcox_pval_4
Hydroxyurea,392120.6666666667,350649.3333333333,422010.6666666667,451210.3333333333,9644.419854679354,27057.5124564941,28154.333047211992,16848.039539760503,385377,348455.25,418550.75,452883.25,24805.801969163047,53391.22038547162,27934.155000345607,8211.708282487065,1.0174988820471038,1.006296600017745,1.0082664208979835,0.9963060752044447,0.07011247830446149,0.17263619311672956,0.09514696335478079,0.04135596579766872,0.6453983052392169,0.9464294607036763,0.8788408801307677,0.8851308676142331,0.8571428571428572,0.8571428571428572,1,0.8571428571428571
Tazemetostat,371889.3333333333,326125,400604,437221.3333333333,26572.107958032488,3723.5317911896495,14955.801583332135,5560.786485141588,368821,310299,407137.5,455506.5,8213.752370262937,20233.15343687187,42161.2418282479,18491.549434809403,1.0083193021366281,1.0510024202462787,0.9839525958674895,0.9598575066071139,0.07546449792615788,0.06957363210392925,0.10831285068939035,0.040833565754495316,0.8656838613419215,0.4652133760921809,0.8639127796930322,0.38550909279209894,0.8,0.4,1,0.2
Pemetrexed,350034.3333333333,312715.3333333333,381031.6666666667,418142.6666666667,26022.476541123702,12840.538553087768,23033.093611873617,6136.806118277922,368681,318993.5,442576,443122.5,8015.762471530703,7937.273618818996,7956.365501911033,36005.17019123781,0.949423304518902,0.9803188257231991,0.8609406444693491,0.9436277026480638,0.0735391383617078,0.047067218799867826,0.05429596773871,0.07791357210358178,0.3440743407014599,0.5481297526475034,0.031086950703562894,0.5042112071233185,0.8,0.8,0.2,0.8
Raloxifene (hydrochloride),336303.6666666667,315076,384723.6666666667,425515.3333333333,24416.937181664154,27913.02880376832,39660.65618888993,18819.594292474354,384092.5,315539,441502,424529,13779.389844982252,3051.872867601139,9475.230867899736,9709.990319253671,0.8755798841858841,0.9985326694956883,0.8713973360634079,1.002323359142328,0.07090762675780696,0.08898705123634353,0.09175721401604003,0.0499076678491839,0.06852885175170019,0.979789753484756,0.12271280631312317,0.9437087932019907,0.2,0.7999999999999998,0.2,1
Mifepristone,343640.6666666667,318240,397312.3333333333,437976.3333333333,27260.465592746823,33062.52635537702,47815.15518466225,26138.386261078424,364305,322597,434447.5,420740,41763.14071043987,6929.646455628165,501.3387078612622,15068.445507085327,0.9432773820470943,0.986493984754973,0.91452323545039,1.040966709448432,0.13150122886180166,0.10465641860452012,0.11006474494488949,0.07245266260211551,0.6137358838781615,0.8434783020686255,0.3107917605407128,0.41962952315822033,0.8,1,0.8,0.4
Fulvestrant,348468,340707.6666666667,403826,398865,34100.591182558695,8984.387254194542,40338.30218291296,8345.872093436372,351683.5,346118.5,435484.5,410320.5,23913.644232947852,26334.77785173059,1967.8781720421619,333.0472939388639,0.9908568357628379,0.9843671074116717,0.9273028087107578,0.9720815801306539,0.118074150455377,0.07926721088908799,0.09272329221957303,0.020355183557786496,0.9095030265136901,0.8212167215173519,0.3068558059291814,0.1402351228032213,1,1,0.8,0.2
Enzalutamide,356199,340559.3333333333,394838,413818.3333333333,14251.023682528916,24304.726419635612,12799.21294455249,14809.205054064629,368301,355331,420662.5,410829.5,412.95036021294374,13306.335408368452,22929.351593536176,386.7874093090415,0.9671410069481212,0.9584284324568735,0.9386099307639735,1.0072751185913702,0.038709150563234276,0.07724476695276829,0.05952527526668837,0.036059555104154505,0.2790702854892808,0.4464344173320877,0.32827252179126226,0.760096032827007,0.8,0.8,0.4,0.8
Rucaparib,360061,306293.3333333333,415835.6666666667,427936,12827.422227400173,11632.66647563375,18297.052831899822,11410.939006059054,363589.5,323602,418659.5,412538.5,6250.116838907894,31565.24671216748,20096.681828102868,2030.1035687865779,0.990295374316365,0.9465124855017377,0.9932550597004647,1.0373237891736165,0.039172250798425276,0.09907735292751466,0.06467833531704811,0.028127387753504665,0.7104710596519435,0.5769903064328318,0.8873733693908554,0.13907107921630021,0.8,0.8,0.8,0.2
5-Fluorouracil,356504,284266.6666666667,430165,394142.3333333333,17555.46590096657,15024.87425349488,14428.062898393533,22608.70412768793,371025.5,319386.5,433944.5,411475,16766.208888714227,25603.6294399837,1519.5724727698907,3534.1196923703646,0.9608611807005178,0.8900397063328184,0.9912903608641197,0.957876744233145,0.06421933568178605,0.08546267011610917,0.03342935120843732,0.05555802870999442,0.436819691614516,0.26483172886218836,0.6955419580016369,0.3146031909182083,0.4,0.2,0.8,0.8
Gemcitabine,209435.33333333334,172344.33333333334,259885.66666666666,278507.6666666667,3149.7305175734214,19375.264290670548,20351.997354887146,11276.442361548847,374609.5,315258.3333333333,426365,456642.1666666667,16089.028482167592,31820.408159963423,24976.79861791739,11492.520757721808,0.5590764071208374,0.5466765351167033,0.6095379936595796,0.6099035240211792,0.025441205525986083,0.08259415523661992,0.059611371356413284,0.029076116682783492,5.592432491508555e-7,1.1603547928242417e-4,1.2196996239192896e-4,1.7416462474512734e-5,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808
Erlotinib,341942,260357,343539.3333333333,398545,10217.088968977416,13786.368484847631,32368.05895220369,20615.88630158791,368231,303332.75,425352.75,447337.25,4985.205311719869,21223.37955141295,32228.03175679003,14573.998773500703,0.9286073144303439,0.8583214308379165,0.807657487422694,0.8909273707923944,0.030461641234828352,0.07531406251662354,0.09764991589766554,0.0544646957861822,0.03149537509962574,0.023175325444070746,0.02520615575215746,0.031622553683896534,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714
