drugs,drug_avg_1,drug_avg_2,drug_avg_3,drug_avg_4,drug_sd_1,drug_sd_2,drug_sd_3,drug_sd_4,ctrl_avg_1,ctrl_avg_2,ctrl_avg_3,ctrl_avg_4,ctrl_sd_1,ctrl_sd_2,ctrl_sd_3,ctrl_sd_4,drug_to_ctlr_1,drug_to_ctlr_2,drug_to_ctlr_3,drug_to_ctlr_4,d_t_c_SD_1,d_t_c_SD_2,d_t_c_SD_3,d_t_c_SD_4,ttest_pval_1,ttest_pval_2,ttest_pval_3,ttest_pval_4,wilcox_pval_1,wilcox_pval_2,wilcox_pval_3,wilcox_pval_4
Hydroxyurea,555571.71875,509273.3541666667,350664.1041666667,359946.5416666667,130476.09884027476,87168.33687321625,93695.97370094355,16985.76495049459,618542.0703125,562415.3046875,354451.4296875,387395.15625,150607.37419300803,68717.62342396603,30227.80005007694,17308.63235974216,0.8981955236598763,0.9055111941692962,0.9893149661600396,0.9291456949306311,0.30385151599499155,0.19042707039019394,0.27747834914249464,0.06038108025295257,0.581132118796186,0.4353681794453896,0.9516213752907643,0.09601253063473142,0.4,0.6285714285714286,0.6285714285714286,0.22857142857142856
Tazemetostat,465191.7083333333,493124.6770833333,322203.7083333333,341419.6145833333,95746.76130293548,110341.7491207463,17826.416016422365,30390.37415997594,565913.390625,482847.234375,370116.46875,413409.890625,61335.569151553645,10686.703657854501,18091.23860831017,30006.186745085706,0.8220192630882462,1.021285081443278,0.8705468022579941,0.8258622309862239,0.19121394980000195,0.22963828104718007,0.06426891553057192,0.09485297091232671,0.24804880488545825,0.8870835247536406,0.08744543009450302,0.10449016109428887,0.4,0.7999999999999998,0.2,0.2
Pemetrexed,401763.7708333333,463082.9791666667,279868.7916666667,316312.53125,119394.47361897159,111716.2854622623,49147.206745601085,34817.453352943194,524100.046875,548321.59375,377776.75,406896.90625,2202.571332135359,81908.0233579605,28924.512243652494,39216.93757973476,0.7665783913374761,0.8445463108604169,0.74083116990833,0.7773775774437951,0.22783133198512887,0.23963876173754034,0.14192359565060386,0.11373451047279567,0.21788505432859756,0.40172170035707694,0.06792786339838586,0.11548823114267154,0.8,0.4,0.2,0.2
Raloxifene (hydrochloride),389258.3958333333,417937.75,287868.6770833333,312767.5104166667,136497.87321205554,134328.2697287664,92816.27625362348,55039.61262626359,567913.125,570971.09375,385676.40625,371460.8125,59758.477961551616,49876.793276991084,17752.71123681711,10897.266799039708,0.6854189112698061,0.7319770730512573,0.7463995007688737,0.8419932867526011,0.2509378578209049,0.24379723594891037,0.2430984744922964,0.15021549591754083,0.14457901282797606,0.1810629899973881,0.20531093613924106,0.20149372188913553,0.4,0.4,0.4,0.4
Mifepristone,397965.75,435217.1666666667,333320.4583333333,317746.8854166667,107026.57841299957,93839.84712766059,61269.93813412341,46795.93402781359,545354.125,534541,392209.828125,349460.859375,91661.72171512626,1643.1393827822399,26992.365061147168,20215.365281907645,0.7297382228474021,0.8141885592810779,0.8498523862260324,0.9092488526038287,0.23142666960666633,0.1755700366828284,0.1668072556671128,0.1438683804235963,0.21292398895875997,0.20816442387360867,0.24367088978838924,0.3798127814155024,0.4,0.8,0.4,0.8
Fulvestrant,437661.59375,415272.4166666667,310218.9583333333,323317.90625,147864.66401496602,84073.27830826138,78202.90890100846,55200.66669652832,489933.859375,548131.875,389043.84375,346055.484375,13285.630437931834,20863.539132299677,31469.743102533474,15399.437771941368,0.8933075054423003,0.7576140626134298,0.7973881692693751,0.9342949927059655,0.30277595031641524,0.15606874884481114,0.21110804507214628,0.1648431310675105,0.6034099753005067,0.10196983171304579,0.2229213526123259,0.5582159637498749,0.8,0.2,0.4,0.8
Enzalutamide,455062.6666666667,441120.9791666667,314197.9791666667,366876.03125,95853.78374357118,111866.78028264687,44919.52402478912,41680.757065107486,506143.359375,552360.5,359660.9375,354296.703125,9638.06430135485,14883.36030710975,10083.961418153705,3744.594445207923,0.8990786073506739,0.7986106522219939,0.8735949512634151,1.0355050668381802,0.19015298500627262,0.20366492739558104,0.12727315671319614,0.1181516270030135,0.45388814364545155,0.22501936557516447,0.21713130954492882,0.6540548259327188,0.8,0.8,0.4,0.8
Rucaparib,445061.09375,439385.9479166667,328402.3854166667,372368.2291666667,71100.40717576497,80126.29715784255,25380.932528609148,50123.938630696626,526933.25,519491.9375,381475.5,373050.375,19763.28098077341,31599.806556097974,40934.41156288924,30266.291555127795,0.8446251849736186,0.8457993593339775,0.8608741201379032,0.9981714377493032,0.13860127408167394,0.16259411445226465,0.1138426001180576,0.15688080829550907,0.17685249314955043,0.22510808665934628,0.2797091390021061,0.9860712902367854,0.4,0.4,0.4,1
5-Fluorouracil,459232.4166666667,430501.4895833333,348021.1354166667,317498.75,37792.45662094008,63416.91659952067,23636.813526403388,57919.426393423164,563831.90625,520833.34375,386657.296875,408324.453125,32419.29912131936,33496.84146750001,33606.24414480171,19618.788129455323,0.814484621349267,0.8265628434687431,0.9000764714112618,0.7775648692359955,0.08176743686304662,0.1328591254017627,0.0992821671005837,0.14668401114328072,0.05675296722321846,0.1306570436914718,0.3155028397357748,0.10020788047633225,0.2,0.2,0.4,0.2
Gemcitabine,328314.8125,297171.5729166667,304670.3125,269152.9635416667,30474.358777333582,20796.020451482767,37166.49846052768,39803.13526642944,667599.90625,584425.234375,414412.1875,427636.6770833333,111833.07877622059,65670.95920380301,69183.16630792663,47735.42890641664,0.4917837906002552,0.5084851841390283,0.7351866612272353,0.6293963496709545,0.0941826545247502,0.06731208436578254,0.15201004383228522,0.11661639572417166,3.7271808225694997e-4,3.816467614673005e-5,0.018172016138873464,0.0035065698070123907,0.023809523809523808,0.023809523809523808,0.047619047619047616,0.023809523809523808
Erlotinib,415006.75,353902.59375,317090.046875,350141.5416666667,70224.06122053655,31631.747283203887,71616.77864177602,12378.685659533976,635523.6953125,557941.4609375,415152.7265625,433174.375,87846.94998290905,87673.13255122487,58560.9975984375,37197.2013511773,0.6530153841013476,0.6343005826370085,0.7637913148265523,0.8083154541786243,0.14267980548351034,0.11466765670990806,0.20338757406249938,0.0750634102381761,0.014540923858745862,0.013007683663630096,0.12756958211550196,0.015417271268211696,0.05714285714285714,0.05714285714285714,0.22857142857142856,0.05714285714285714
Saracatinib,471167.53125,431167.1041666667,352025.46875,319593.84375,171629.3616429764,45110.60654608186,114542.5702130169,18537.408605930934,597505.4765625,565594.4375,416305.859375,419425.140625,89741.32890661567,59235.45569428749,51732.60574817171,27664.16182151167,0.788557678099734,0.7623255739085424,0.8455933559967084,0.7619806558895399,0.3107020138630193,0.11285230302643888,0.2945228675180472,0.06692741051058923,0.3341254989803304,0.019239304110075378,0.44078968176774597,0.002325395224598229,0.4,0.05714285714285714,0.6285714285714286,0.05714285714285714
Ipatasertib,406032.78125,391667.8229166667,294093.6354166667,321643.1979166667,192333.63072449653,115282.98060561152,75514.30894628575,61392.564827883136,614922.109375,599617.59375,408237.6015625,397125.2265625,68015.49432023542,79778.27383720464,48882.50628497648,33402.249530447116,0.660299532346767,0.6531960152589613,0.7203982050919476,0.8099289000117098,0.3211909823232676,0.2109905748306036,0.2041008789689768,0.16893667582835661,0.19337121766206264,0.06559511218681753,0.09999414673475777,0.15312678188017306,0.22857142857142856,0.05714285714285714,0.11428571428571428,0.22857142857142856
Vorinostat,430415.8645833333,317363.4791666667,324748.375,298702.2604166667,180947.16487908195,60454.66397412162,94105.27433746158,40925.56488667315,609996.484375,612596.15625,419207.6484375,385919.4375,92249.98297490775,91492.99222756848,63141.837378586504,45794.011542638604,0.7056038446259829,0.5180631251580216,0.7746718749298225,0.7740015956482282,0.3152457896286683,0.12540213450307286,0.25299749426800083,0.1402903722084386,0.22073443173703722,0.003718830106303016,0.2210925925372822,0.04791989887474822,0.22857142857142856,0.05714285714285714,0.4,0.11428571428571428
Buparlisib,435903.2083333333,304310.2604166667,359568.0208333333,286589.0520833333,208347.37409442276,51504.41379561574,81600.11396365317,52412.596565283515,578410.9609375,609370.3125,420015.5703125,400958.2890625,102595.13157176347,71733.73167467282,63130.04148567714,65446.804695491846,0.7536219708333547,0.49938478159233707,0.8560825984755934,0.7147602628528296,0.38420981806551285,0.10295436346216963,0.23302554528752592,0.17521007791710325,0.3624707934396961,0.0012456429346121994,0.350989257096065,0.05100511512631126,0.6285714285714286,0.05714285714285714,0.4,0.11428571428571428
Everolimus,454673.4166666667,499518.9583333333,330481.90625,360822.34375,153300.04272405026,73401.23672742551,80244.52581463015,49973.07250684527,547814.375,603339.734375,394745.984375,399882.5234375,83989.42335580877,60817.44069785767,51630.78194432675,57127.120136585334,0.8299771554309189,0.8279231913190424,0.8372014392325001,0.902320863258219,0.30741277360813607,0.14753163731441196,0.2308981689129333,0.17953811115844107,0.4139703525776068,0.11919103095651049,0.30681687105350414,0.382107353591702,0.4,0.22857142857142856,0.4,0.6285714285714286
Topotecan (Hydrochloride),286281.5520833333,281821.8072916667,265500.8958333333,275323.4114583333,43536.23308431955,53407.74102090116,32210.530449712995,33275.56006501195,541309.4140625,572476.015625,406230.5625,397663.1171875,45696.47684228807,64770.89084387608,48038.89580162301,33511.56926445926,0.5288686001870994,0.49228578944742,0.6535719375701411,0.6923534005506401,0.09198853539036879,0.10865435533693349,0.11072753015513562,0.1020106076677888,9.635862894867652e-4,0.0014056751172233958,0.005707376913538213,0.006520468273618079,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714
