"","cbd_2_cbd","cbd_2_dmso","cbd_2_PC","cbd_2_test_compounds","cbd_200_cbd","cbd_200_dmso","cbd_200_PC","cbd_200_test_compounds","control_2_cbd","control_2_dmso","control_2_PC","control_2_test_compounds","control_200_cbd","control_200_dmso","control_200_PC","control_200_test_compounds"
"cbd_2_cbd",NA,0.00515190664272713,7.9551920606491e-11,0.0198699219834964,0.999788753713958,0.000189004181055941,7.9551920606491e-11,0.0643543233193082,5.60865078291783e-06,0.000316359986030967,7.9551920606491e-11,5.98874283497253e-11,0.000353344999327154,2.85431982938178e-07,7.9551920606491e-11,4.49811193403704e-06
"cbd_2_dmso",0.0123900499366007,NA,6.19504447740837e-14,0.0010350154681531,0.00515190664272713,0.139822579488938,6.19504447740837e-14,7.13369327076663e-06,3.70711550345959e-08,2.34032269629258e-05,6.19504447740837e-14,0,9.62815855176657e-06,1.20678735893165e-08,6.19504447740837e-14,5.58101975745018e-09
"cbd_2_PC",4.18629366953615e-18,2.36504127698443e-43,NA,0,7.9551920606491e-11,6.19504447740837e-14,0.99999947973759,0,7.9551920606491e-11,6.19504447740837e-14,0.991963884966834,0,7.9551920606491e-11,6.19504447740837e-14,0.449036822040911,0
"cbd_2_test_compounds",3.07403409017014e-05,0.00172741496990666,2.76261709093919e-110,NA,0.0366117077830245,0.000249158060742771,0,2.89855777424464e-06,0.00104015073101216,0.00138655052123104,0,0,0.0057023900096137,7.42624495486677e-06,0,9.99200722162641e-16
"cbd_200_cbd",0.895960996020311,0.0475517167348964,3.72315534187608e-16,0.000394804598573577,NA,0.000189004181055941,7.9551920606491e-11,0.148772796357257,5.23474073077512e-05,0.000316359986030967,7.9551920606491e-11,4.82194650874845e-09,0.0018373939965004,9.62815855176657e-06,7.9551920606491e-11,1.43885897829765e-05
"cbd_200_dmso",0.000830638261183029,0.0325275032427129,2.08770593776119e-52,0.0398770083044301,0.00610140531528347,NA,6.19504447740837e-14,2.37343955600267e-09,1.64640477073874e-06,0.000405655934021087,6.19504447740837e-14,3.33066907387547e-16,0.000161491894996812,4.56648330993126e-06,6.19504447740837e-14,5.38966082763714e-07
"cbd_200_PC",7.4784349061264e-19,1.41116979165191e-46,0.788065312742424,2.17188813486977e-108,1.38447031992456e-16,6.85916686823333e-53,NA,0,7.9551920606491e-11,6.19504447740837e-14,0.902400194401253,0,7.9551920606491e-11,6.19504447740837e-14,0.902400194401253,0
"cbd_200_test_compounds",0.539949564788552,0.021851611081727,1.18921781405991e-132,1.55407349186644e-05,0.692674010552731,0.000180018398425229,7.35945193673565e-129,NA,1.41675410292308e-07,2.52053726779167e-08,0,0,2.07745015134986e-06,1.44650957878412e-12,0,0
"control_2_cbd",6.03637578496608e-07,2.51549878236275e-05,1.0679798497089e-12,0.00304470577157273,1.65754536198521e-06,0.000125933343233501,6.94509578469713e-13,9.37056583791222e-07,NA,0.00285711050682091,7.9551920606491e-11,0.0643543233193082,0.0262484856642886,4.27186192589746e-05,7.9551920606491e-11,0.0245409967659044
"control_2_dmso",7.51722510972624e-06,8.21843535462499e-05,7.93364752067154e-30,0.709342129496195,0.000130047518036456,0.00354906908267425,1.17103644988148e-31,4.61703590836884e-07,0.0044157998998706,NA,6.19504447740837e-14,1.214587319609e-09,0.886503670000986,0.262833842015551,6.19504447740837e-14,0.0803705212410151
"control_2_PC",2.00373323864201e-18,6.27544128113829e-45,0.660239617815748,2.79067392745295e-110,2.37220442516471e-16,3.38862008193344e-53,0.514766419296689,4.8877189022246e-132,8.2486361373883e-13,1.2581098125366e-30,NA,0,7.9551920606491e-11,6.19504447740837e-14,0.991963884966834,0
"control_2_test_compounds",1.81385952700572e-15,1.03090896102526e-39,7.0492883607319e-101,4.88503217956106e-20,5.16711963167546e-12,2.89388748358578e-42,1.27425215636195e-94,1.55357091473706e-42,0.00298865004152923,1.97977266271087e-17,1.86894222528278e-99,NA,1.6838547859388e-06,4.29878355134861e-13,0,0
"control_200_cbd",1.62367694586343e-05,0.000775013301066375,2.21019442255343e-17,0.523667801849966,0.00013762007316492,0.00999071344501736,3.91640229315904e-18,9.99393436515736e-06,0.0108711405946344,0.729914617550288,1.03672992013706e-17,2.64016237707081e-10,NA,0.486052359276995,7.9551920606491e-11,0.252560846744737
"control_200_dmso",4.00218010282459e-06,6.86501560829528e-09,6.03451372359217e-53,0.4852851009233,7.14459121234841e-05,3.16611163542813e-07,3.60325706083252e-52,4.48732842314399e-11,0.00469300830848289,0.753247295967525,3.03517228928258e-53,1.21272037025626e-31,0.869672543534752,NA,6.19504447740837e-14,0.00546672773369838
"control_200_PC",2.72569457393155e-18,3.04799587045495e-44,0.476355322769318,9.23945504668208e-111,2.80023993967538e-16,5.60668911003046e-53,0.370068463422011,8.05123051720281e-133,8.67171906720798e-13,2.75595974181014e-30,0.801649685174599,7.8121371876024e-101,1.40607410254737e-17,2.76129973304588e-53,NA,0
"control_200_test_compounds",2.31836111743434e-09,7.63164318089299e-18,2.04386710063572e-134,0.000224301261756914,2.46618668800761e-07,9.51931235779437e-17,3.70727003459033e-118,5.08387483707938e-19,0.317017042010589,0.000199332137874768,5.20816320363112e-129,3.73367476440886e-14,0.00708701094870164,6.1426795575639e-07,2.55007560499886e-132,NA
