well_type,cbd,comp,Avg,SD
cbd,control,200,175905.86666666667,13158.919000687962
dmso,control,200,176501.75,5489.470293998835
PC,control,200,37990.791666666664,4808.635456624898
test_compounds,control,200,164248.3422222222,31506.919978327842
cbd,cbd,200,200742,17099.26506774905
dmso,cbd,200,186309.75,5870.143604272608
PC,cbd,200,39367.791666666664,5690.5702929546505
test_compounds,cbd,200,198610.9022222222,45044.4911509051
cbd,control,2,158305.4,20852.419156676147
dmso,control,2,177391.29166666666,12597.74895171206
PC,control,2,38349.75,5031.391364743692
test_compounds,control,2,138290.95111111112,38444.97071896948
cbd,cbd,2,201490.8,13792.219329338242
dmso,cbd,2,190741.04166666666,7875.242568957958
PC,cbd,2,38964.416666666664,4582.567544194133
test_compounds,cbd,2,178967.64,50185.32369475662
