Plate,Well,Signal,,,,,,,,,,
1,A01,152656,,,,,,,,,,
1,A02,135992,,,,,,,,,,
1,A03,102352,,,,,,,,,,
1,A04,109829,,,,,,,,,,
1,A05,101694,,,,,,,,,,
1,A06,109361,,,,,,,,,,
1,A07,113522,,,,,,,,,,
1,A08,114638,,,,,,,,,,
1,A09,106651,,,,,,,,,,
1,A10,101213,,,,,,,,,,
1,A11,89953,,,,,,,,,,
1,A12,30031,,,,,,,,,,
1,B01,124657,,,,,,,,,,
1,B02,107318,,,,,,,,,,
1,B03,49333,,,,,,,,,,
1,B04,81625,,,,,,,,,,
1,B05,75069,,,,,,,,,,
1,B06,77150,,,,,,,,,,
1,B07,52039,,,,,,,,,,
1,B08,65791,,,,,,,,,,
1,B09,90081,,,,,,,,,,
1,B10,42581,,,,,,,,,,
1,B11,50638,,,,,,,,,,
1,B12,29443,,,,,,,,,,
1,C01,123416,,,,,,,,,,
1,C02,110110,,,,,,,,,,
1,C03,101160,,,,,,,,,,
1,C04,63314,,,,,,,,,,
1,C05,75203,,,,,,,,,,
1,C06,99913,,,,,,,,,,
1,C07,107614,,,,,,,,,,
1,C08,112427,,,,,,,,,,
1,C09,102251,,,,,,,,,,
1,C10,108993,,,,,,,,,,
1,C11,89130,,,,,,,,,,
1,C12,30563,,,,,,,,,,
1,D01,117664,,,,,,,,,,
1,D02,110005,,,,,,,,,,
1,D03,108877,,,,,,,,,,
1,D04,52973,,,,,,,,,,
1,D05,95619,,,,,,,,,,
1,D06,97971,,,,,,,,,,
1,D07,116130,,,,,,,,,,
1,D08,91008,,,,,,,,,,
1,D09,97080,,,,,,,,,,
1,D10,131505,,,,,,,,,,
1,D11,89307,,,,,,,,,,
1,D12,30529,,,,,,,,,,
1,E01,35212,,,,,,,,,,
1,E02,110745,,,,,,,,,,
1,E03,80874,,,,,,,,,,
1,E04,84901,,,,,,,,,,
1,E05,81911,,,,,,,,,,
1,E06,34108,,,,,,,,,,
1,E07,102314,,,,,,,,,,
1,E08,97475,,,,,,,,,,
1,E09,74417,,,,,,,,,,
1,E10,45342,,,,,,,,,,
1,E11,99707,,,,,,,,,,
1,E12,110180,,,,,,,,,,
1,F01,33427,,,,,,,,,,
1,F02,104812,,,,,,,,,,
1,F03,90626,,,,,,,,,,
1,F04,101592,,,,,,,,,,
1,F05,82339,,,,,,,,,,
1,F06,92094,,,,,,,,,,
1,F07,67974,,,,,,,,,,
1,F08,89460,,,,,,,,,,
1,F09,93713,,,,,,,,,,
1,F10,87966,,,,,,,,,,
1,F11,75892,,,,,,,,,,
1,F12,103170,,,,,,,,,,
1,G01,31554,,,,,,,,,,
1,G02,106890,,,,,,,,,,
1,G03,82834,,,,,,,,,,
1,G04,75781,,,,,,,,,,
1,G05,85543,,,,,,,,,,
1,G06,47490,,,,,,,,,,
1,G07,107407,,,,,,,,,,
1,G08,110453,,,,,,,,,,
1,G09,84360,,,,,,,,,,
1,G10,101892,,,,,,,,,,
1,G11,99133,,,,,,,,,,
1,G12,96439,,,,,,,,,,
1,H01,31606,,,,,,,,,,
1,H02,105988,,,,,,,,,,
1,H03,85259,,,,,,,,,,
1,H04,80653,,,,,,,,,,
1,H05,96693,,,,,,,,,,
1,H06,76813,,,,,,,,,,
1,H07,95244,,,,,,,,,,
1,H08,93375,,,,,,,,,,
1,H09,112736,,,,,,,,,,
1,H10,57949,,,,,,,,,,
1,H11,85979,,,,,,,,,,
1,H12,107224,,,,,,,,,,
2,A01,123664,,,,,,,,,,
2,A02,106471,,,,,,,,,,
2,A03,101851,,,,,,,,,,
