Plate,Well,Signal,,,,,,,,,,
1,A01,162974,,,,,,,,,,
1,A02,151675,,,,,,,,,,
1,A03,130688,,,,,,,,,,
1,A04,133368,,,,,,,,,,
1,A05,130282,,,,,,,,,,
1,A06,136943,,,,,,,,,,
1,A07,144520,,,,,,,,,,
1,A08,151692,,,,,,,,,,
1,A09,136784,,,,,,,,,,
1,A10,127301,,,,,,,,,,
1,A11,114851,,,,,,,,,,
1,A12,31501,,,,,,,,,,
1,B01,163485,,,,,,,,,,
1,B02,146997,,,,,,,,,,
1,B03,59805,,,,,,,,,,
1,B04,110133,,,,,,,,,,
1,B05,103836,,,,,,,,,,
1,B06,107738,,,,,,,,,,
1,B07,70022,,,,,,,,,,
1,B08,89312,,,,,,,,,,
1,B09,130434,,,,,,,,,,
1,B10,53974,,,,,,,,,,
1,B11,65792,,,,,,,,,,
1,B12,30907,,,,,,,,,,
1,C01,165291,,,,,,,,,,
1,C02,151924,,,,,,,,,,
1,C03,146800,,,,,,,,,,
1,C04,90587,,,,,,,,,,
1,C05,103032,,,,,,,,,,
1,C06,130884,,,,,,,,,,
1,C07,139036,,,,,,,,,,
1,C08,145283,,,,,,,,,,
1,C09,133264,,,,,,,,,,
1,C10,135671,,,,,,,,,,
1,C11,119147,,,,,,,,,,
1,C12,31896,,,,,,,,,,
1,D01,162057,,,,,,,,,,
1,D02,152403,,,,,,,,,,
1,D03,160040,,,,,,,,,,
1,D04,71409,,,,,,,,,,
1,D05,135548,,,,,,,,,,
1,D06,133016,,,,,,,,,,
1,D07,155867,,,,,,,,,,
1,D08,120648,,,,,,,,,,
1,D09,123332,,,,,,,,,,
1,D10,165630,,,,,,,,,,
1,D11,117159,,,,,,,,,,
1,D12,31870,,,,,,,,,,
1,E01,39375,,,,,,,,,,
1,E02,163060,,,,,,,,,,
1,E03,112723,,,,,,,,,,
1,E04,116788,,,,,,,,,,
1,E05,109594,,,,,,,,,,
1,E06,38257,,,,,,,,,,
1,E07,137366,,,,,,,,,,
1,E08,136372,,,,,,,,,,
1,E09,98474,,,,,,,,,,
1,E10,56068,,,,,,,,,,
1,E11,138049,,,,,,,,,,
1,E12,141856,,,,,,,,,,
1,F01,38057,,,,,,,,,,
1,F02,148051,,,,,,,,,,
1,F03,127407,,,,,,,,,,
1,F04,142272,,,,,,,,,,
1,F05,112396,,,,,,,,,,
1,F06,121923,,,,,,,,,,
1,F07,89516,,,,,,,,,,
1,F08,121769,,,,,,,,,,
1,F09,131343,,,,,,,,,,
1,F10,116542,,,,,,,,,,
1,F11,101796,,,,,,,,,,
1,F12,133493,,,,,,,,,,
1,G01,34553,,,,,,,,,,
1,G02,146056,,,,,,,,,,
1,G03,113590,,,,,,,,,,
1,G04,105180,,,,,,,,,,
1,G05,119086,,,,,,,,,,
1,G06,57615,,,,,,,,,,
1,G07,144424,,,,,,,,,,
1,G08,150804,,,,,,,,,,
1,G09,113963,,,,,,,,,,
1,G10,138166,,,,,,,,,,
1,G11,134920,,,,,,,,,,
1,G12,123166,,,,,,,,,,
1,H01,35870,,,,,,,,,,
1,H02,142943,,,,,,,,,,
1,H03,114263,,,,,,,,,,
1,H04,106208,,,,,,,,,,
1,H05,125025,,,,,,,,,,
1,H06,99920,,,,,,,,,,
1,H07,125159,,,,,,,,,,
1,H08,121895,,,,,,,,,,
1,H09,145727,,,,,,,,,,
1,H10,73243,,,,,,,,,,
1,H11,110703,,,,,,,,,,
1,H12,136080,,,,,,,,,,
2,A01,139602,,,,,,,,,,
2,A02,133910,,,,,,,,,,
2,A03,135487,,,,,,,,,,
2,A04,135928,,,,,,,,,,
2,A05,146639,,,,,,,,,,
2,A06,151838,,,,,,,,,,
2,A07,152785,,,,,,,,,,
2,A08,164066,,,,,,,,,,
2,A09,148195,,,,,,,,,,
2,A10,130075,,,,,,,,,,
2,A11,121651,,,,,,,,,,
2,A12,32485,,,,,,,,,,
2,B01,127868,,,,,,,,,,
2,B02,129484,,,,,,,,,,
2,B03,73773,,,,,,,,,,
2,B04,108397,,,,,,,,,,
2,B05,109084,,,,,,,,,,
2,B06,109290,,,,,,,,,,
2,B07,74335,,,,,,,,,,
2,B08,87350,,,,,,,,,,
2,B09,135808,,,,,,,,,,
2,B10,57792,,,,,,,,,,
2,B11,73736,,,,,,,,,,
2,B12,31678,,,,,,,,,,
2,C01,139429,,,,,,,,,,
2,C02,146165,,,,,,,,,,
2,C03,152628,,,,,,,,,,
2,C04,95264,,,,,,,,,,
2,C05,105072,,,,,,,,,,
2,C06,119417,,,,,,,,,,
2,C07,150237,,,,,,,,,,
2,C08,162672,,,,,,,,,,
2,C09,148618,,,,,,,,,,
2,C10,140144,,,,,,,,,,
2,C11,112994,,,,,,,,,,
2,C12,32133,,,,,,,,,,
2,D01,143365,,,,,,,,,,
2,D02,137199,,,,,,,,,,
2,D03,156969,,,,,,,,,,
2,D04,80624,,,,,,,,,,
2,D05,134159,,,,,,,,,,
2,D06,134579,,,,,,,,,,
2,D07,160991,,,,,,,,,,
2,D08,134189,,,,,,,,,,
2,D09,125400,,,,,,,,,,
2,D10,180813,,,,,,,,,,
2,D11,116444,,,,,,,,,,
2,D12,31894,,,,,,,,,,
2,E01,39332,,,,,,,,,,
2,E02,143414,,,,,,,,,,
2,E03,106845,,,,,,,,,,
2,E04,113981,,,,,,,,,,
2,E05,109682,,,,,,,,,,
2,E06,30425,,,,,,,,,,
2,E07,146773,,,,,,,,,,
2,E08,144204,,,,,,,,,,
2,E09,114738,,,,,,,,,,
2,E10,57623,,,,,,,,,,
2,E11,139719,,,,,,,,,,
2,E12,135885,,,,,,,,,,
2,F01,33945,,,,,,,,,,
2,F02,136559,,,,,,,,,,
2,F03,136339,,,,,,,,,,
2,F04,135490,,,,,,,,,,
2,F05,110082,,,,,,,,,,
2,F06,125384,,,,,,,,,,
2,F07,101506,,,,,,,,,,
2,F08,141642,,,,,,,,,,
2,F09,146431,,,,,,,,,,
2,F10,116933,,,,,,,,,,
