"","cbd_2_cbd","cbd_2_dmso","cbd_2_PC","cbd_2_test_compounds","cbd_200_cbd","cbd_200_dmso","cbd_200_PC","cbd_200_test_compounds","control_2_cbd","control_2_dmso","control_2_PC","control_2_test_compounds","control_200_cbd","control_200_dmso","control_200_PC","control_200_test_compounds"
"cbd_2_cbd",NA,3.10252157298407e-09,7.9551920606491e-11,0.000145177485601056,0.0754640094813278,1.27282939743623e-09,7.9551920606491e-11,0.000447491587436288,5.60865078291783e-06,5.1915527310431e-07,7.9551920606491e-11,5.55111512312578e-16,5.60865078291783e-06,3.70711550345959e-08,7.9551920606491e-11,2.28213004049849e-10
"cbd_2_dmso",5.15285758601453e-12,NA,6.19504447740837e-14,0.00020646077362807,1.97227295104518e-05,0.902400194401253,6.19504447740837e-14,6.2919567417663e-05,0.0688527622210385,0.00140135686298115,6.19504447740837e-14,1.58374706682451e-08,0.533151900736799,0.449036822040911,6.19504447740837e-14,0.00889921092244617
"cbd_2_PC",3.91546206551353e-23,1.725089538023e-27,NA,0,7.9551920606491e-11,6.19504447740837e-14,0.449036822040911,0,7.9551920606491e-11,6.19504447740837e-14,0.262833842015551,0,7.9551920606491e-11,6.19504447740837e-14,0.000405655934021087,0
"cbd_2_test_compounds",8.89893459387702e-14,0.764702694068673,6.75550650844714e-118,NA,0.00268361926290894,6.37041139236461e-05,0,0.0613398162290943,0.01786144634458,0.0040492055721193,0,0,0.0143738919274772,0.00375012683441711,0,9.99200722162641e-16
"cbd_200_cbd",0.359395376074504,1.19814771115077e-06,1.63856000950452e-15,1.48609189830537e-06,NA,2.08427397908606e-05,7.9551920606491e-11,0.00863567932008791,0.000353344999327154,2.69195453383997e-06,7.9551920606491e-11,3.28514992986584e-13,0.000353344999327154,2.08427397908606e-05,7.9551920606491e-11,5.39915700703553e-07
"cbd_200_dmso",1.85290239098225e-12,0.640407826141626,8.37703224610221e-30,0.922679561544785,2.40994505786085e-06,NA,6.19504447740837e-14,2.39987508569017e-05,0.0515219420272162,0.011965431606263,6.19504447740837e-14,4.64800816724065e-08,0.658464593124708,0.449036822040911,6.19504447740837e-14,0.147969021804008
"cbd_200_PC",2.78518136762084e-23,1.57786957678713e-27,0.170323132549746,2.45682794920232e-117,1.70789968846042e-15,6.77355776948695e-30,NA,0,7.9551920606491e-11,6.19504447740837e-14,0.139822579488938,0,7.9551920606491e-11,6.19504447740837e-14,0.139822579488938,0
"cbd_200_test_compounds",1.36153640590874e-10,0.0203615498212278,1.32011162641386e-141,0.0698445705642231,3.95188059294287e-05,0.0410842965409106,4.22093393209863e-141,NA,0.00963446517920008,0.000556829344374288,0,0,0.00773183983221926,0.00305287319665792,0,0
"control_2_cbd",6.99986016777167e-05,0.0428400114804498,6.78067209773771e-09,0.0354611843877697,2.5626623284149e-05,0.0307576410229257,7.5821935910006e-09,0.00766825648758792,NA,0.205630486582146,7.9551920606491e-11,0.186716486271534,0.0262484856642886,0.015037513109158,7.9551920606491e-11,0.327497460560611
"control_2_dmso",2.08731586350342e-09,0.0552689774128702,1.08756055352004e-19,0.0418065518743526,4.64510313242284e-08,0.0247358200556685,1.2421211391113e-19,0.000900522377949733,0.289993647793649,NA,6.19504447740837e-14,0.00444949012792417,0.0012369969015984,0.000104014342056757,6.19504447740837e-14,0.21984618884055
"control_2_PC",9.69857080847671e-25,1.76702932650685e-28,0.719695788884872,1.7489150897099e-118,1.15689965242503e-15,3.01606451178076e-31,0.403717731691522,3.10319965706487e-142,6.78104517097175e-09,7.24276140994685e-20,NA,0,7.9551920606491e-11,6.19504447740837e-14,0.011965431606263,0
"control_2_test_compounds",1.60536040204735e-36,3.74050073525433e-15,3.03647422684829e-110,1.73321006478572e-17,6.31146867106175e-12,8.34797044322066e-19,2.03609105068147e-109,1.32258432141429e-28,0.234649857283384,4.75500465593814e-05,3.6690453152595e-110,NA,2.57029482253479e-07,2.59714472150563e-12,0,0
"control_200_cbd",5.95342343668946e-09,0.140493257004672,2.29624906021933e-19,0.300939913879892,1.20713231009522e-05,0.261276530114018,2.06358837936193e-19,0.373071234621829,0.0147492136331865,0.0048626366378665,3.71357237329336e-20,5.6502188018245e-16,NA,0.694777560035656,7.9551920606491e-11,0.0119520432391966
"control_200_dmso",4.47397237677724e-11,0.0408091503920546,5.3535564707362e-33,0.135851450312495,1.90873160889488e-05,0.0838241152918817,3.52235514514681e-33,0.545196052873103,0.0109053720787615,0.00174934352984366,3.60789216313559e-35,3.36240217549943e-26,0.680330047557135,NA,6.19504447740837e-14,0.000432285443419334
"control_200_PC",7.09363445620085e-24,7.57942034794173e-28,0.0138363225055436,5.0979477118334e-117,1.60316248654992e-15,2.15549804038685e-30,0.223654974606079,7.15796293481509e-141,8.37072610152044e-09,1.24447512682613e-19,0.0636155404915639,1.10676969647476e-108,1.11273506088372e-19,5.72974206434083e-34,NA,0
"control_200_test_compounds",1.98778676063505e-21,0.00132886557930521,8.47960998264082e-161,0.00115032142736792,3.43279492890811e-08,6.41951431206388e-05,6.92728714461995e-160,3.06509233170317e-09,0.265670014124762,0.960997383129716,2.80461257517875e-157,2.67172018070034e-13,1.01059934042082e-05,3.21461348899258e-09,3.46287267447744e-158,NA
