Results for Tim_CTB(1) - channel 1 (RFU),,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,
A,135189,100947,97277,97261,101664,89834,107794,112896,103335,76771,103866,26820,,,,
B,139138,96400,40284,77478,89540,81647,86524,96008,94423,44635,42232,28405,,,,
C,152156,116674,110007,58295,64468,83250,95805,107451,105198,84458,97998,27333,,,,
D,138231,105950,93260,44191,83860,81424,96556,95249,88086,78898,91772,29051,,,,
E,28943,102317,93925,85991,81543,82118,94168,97680,85356,41765,75144,103235,,,,
F,30035,94305,86271,78730,83192,94204,88402,93040,104611,100256,94894,108206,,,,
G,29305,87538,92694,85060,87830,50175,94555,106898,86375,99446,92041,102747,,,,
H,28402,99630,92002,78761,76810,67382,93518,100132,106464,58865,98809,108257,,,,
,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date
1,1,,14.78,23.15,23.15,26.6,26.4,22.95,22.86,1,Tim_CTB(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,12/12/22 12:30
,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,
1,Tim_CTB,0,1071,1,00:00.0,De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
,,,,,,,,,,,,,,,,
Results for Tim_CTB(1) - channel 1 (RFU),,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,
A,98443,104242,101316,105342,117615,122698,115471,124449,121773,73507,107537,27935,,,,
B,114116,108660,47560,96254,102116,92974,111484,107550,103921,46265,43454,28764,,,,
C,122109,117090,109524,62961,74673,104033,112843,108774,112993,66774,92194,28626,,,,
D,104668,97483,100313,53573,96559,102417,105935,103605,94451,75869,100629,28835,,,,
E,29171,98028,88957,93884,75298,103398,111797,113067,91329,45440,78410,106236,,,,
F,29555,97246,89221,91801,100272,109820,194772,110928,118317,111996,94518,112731,,,,
G,28560,89652,92292,96601,100720,63103,109620,111706,89724,105620,107249,110521,,,,
H,28047,93189,101769,82810,88835,81836,97002,104748,119002,54521,98009,106620,,,,
,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date
2,1,,14.78,23.15,23.15,26.2,26.2,22.86,22.86,1,Tim_CTB(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,12/12/22 12:31
,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,
2,Tim_CTB,0,1079,1,00:00.0,De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
,,,,,,,,,,,,,,,,
Results for Tim_CTB(1) - channel 1 (RFU),,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,
A,112471,107692,95239,103864,118188,120123,132505,128009,135329,84091,117332,27826,,,,
B,120569,110436,51067,106860,105976,102831,118275,124335,109701,48051,45392,29578,,,,
C,117505,120909,115388,65640,73623,99338,116303,113940,117430,83345,112608,28338,,,,
D,108343,104110,104154,58291,97907,100168,109522,110026,100071,87413,109486,29525,,,,
E,29437,100004,93888,98712,79695,104857,107789,116036,88588,47208,96369,111608,,,,
F,29972,100501,89832,90784,91396,96389,95032,101075,110528,109071,105360,113617,,,,
G,29062,101334,91408,97570,95505,58014,108528,115491,90949,98825,107119,102938,,,,
H,28849,104408,95528,84692,84923,80581,98707,104879,109861,56217,99245,106394,,,,
,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date
3,1,,14.78,23.25,23.25,26.2,26.2,22.76,22.86,1,Tim_CTB(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,12/12/22 12:32
,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,
3,Tim_CTB,0,1214,1,00:00.0,De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
,,,,,,,,,,,,,,,,
Results for Tim_CTB(1) - channel 1 (RFU),,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,,,,
A,110851,113155,100388,101666,122272,116829,118472,133334,131652,97284,92453,27924,,,,
B,128690,126572,51978,91578,90845,89562,62584,71199,115261,45905,47054,29960,,,,
C,131796,129254,126132,66669,73589,97626,125730,122008,117990,111294,111465,28438,,,,
D,122045,125027,118009,54429,102986,165785,121694,101555,94009,136520,105994,30244,,,,
E,29554,109824,81201,77554,81708,31057,122731,122226,81498,48717,115941,118466,,,,
F,30225,107684,91767,101079,86576,100595,68593,109647,128106,105296,101468,120688,,,,
G,28583,101798,86586,82926,108630,46280,115931,134639,95780,112958,127669,117605,,,,
H,28392,112819,74580,82196,84140,77894,106108,102473,124792,54450,91467,121132,,,,
,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date
4,1,,14.78,23.25,23.25,26.2,26.2,22.86,22.95,1,Tim_CTB(1),0,0,De=1st Ex=Top Em=Top Wdw=N/A (14),0,12/12/22 12:32
,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,
4,Tim_CTB,0,1075,1,00:00.0,De=1st Ex=Top Em=Top Wdw=N/A (14),,,,,,,,,,
,,,,,,,,,,,,,,,,
Results for Tim_CTB(1) - channel 1 (RFU),,,,,,,,,,,,,,,,
