Plate,Well,Signal,,,,,,,,,,
1,A01,195088,,,,,,,,,,
1,A02,156593,,,,,,,,,,
1,A03,147622,,,,,,,,,,
1,A04,135168,,,,,,,,,,
1,A05,138543,,,,,,,,,,
1,A06,121204,,,,,,,,,,
1,A07,135939,,,,,,,,,,
1,A08,141397,,,,,,,,,,
1,A09,136654,,,,,,,,,,
1,A10,117141,,,,,,,,,,
1,A11,138104,,,,,,,,,,
1,A12,30366,,,,,,,,,,
1,B01,188686,,,,,,,,,,
1,B02,144430,,,,,,,,,,
1,B03,52196,,,,,,,,,,
1,B04,112685,,,,,,,,,,
1,B05,128158,,,,,,,,,,
1,B06,109495,,,,,,,,,,
1,B07,119395,,,,,,,,,,
1,B08,137057,,,,,,,,,,
1,B09,135246,,,,,,,,,,
1,B10,56618,,,,,,,,,,
1,B11,52253,,,,,,,,,,
1,B12,29865,,,,,,,,,,
1,C01,211384,,,,,,,,,,
1,C02,174745,,,,,,,,,,
1,C03,170017,,,,,,,,,,
1,C04,85066,,,,,,,,,,
1,C05,105328,,,,,,,,,,
1,C06,131270,,,,,,,,,,
1,C07,151496,,,,,,,,,,
1,C08,156892,,,,,,,,,,
1,C09,169284,,,,,,,,,,
1,C10,128465,,,,,,,,,,
1,C11,146975,,,,,,,,,,
1,C12,30481,,,,,,,,,,
1,D01,198289,,,,,,,,,,
1,D02,173247,,,,,,,,,,
1,D03,162668,,,,,,,,,,
1,D04,62254,,,,,,,,,,
1,D05,139229,,,,,,,,,,
1,D06,128184,,,,,,,,,,
1,D07,157551,,,,,,,,,,
1,D08,145519,,,,,,,,,,
1,D09,137394,,,,,,,,,,
1,D10,116347,,,,,,,,,,
1,D11,137017,,,,,,,,,,
1,D12,31436,,,,,,,,,,
1,E01,31612,,,,,,,,,,
1,E02,169542,,,,,,,,,,
1,E03,156534,,,,,,,,,,
1,E04,135880,,,,,,,,,,
1,E05,125468,,,,,,,,,,
1,E06,138111,,,,,,,,,,
1,E07,151827,,,,,,,,,,
1,E08,151928,,,,,,,,,,
1,E09,131915,,,,,,,,,,
1,E10,56440,,,,,,,,,,
1,E11,114961,,,,,,,,,,
1,E12,154080,,,,,,,,,,
1,F01,33472,,,,,,,,,,
1,F02,159538,,,,,,,,,,
1,F03,146175,,,,,,,,,,
1,F04,143824,,,,,,,,,,
1,F05,140608,,,,,,,,,,
1,F06,143635,,,,,,,,,,
1,F07,136836,,,,,,,,,,
1,F08,148686,,,,,,,,,,
1,F09,162292,,,,,,,,,,
1,F10,151326,,,,,,,,,,
1,F11,141076,,,,,,,,,,
1,F12,157861,,,,,,,,,,
1,G01,33445,,,,,,,,,,
1,G02,150190,,,,,,,,,,
1,G03,148422,,,,,,,,,,
