well_type,cbd,comp,Avg,SD
cbd,control,5000,152034.2,5707.030403683813
dmso,control,5000,138189.29166666666,16173.789162337736
PC,control,5000,32693.916666666668,1611.7647610391339
test_compounds,control,5000,126278.87053571429,33620.44571249659
cbd,cbd,5000,164082.07142857142,12628.733692924765
dmso,cbd,5000,131221.95833333334,10916.07567835528
PC,cbd,5000,33441,1391.0013284149566
test_compounds,cbd,5000,135557.32735426008,35433.02480096089
cbd,control,2000,161860.26666666666,12155.028339078834
dmso,control,2000,159694.91666666666,5456.403696309635
PC,control,2000,31664.875,746.6805563699041
test_compounds,control,2000,139325.3004484305,38002.7093642274
cbd,cbd,2000,163641.93333333332,11911.515565479762
dmso,cbd,2000,142982.66666666666,6691.779464820781
PC,cbd,2000,33469.75,949.4196511095836
test_compounds,cbd,2000,142209.60633484164,35067.471598123986
cbd,control,200,155006.86666666667,9549.48152569153
dmso,control,200,155936.375,15129.403076855231
PC,control,200,30988.916666666668,823.3920782305072
test_compounds,control,200,134478.3080357143,28755.852207944332
cbd,cbd,200,159807.42857142858,7522.116863615594
dmso,cbd,200,139278.91666666666,3368.179858316805
PC,cbd,200,32912.583333333336,821.6183879163847
test_compounds,cbd,200,149474.0269058296,26665.420742051385
