Well,comp,Avg_cbd,Avg_control,SD_cbd,SD_control,ratio,log2ratio,ratioSD,well_type,correction,significance,sign_values
A02,5000,1.1208410967747704,1.1168080808935366,0.10697265391716039,0.02023408800395484,1.0036111986922651,0.0052004741136647955,0.0974949064338492,cbd,0.8086213858245668,0,0
B02,5000,0.9911908940122917,0.7482429804900839,0.1285139317435175,0.07846102206106535,1.3246912030675944,0.4056560942238291,0.2208955607710844,cbd,0.8829000815254255,0,0
C02,5000,0.9403855750878622,1.0191306168196408,0.09784341942792776,0.017862427269775133,0.9227331213171527,-0.116014652028781,0.09735942449627695,cbd,1.1174519703097066,0,-0
D02,5000,0.9981981020043843,1.1020196955990438,0.06263258339486094,0.07622439328880963,0.9057897113733313,-0.14275194259910923,0.08458938723939503,cbd,1.0749684858521213,0,-0
E02,5000,0.9493843321206916,1.013798626197695,0.07501058283788932,0.03524706641399615,0.936462437004287,-0.09470696804796219,0.0808363006513293,cbd,1.0981350383069457,0,-0
A01,5000,1.549206928100055,1.2025878176366165,0.2524457470715775,0.06313517117440628,1.2882276914667496,0.36538760922763075,0.2205444815973091,dmso,0.8471387282721314,0,0
B01,5000,1.0498584306858676,0.6002938983951389,0.15346760406409377,0.10939928495692111,1.7489073826880817,0.8064538901317341,0.408589315952103,dmso,0.9317287507838756,0,0
C01,5000,1.0090316279412037,0.7101346015762309,0.04731166407769055,0.03370648110239219,1.4209019328188406,0.5068069867283653,0.09480110985769105,dmso,1.2312997131034584,2,0.5068069867283653
D01,5000,0.9497540924462584,0.7539849280438707,0.13521978830066753,8.053100920044297e-4,1.2596459917445417,0.33301833871365655,0.1793452205787146,dmso,0.9009555505871125,0,0
E12,5000,1.3501915187398947,1.2327122588682646,0.3143904886053366,0.11827034342603084,1.0953014452695442,0.1313279782693582,0.2758413205564637,dmso,0.5436188041566168,0,0
F12,5000,1.620905428404584,1.3518315968660346,0.3406532276318558,0.06690216758900554,1.199043898783211,0.26188447893351763,0.25888648383055507,dmso,0.6812709311221009,0,0
G12,5000,1.4477335981666908,1.2035680612546398,0.14893261925487836,0.026737545375769414,1.2028680759919175,0.2664784242689203,0.12659499028786098,dmso,0.9496780954161955,0,0
H12,5000,1.1998359960822451,1.121430604500531,0.2028162577462579,0.12105682368469803,1.0699155090533978,0.097496871876393,0.21458750395616152,dmso,0.6407405011410747,0,0
A12,5000,0.3615214877940388,0.18650944671933908,0.13576265973250545,0.0053756452725838575,1.9383548348521953,0.9548326943974158,0.7300538589437351,PC,0.4782471169647251,0,0
B12,5000,0.2632560005142452,0.1808358789542697,0.11530402093975027,0.009758190217796168,1.4557730580711703,0.5417854698814255,0.6424378467251058,PC,0.17089736462095861,0,0
C12,5000,0.24434919885736592,0.16594085817619944,0.036965732234006544,0.011825611773455839,1.4725077448852946,0.5582752221563962,0.2462432885489532,PC,0.9800211677873882,0,0
D12,5000,0.2612747539427277,0.20453131988631187,0.05835848692265563,0.021911529824634745,1.2774315155642495,0.3532459488503868,0.3164496971726438,PC,0.6445321212189619,0,0
E01,5000,0.2652084334158926,0.17476325931117537,0.009431506106590066,0.028461712321046342,1.5175296825042315,0.601724735514138,0.25296653940214125,PC,1.011596603699949,2,0.601724735514138
F01,5000,0.30689920609251764,0.1552466440162926,0.06223586552547914,0.02730604972077973,1.9768492133093043,0.9832028318626556,0.5306657924935305,PC,0.9155176283222433,0,0
G01,5000,0.39640167459025893,0.15419965132222493,0.10013204092497946,0.010152474005199688,2.5707040916838,1.3621635541507642,0.6710615389005914,PC,1.2285810138826174,2,1.3621635541507642
H01,5000,0.328837124932402,0.19334798894663968,0.05379171945275698,0.032644594662480556,1.7007527552984,0.7661734263446659,0.3998231106704552,PC,0.9011065339574897,0,0
A03,5000,1.0587519533478909,1.023607245263804,0.14756938245944867,0.10071300918535132,1.0343341728448094,0.048702367101214,0.17646715155201276,test_compounds,0.6813998697407839,0,0
A04,5000,1.0714755918147076,1.1832672180341473,0.15569688188519235,0.1419990133090922,0.905522924563762,-0.14317692943162735,0.1706535067679229,test_compounds,1.2468299380996077,0,-0
A05,5000,1.0590274891996578,1.1431839863242426,0.30234537756398266,0.1314639332338804,0.9263841182772522,-0.11031757459027663,0.2851262897203928,test_compounds,1.4966366977180376,0,-0
A06,5000,0.957155879427347,1.1807573546515056,0.1982851032386173,0.11337555071314019,0.8106287677622357,-0.3028867199325732,0.18509209316881683,test_compounds,1.1808129540998693,0,-0
A07,5000,1.076603695496849,1.2472023769457006,0.09360806386189616,0.16028247970534226,0.8632149163581341,-0.21220830006841077,0.13393920926638553,test_compounds,1.1310933348909051,0,-0
A08,5000,1.0634711871254166,1.0791095438696825,0.024112973331013362,0.09339825143308544,0.9855080915249931,-0.02106037830651858,0.08817526128568258,test_compounds,1.1618586140963583,0,-0
A09,5000,1.0662232961366485,1.107556732577402,0.0646351098446572,0.15125033532226845,0.9626805244147031,-0.05487099080859957,0.14383645883976137,test_compounds,1.2503534420942257,0,-0
A10,5000,1.112708660118821,1.0858885713434245,0.10850936573886502,0.07758505692959157,1.0246987485485877,0.03519983377472993,0.12387706913109288,test_compounds,0.7769446102864019,0,0
A11,5000,1.0772548917521985,1.0879696224308164,0.1295395417425805,0.08639971640131798,0.9901516269777106,-0.014278625514623654,0.14268672938587793,test_compounds,1.2755250857494664,0,-0
B03,5000,0.28592770351604746,0.26053588905670955,0.022878009439481293,0.018591781979328696,1.0974599489969346,0.13416829061454044,0.11766050273334265,test_compounds,0.8621389435302492,0,0
B04,5000,0.6052219855832562,0.5653139156251594,0.2969411384638815,0.050501913762008965,1.0705945296145134,0.09841218608781592,0.5339038444638118,test_compounds,0.0027868406868898354,0,0
B05,5000,0.313295117570633,0.3227222676716442,0.017882733142894104,0.058627898463634726,0.970788659335392,-0.042770839731808084,0.18486036686494142,test_compounds,1.340509393065275,0,-0
B06,5000,0.8215079567808772,0.7451174936182743,0.20686797209572663,0.031153184010628946,1.1025213658474886,0.14080661415335374,0.2814320864615551,test_compounds,0.5396571929243784,0,0
B07,5000,0.27209896085194885,0.26698907160243385,0.02088901797532773,0.060094478701192534,1.019138945346512,0.027350756211357994,0.24236573450758664,test_compounds,0.5344074763313388,0,0
B08,5000,0.38276094025176355,0.402093098368858,0.02833335249651545,0.02620444796474788,0.951921188909937,-0.07108595945854418,0.09388201407003492,test_compounds,1.139685217050007,0,-0
B09,5000,0.7776855313873587,0.8942207552232935,0.037466054826317305,0.0076185120439868125,0.8696795806234278,-0.20144413368761854,0.04254810725228513,test_compounds,0.954775795127998,2,-0.20144413368761854
B10,5000,0.28072274053733537,0.20030354356434257,0.04178699968593445,0.03498094213454395,1.4014866414340799,0.48695799308346055,0.3216002298744252,test_compounds,0.7582861816852294,0,0
B11,5000,0.3210808929907083,0.2651335256349303,0.06327736830222454,0.003910032864527466,1.2110158163581828,0.2762177073381932,0.23932955102809603,test_compounds,0.7323567143019907,0,0
C03,5000,0.8312832686478517,0.9101590329788191,0.1458792016546274,0.003488298609990512,0.913338480998405,-0.13077847634198622,0.1603170251162666,test_compounds,1.2339725312309382,0,-0
C04,5000,0.5232118157091739,0.4742950672014747,0.10548092766943877,0.07162394169474229,1.1031356889210908,0.14161025756001205,0.27786778985700905,test_compounds,0.5474001092070727,0,0
C05,5000,0.4737496322637441,0.5393755974018315,0.021266818291658145,0.0179254651727929,0.8783297474817044,-0.1871654287648399,0.049057925074145387,test_compounds,0.9764455976299953,2,-0.1871654287648399
C06,5000,0.6305984503260647,0.8133638912329786,0.018099806674616522,0.01319876510722291,0.7752968346924527,-0.3671793200505633,0.025563246725266726,test_compounds,0.8264233281429861,2,-0.3671793200505633
C07,5000,0.8987598734447568,0.850913609373329,0.06987424250203618,0.14089987741482685,1.056229285258071,0.07892304757375236,0.19321557211245702,test_compounds,0.669798141033157,0,0
C08,5000,0.9939651640510526,0.9101581899632112,0.3468535607165909,0.050458115355228705,1.0920795692573275,0.12707797529703507,0.3858707958608215,test_compounds,0.3203379775356845,0,0
C09,5000,0.7920317522517559,0.8692381853755912,0.050263123384145555,0.06787097174326806,0.9111791975746268,-0.1341932845166086,0.09168082871794365,test_compounds,1.0945408550105142,0,-0
C10,5000,0.852167729555533,0.7789079146354726,0.22650752818193481,0.06395370407465625,1.0940545262713703,0.12968464198878377,0.30435963829160007,test_compounds,0.4853352496881702,0,0
C11,5000,0.6281177575168663,0.8910639931758934,0.19453573828724158,0.052950662181000585,0.7049075737850825,-0.5044939885580084,0.2223007083260054,test_compounds,1.1495089904370932,0,-0
D03,5000,0.8608709627931591,0.9320085703726718,NA,0.02145617721450553,0.9236727967522147,-0.11454621521975453,NA,test_compounds,NA,NA,NA
D04,5000,0.5226201568750699,0.45517177904450695,0.05221020161311965,0.04296276549866212,1.1481822488471276,0.19935165650811038,0.1578041925885616,test_compounds,0.8325738636700044,0,0
D05,5000,0.7790606766884899,0.9940010018563957,0.09598673015016101,0.007147476863453032,0.7837624662686623,-0.3515116097561693,0.09673034453573137,test_compounds,0.977223155340125,2,-0.3515116097561693
D06,5000,0.9533946187151494,0.8273080921478831,0.026201535266072253,0.08412437767383765,1.1524057697053542,0.20464878871391315,0.12138618712040926,test_compounds,0.9096333954645357,0,0
D07,5000,1.0202743891075037,0.520818614630173,0.012647493680151336,0.38394081735871516,1.9589821877468574,0.9701042798075904,1.4443407563624178,test_compounds,-0.9296993249779781,NA,NA
D08,5000,0.8776277088476692,0.9570463238133093,0.18621512800420018,0.01209264409391432,0.9170169583336362,-0.12497968115687352,0.19491743747378176,test_compounds,1.3068518332811996,0,-0
D09,5000,0.825157260682379,0.9637925190969574,0.23229102391063938,0.06053032539246194,0.8561565319634612,-0.2240535047539337,0.24694283347984936,test_compounds,1.35004219892316,0,-0
D10,5000,1.3036199150939267,1.5317010158679862,0.016672943326288787,0.11670564649472172,0.8510929362772471,-0.2326114172821394,0.06575498579526344,test_compounds,0.982602907867774,2,-0.2326114172821394
D11,5000,0.8711249029552182,1.0496334403716665,0.14484049993817164,0.012905064762840434,0.8299324978125316,-0.268934094610195,0.13836825890761204,test_compounds,1.1066690156277557,0,-0
E03,5000,0.6181854975793476,0.6051624611671093,0.042182601013878156,0.028044636710819422,1.021519901262749,0.030717310946710617,0.08426012361465632,test_compounds,0.8529996540334364,0,0
E04,5000,0.7726728533522292,0.7704022315241207,0.08383133929012027,0.021341677818390976,1.0029473199001728,0.004245829963319006,0.11230601355655787,test_compounds,0.778335292787057,0,0
E05,5000,0.683089421737544,0.7304499413230767,0.16764996681846206,0.0069861365820715485,0.9351625389965151,-0.096710955743211,0.22969022936651498,test_compounds,1.3945429977295452,0,-0
