Plate information 
Plate,Repeat,Barcode,Measured height,Inside temperature at start,Inside temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Measurement date,
1,1,="",14.71,22.86,22.86,56.6,56.6,22.47,22.66,7/13/2023 1:53:26 PM,
2,1,="",14.66,22.86,22.86,55.9,56.3,22.95,22.76,7/13/2023 1:54:29 PM,
3,1,="",14.66,22.86,22.96,56.2,56.6,22.57,22.57,7/13/2023 1:55:40 PM,
4,1,="",14.66,22.96,22.96,56.5,57,22.47,22.18,7/13/2023 1:56:48 PM,
5,1,="",14.66,22.96,22.96,57.1,56.3,22.18,22.57,7/13/2023 1:58:06 PM,


Background information
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,
1,new alamar blue,0,1463,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),
2,new alamar blue,0,1539,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),
3,new alamar blue,0,1537,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),
4,new alamar blue,0,1341,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),
5,new alamar blue,0,1534,1,00:00:00.000,De=1st Ex=Top Em=Top Wdw=N/A (14),

,,PltRpt=1 Group=1 new alamar blue(1) De=1st Ex=Top Em=Top Wdw=N/A (14),
Plate,Well,Signal,
1,A01,471172,
1,A02,366009,
1,A03,374116,
1,A04,337855,
1,A05,268832,
1,A06,306077,
1,A07,305828,
1,A08,299481,
1,A09,319255,
1,A10,348535,
1,A11,441382,
1,A12,423419,
1,A13,322682,
1,A14,369763,
1,A15,326643,
1,A16,396880,
1,A17,370465,
1,A18,371310,
1,A19,360901,
1,A20,358195,
1,A21,275152,
1,A22,263523,
1,A23,113793,
1,A24,160562,
1,B01,395881,
1,B02,362550,
1,B03,382921,
1,B04,366432,
1,B05,323999,
1,B06,354803,
1,B07,343089,
1,B08,373395,
1,B09,322075,
1,B10,405579,
1,B11,364688,
1,B12,416811,
1,B13,332997,
1,B14,368428,
1,B15,375399,
1,B16,370427,
1,B17,401905,
1,B18,366248,
1,B19,400524,
1,B20,333706,
1,B21,302183,
1,B22,402211,
1,B23,150530,
1,B24,145676,
1,C01,447710,
1,C02,441438,
1,C03,416492,
1,C04,399839,
1,C05,98819,
1,C06,115786,
1,C07,268556,
1,C08,336008,
1,C09,420111,
1,C10,403970,
1,C11,443612,
1,C12,426946,
1,C13,298556,
1,C14,282201,
1,C15,281630,
1,C16,299368,
1,C17,373941,
1,C18,389338,
1,C19,202233,
1,C20,186778,
1,C21,125341,
1,C22,134753,
1,C23,146258,
1,C24,117613,
1,D01,351080,
1,D02,454624,
1,D03,397040,
1,D04,352323,
1,D05,113516,
1,D06,382175,
1,D07,301059,
1,D08,385906,
1,D09,371836,
1,D10,474667,
1,D11,394157,
1,D12,406167,
1,D13,291331,
1,D14,400833,
1,D15,277224,
