Well,comp,Avg_cbd,Avg_control,SD_cbd,SD_control,well_type,ratio
A02,200,197326,186229,18867.24121327758,19835.213106997362,cbd,1.0595879266924055
B02,200,201433,165610,21654.25549401318,14114.599392118786,cbd,1.2163094016061833
C02,200,211086.33333333334,179506.33333333334,17760.0555273156,9816.634267065945,cbd,1.175926940367935
D02,200,193518,170789.33333333334,22678.38858913922,5769.021956392031,cbd,1.1330801299066295
E02,200,200346.66666666666,177394.66666666666,11612.246007268936,10435.439632968672,cbd,1.1293838221367045
A01,200,191762,176242,2790.0586015351005,10888.268365539123,dmso,1.0880607346716447
B01,200,182484.66666666666,178191.33333333334,9363.433148868706,2790.018339246775,dmso,1.02409395144545
C01,200,181199.66666666666,172804.66666666666,6837.137583326325,2674.4514079215073,dmso,1.0485808639427177
D01,200,190761,176267,5639.162792471946,2528.2050945285273,dmso,1.0822275298269104
E12,200,185384,177389.66666666666,3349.493543806287,9436.334475490647,dmso,1.045066510826448
F12,200,188192,176764.66666666666,3696.7158397691323,5447.9277099951805,dmso,1.0646471579916048
G12,200,188294.66666666666,178159.66666666666,4237.187549936081,6694.7840393349015,dmso,1.0568871742388382
H12,200,182400,176195,2926.4428919765373,3549.3251471230415,dmso,1.0352166633559408
A12,200,34131.666666666664,34067.666666666664,493.15345819869634,422.5427000118844,PC,1.0018786141307006
B12,200,34344.333333333336,33995.333333333336,239.63374831883203,963.0728598259498,PC,1.010266114956955
C12,200,42677.666666666664,41722.333333333336,1231.3083827105756,497.0969053749312,PC,1.0228974090614937
D12,200,35108.666666666664,34799.333333333336,800.9121882786735,691.3727889737442,PC,1.0088890591773787
E01,200,51304,48050.666666666664,1398.6064492915796,335.65508089902846,PC,1.0677063100061048
F01,200,42480,39837,415.8737789281743,1391.2868144275644,PC,1.0663453573311243
G01,200,38007.333333333336,37006.666666666664,1603.603857981557,1246.193136449296,PC,1.0270401729418124
H01,200,36888.666666666664,34447.333333333336,1544.6437561241535,289.5761270086561,PC,1.0708714752956203
A02,2,198157,178984.33333333334,20627.327286878444,20375.80369785038,cbd,1.1071192450735912
B02,2,194933.66666666666,152916,10602.53353370473,13168.114557521134,cbd,1.2747761298141898
C02,2,207945,157036.33333333334,16930.760083351248,27315.221330484095,cbd,1.3241839998811316
D02,2,199843,136437.33333333334,13153.81469384452,11673.219535900682,cbd,1.464723731529982
E02,2,206575.33333333334,166153,12145.015822687648,8700.476251332453,cbd,1.2432838006736764
A01,2,198689.33333333334,199941.66666666666,12760.315212930022,9358.8070999104,dmso,0.993736506481057
B01,2,190252.66666666666,168213.66666666666,7426.189960762742,3277.8043464083294,dmso,1.1310178919271323
C01,2,189808,168156.33333333334,6571.440100921563,9565.568061193926,dmso,1.1287591507109456
D01,2,191716.33333333334,171520,13592.386704818744,2780.21527943431,dmso,1.1177491449004975
E12,2,193143.66666666666,182202.33333333334,5106.294187895301,12970.695637988478,dmso,1.0600504567266793
F12,2,183489.33333333334,170563.66666666666,1976.2692967643184,10076.016590564614,dmso,1.075782063784589
G12,2,190667.33333333334,174477,5602.280369040212,5935.9694237756985,dmso,1.092793510510459
H12,2,188161.66666666666,184055.66666666666,3250.585229359989,8352.514012758873,dmso,1.0223084682713743
A12,2,34528.666666666664,34421,346.74822758499187,872.3353712879009,PC,1.0031279354657525
B12,2,34185.666666666664,34315.666666666664,932.3970899425487,196.617225423749,PC,0.9962116428842025
C12,2,39396,39197.666666666664,3259.4435107852382,221.71453117315818,PC,1.0050598249895828
D12,2,35083.333333333336,34561,524.0747402168257,523.1261798075107,PC,1.0151133744201075
E01,2,46760.666666666664,49224.333333333336,3917.5365133376017,2838.0391705072243,PC,0.9499502278683306
F01,2,41547,40809,3652.3220011384537,1432.2681313217856,PC,1.0180842461221788
G01,2,41194.666666666664,38626.333333333336,2135.3927819802457,2624.0362675339175,PC,1.06649177158933
H01,2,39019.333333333336,35643,1039.2017770064356,2296.1983799314903,PC,1.0947264072421887
