plate,drugs,drug_avg,drug_sd,ctrl_count,ctrl_avg,ctrl_sd,ttest_pval,wilcox_pval,ttest_color,wilcox_color,drug_to_ctlr,d_t_c_SD
1,Hydroxyurea,299636,28141.86086597686,4,364732.25,26181.097626277373,0.03275681228007867,0.05714285714285714,orange,gray,0.8215231858438622,0.09711226753798247
1,Tazemetostat,316132.6666666667,23559.584723278407,2,364099,13146.529275820292,0.06200122889100992,0.2,gray,gray,0.8682601893074869,0.07190115544270807
1,Pemetrexed,329955,16152.411584651996,2,389487,22757.524645707847,0.10577695136881085,0.2,gray,gray,0.8471527932896348,0.06457526181178296
1,Raloxifene (hydrochloride),409829.6666666667,40112.27859812172,2,411195,7942.223366287301,0.9590436060893965,0.7999999999999998,gray,gray,0.9966795964607222,0.09943186366404853
1,Mifepristone,341814,24747.924296797097,2,392619.5,34211.94739414873,0.2327485448304696,0.4,gray,gray,0.8705986330276515,0.09863149933505992
1,Fulvestrant,366307.3333333333,35990.315979904,2,369427.5,1413.5064555919084,0.8944792045258194,0.7999999999999998,gray,gray,0.9915540487195277,0.09749570949127113
1,Enzalutamide,381226.6666666667,17912.945272437286,2,368337.5,2954.999238578582,0.33841133201731677,0.2,gray,gray,1.034992816823339,0.04933562574552224
1,Rucaparib,373206.6666666667,23696.16286096408,2,349977,23010.66887337263,0.37445883001525765,0.7999999999999998,gray,gray,1.0663748379655424,0.09746896702007213
1,5-Fluorouracil,280286,19834.75149831729,2,367958.5,48440.35004518444,0.20979424580215186,0.2,gray,gray,0.7617326410451178,0.1138492789374281
1,Gemcitabine,109373.66666666667,9210.807040283351,6,368621.3333333333,18841.466574199225,2.2390842941860858e-8,0.023809523809523808,orange,orange,0.29671008369926144,0.029229469196310365
1,Erlotinib,301874.3333333333,33733.390762467585,4,374069.75,13873.894367360113,0.05220349094427935,0.05714285714285714,gray,gray,0.8070001205211951,0.09501675570684404
1,Saracatinib,398639,24575.060060964246,4,409886.75,45172.859435543076,0.6917268452817427,0.8571428571428571,gray,gray,0.9725588836428599,0.12281319546428307
1,Ipatasertib,421571.6666666667,25161.713978450145,4,425806,32980.444690755765,0.8548359709842046,1,gray,gray,0.9900557217762707,0.09681056668305808
1,Vorinostat,290696,8195.970046309345,4,398059.75,20841.212398754542,6.364592329325341e-4,0.05714285714285714,orange,gray,0.7302823257061283,0.04342677413802956
1,Buparlisib,286074,11721.818800851683,4,397440.75,38093.54269317396,0.006546119496898276,0.05714285714285714,orange,gray,0.7197903083667189,0.075029633760387765
1,Everolimus,378571,9354.890646073849,4,410717.5,49028.08934002358,0.2832162960488663,1,gray,gray,0.9217308734105559,0.1123614672206738
1,Topotecan (Hydrochloride),189079.66666666666,12166.891892892505,4,390562.5,52806.00878372334,0.003272433495350389,0.05714285714285714,orange,gray,0.4841214060916413,0.07249070539667066
1,Bortezomib,132863.66666666666,6778.441512127499,4,389357.5,37505.99186352317,5.8497139775255e-4,0.05714285714285714,orange,gray,0.3412382364964503,0.03719638229634943
1,FRAX597,389281.6666666667,15119.782053102927,6,369852.8333333333,13187.096593513928,0.13892233705090185,0.09523809523809523,gray,gray,1.0525312545485435,0.0554938539459556
1,Ganetespib,269040.6666666667,16685.11798979358,4,391322,24238.003149324548,5.248813179385872e-4,0.05714285714285714,orange,gray,0.6875173556985467,0.06026092580160603
1,Afatinib,208430,18227.723582499268,4,433976.75,37631.487935637095,2.482470154263474e-4,0.05714285714285714,orange,gray,0.4802791854632765,0.05914869348599106
1,Volasertib,302098.3333333333,13742.208495483299,4,440141,28934.06582790143,6.788241880384921e-4,0.05714285714285714,orange,gray,0.6863671717320888,0.05486978176045333
1,PF-573228,415804,38095.99405449344,4,406692.75,17588.604954629005,0.7293035981207733,1,gray,gray,1.0224032761833104,0.10358423001321594
1,ART558,434042,5344.157183317123,4,407932,28545.231160388244,0.16392056857326992,0.4,gray,gray,1.064005765666827,0.0755980711500771
1,Mirin,244199,174293.9731258657,4,427718.5,30635.648303895905,0.2075381080489432,0.05714285714285714,gray,gray,0.5709339203237643,0.40954368037143274
1,Ferrostatin-1,163122.33333333334,22457.63603617561,4,367761,116695.28368361766,0.03618452500786553,0.05714285714285714,orange,gray,0.4435552800142847,0.15342233306144262
1,Barasertib,364184,5684.840103292264,4,359656.25,109348.07531113659,0.9392901849586781,0.4,gray,gray,1.012589104179338,0.30826799053254744
1,Infigratinib,385821.3333333333,20521.455049126835,6,383229.1666666667,22742.77314152051,0.8707038434699478,0.9047619047619049,gray,gray,1.0067640119597716,0.08023164953637525
1,Prexasertib,204144,7725.6130501080625,4,363713,92851.14662009655,0.04065253891215821,0.05714285714285714,orange,gray,0.5612777107224652,0.1448526527960354
1,Silmitasertib,349566.6666666667,11399.362102035944,4,381634.5,101677.23171061128,0.5746394582351405,0.4,gray,gray,0.9159723941799462,0.24585977860121686
1,Olaparib,350194,29143.184572040165,4,434477.5,11720.460983539284,0.026879393008794876,0.05714285714285714,orange,gray,0.8060118187938385,0.07051240630982594
1,T0070907,435005.3333333333,8761.014172647669,4,424779,24308.895258046316,0.48116162057029943,0.8571428571428572,gray,gray,1.0240744795136607,0.062128227255232815
1,Dabrafenib,428072.3333333333,16677.588624658343,4,415624.75,29158.58832173922,0.5092242013436215,0.8571428571428572,gray,gray,1.0299490906961948,0.08265129496239668
1,Selumetinib,390385,19575.393048416678,4,421040.75,23238.145642814674,0.11896148836630252,0.22857142857142856,gray,gray,0.9271905391580268,0.06913992105068593
1,Y-27632,310068,27360.58444185723,4,364539,113254.77101061423,0.4142490764018219,0.4,gray,gray,0.8505756585715109,0.27470843681491586
1,IWR-1,388978.3333333333,20089.51690144224,4,366691.75,114567.06288567408,0.7265937638118793,0.6285714285714286,gray,gray,1.0607774331801392,0.335920867518428
1,Apoptozole,290094,39581.79916325179,5,387319,24507.455998124326,0.03221245234506734,0.03571428571428571,orange,orange,0.7489795233386434,0.11264821671235092
1,Gefitinib,282133,36099.93239605858,4,362759.5,89647.54241844373,0.17569481611681348,0.4,gray,gray,0.7777411756273784,0.21643533296313427
1,Paclitaxel,267650.6666666667,12703.551878641396,4,350239.75,85787.56706491137,0.14889188723283245,0.4,gray,gray,0.7641927184640427,0.19066284740039774
1,SGI-1027,409614,5140.192311577457,4,390734.75,44923.73397492689,0.46395610419067024,1,gray,gray,1.0483173047700518,0.12124341339811338
1,PFK-015,330661.3333333333,43065.48878549195,4,409612.25,39422.83468055031,0.06466968595456832,0.11428571428571428,gray,gray,0.8072545030900158,0.13072923242528484
1,Nedisertib,330810,12155.441538669009,4,424751.5,19318.549471082624,5.636791718525043e-4,0.05714285714285714,orange,gray,0.7788318581570636,0.04553848944625361
1,Lapatinib,402050.3333333333,2970.7164680146325,4,435588.25,14235.9889569827,0.015392646826038945,0.05714285714285714,orange,gray,0.9230054606232683,0.030927202338297214
1,Dinaciclib,146584.66666666666,13652.663928088663,4,421781.25,26963.985627437694,2.13909273313345e-5,0.05714285714285714,orange,gray,0.34753718110197324,0.039260414615796164
1,TAK-580,308533,10477.534013306757,4,403239.75,28710.059402875966,0.003783623271146373,0.05714285714285714,orange,gray,0.7651353816185036,0.06035580531558786
1,KU-55933,317716.6666666667,20929.70753100323,3,357920,17917.16961464617,0.0663061242626139,0.2,gray,gray,0.8876750856802266,0.07344396631697582
1,GSK2606414,250106,14020.349639006867,4,366266.25,22330.91304858208,4.1163486722331423e-4,0.05714285714285714,orange,gray,0.6828529792193521,0.05655608152789473
1,Tipifarnib,258468,30155.545576228596,4,382440.25,18037.87822657273,0.007462348407898706,0.05714285714285714,orange,gray,0.6758389055545277,0.08504976188388282
1,Axitinib,385384.6666666667,6723.154641485895,4,374574,22007.633448419663,0.41047160086068724,0.4,gray,gray,1.0288612308026364,0.06305789614908729
