drugs,row,col,drug_avg_1,drug_avg_2,drug_avg_3,drug_avg_4,drug_sd_1,drug_sd_2,drug_sd_3,drug_sd_4,ctrl_avg_1,ctrl_avg_2,ctrl_avg_3,ctrl_avg_4,ctrl_sd_1,ctrl_sd_2,ctrl_sd_3,ctrl_sd_4,p.val_1,p.val_2,p.val_3,p.val_4
(+)-JQ-1,16,10,320095.6666666667,378623.6666666667,416634.6666666667,395568.6666666667,40840.05597857737,62400.85898714323,18932.48431488412,9704.959161858093,377332,458334.75,430652.25,419239.75,22395.666232554904,6425.969673909145,20326.453722099846,15139.300762694866,0.5763857057974706,0.04011971177961366,0.05714285714285714,0.29853268429718516
5-Fluorouracil,2,22,280286,433998.6666666667,348116.6666666667,332230.6666666667,19834.75149831729,6925.474520445031,4005.3205031973825,15392.967398566572,367958.5,481326,459787.5,426640.5,48440.35004518444,29929.00162050181,15708.377144059154,13205.219138658775,0.43137254901960786,0.2,0.2,0.4
Adapalene,16,14,383410.3333333333,461569.6666666667,442826,416571,39990.40917936866,10907.368167130571,14044.730221688133,10463.680662176192,417292,520728.75,461151,415214.5,27998.589071594302,86834.22027586053,13251.581314444451,25068.283287852002,0.1331945055778847,0.43950767601896323,0.05714285714285714,0.5878144228121356
Adavosertib,16,12,238313,257301,321874.6666666667,324506.3333333333,6665.126630454968,17138.52785393191,10484.938356200924,30540.538245638916,392767,515447.75,433911.25,416406.25,31472.028819254727,91151.63680510625,24059.339369913436,19857.55811397766,0.978734084274425,0.11428571428571428,0.4,0.22857142857142856
Afatinib,6,10,208430,253970,326789,268165.3333333333,18227.723582499268,39156.52705488575,12600.642880424792,31722.33492877429,433976.75,469511,454142.25,404616,37631.487935637095,5280.44152194366,28586.573962555685,10294.9521935105,0.05714285714285714,0.29853268429718516,0.22857142857142856,0.7693568095834197
Alisertib,14,6,331259,454960,374943.6666666667,340207.3333333333,9779.63255955969,21332.25756923069,13027.329286286324,9420.98669637811,337396.75,480563,438336.75,362180,29704.57456773283,16843.89998387151,37809.41158296436,18598.070778085203,0.22857142857142856,0.6285714285714286,0.4,0.11428571428571428
Apoptozole,10,6,290094,400006.3333333333,326729.6666666667,334889.6666666667,39581.79916325179,19693.31755528594,33947.902208138476,5629.152363663053,387319,407413.8,449680,391364.4,24507.455998124326,166160.57702626096,24702.013905752705,14179.87747831412,0.03571428571428571,0.806344901589288,0.03571428571428571,0.20295862829975997
ART558,6,16,434042,471676.3333333333,476420,406806,5344.157183317123,6837.246619314922,13923.520998655476,22744.56954967493,407932,492527.25,475792.75,428561.75,28545.231160388244,12648.843277153845,13564.022151141846,21897.680796148252,0.05714285714285714,0.05714285714285714,0.4,0.05714285714285714
Axitinib,12,10,385384.6666666667,459820,410018.6666666667,381090,6723.154641485895,20030.77961538192,19590.987732458343,14191.549844890093,374574,475681.75,439987.75,382240,22007.633448419663,15744.443726280075,25245.186991781226,13302.781839399857,0.11428571428571428,0.978734084274425,0.22857142857142856,0.08315933746048729
AZD1390,14,10,284770,400750.6666666667,423650.3333333333,370659,31760.73750718015,20789.170073221616,13768.722247664571,4316.685649893909,368561.75,466078.5,442478.75,392873.75,11258.538074871592,14380.073539450346,28370.495570515977,25088.80349711135,0.05714285714285714,0.05714285714285714,0.22857142857142856,0.05714285714285714
Barasertib,6,22,364184,429402.6666666667,445427.3333333333,368218.3333333333,5684.840103292264,21109.345189591582,5912.25847991555,12387.876183322682,359656.25,416477.75,412489,382952,109348.07531113659,136483.3372696096,77760.85283740141,77934.61684429241,0.4,0.9362626370697005,0.11428571428571428,0.9929106152338699
Berzosertib,12,14,266694.3333333333,424137,374695.3333333333,325353.3333333333,35850.09247314898,11556.624896569067,22526.382584279556,6759.447413312226,383892.5,481576.5,473542.25,410564,25659.987353855027,11612.7249027378,36373.209760069294,36174.15271525605,0.4,0.22857142857142856,1,0.05714285714285714
BML-277,16,4,308219,413329.6666666667,410457.6666666667,413947.3333333333,39886.31909564983,31403.97497663844,13029.914862858212,3921.913351074107,371594.5,481437,446745,384779,23336.645099499627,11111.475959565409,32212.95652373436,49367.36703532,0.4,0.6939565122012492,0.8,0.5339613244662098
Bortezomib,4,22,132863.66666666666,117799.33333333333,107734,77213.66666666667,6778.441512127499,4343.898517844695,7248.581309470151,4394.576923133026,389357.5,485400.75,448262.5,428034.25,37505.99186352317,19389.293375039055,21323.486464459795,11681.559980727461,0.11428571428571428,0.22857142857142856,0.8571428571428572,0.1281045751633987
Buparlisib,4,16,286074,469083.3333333333,235386.66666666666,200160.66666666666,11721.818800851683,13316.88433280598,8894.440417099511,4630.290091704118,397440.75,497550.5,473388.25,436151.25,38093.54269317396,4925.654643462803,29993.957217801944,19296.08221677827,0.6285714285714286,0.015278951029549763,0.4,0.05714285714285714
Camptothecin,14,12,132494.66666666666,176694,137886.66666666666,116676.33333333333,7207.809676547608,11058.637167390925,5815.522361175592,4780.876941873043,373565.75,483206.5,449534.75,385424.5,5134.533239091294,10700.492870268485,35258.24628248924,27242.92405377954,0.8571428571428572,0.05714285714285714,0.8571428571428572,3.395297512944572e-5
Ceralasertib,16,6,374938,439922,364941.3333333333,342213,52759.207281762676,37693.625296593586,24462.015643305713,11302.003317996328,356930.25,477728,443256.75,400319.25,44165.44406641162,12480.76119473488,19255.819940561694,41572.75117489821,0.6285714285714286,0.9080413227827546,3.395297512944572e-5,3.395297512944572e-5
Ceritinib,12,16,307435.6666666667,446573,458436,406497.3333333333,29411.64739237388,7361.311092461722,11422.013001218305,5701.698021934635,401635,483888.5,482803.5,434210,15209.894959093788,13765.93933106879,12641.361806915162,19955.585901362723,0.11428571428571428,0.05714285714285714,3.395297512944572e-5,0.05714285714285714
Copanlisib (dihydrochloride),16,20,177749.33333333334,184149.33333333334,227043,170077,19551.148363544617,8561.246073635153,4084.4778124014824,8550.481623861899,381495.5,455273.5,439064.25,398036.25,75086.35514525925,65136.0678196036,42397.31855023381,57188.455585458854,0.8571428571428572,0.8104044761260347,0.24755114166878875,0.4
Dabrafenib,8,16,428072.3333333333,469495.6666666667,409280.6666666667,378824.6666666667,16677.588624658343,19647.397418827088,18180.965165065725,17588.08284985414,415624.75,479566,467883,424569.75,29158.58832173922,10758.550150151894,5264.231187932384,12340.280395922939,0.22857142857142856,3.395297512944572e-5,1,0.05714285714285714
Dinaciclib,10,20,146584.66666666666,138373.33333333334,178465.66666666666,134864.66666666666,13652.663928088663,4423.663677692206,26763.36044545478,9868.008427911547,421781.25,462346.75,465500.25,408955,26963.985627437694,24723.052257289484,13449.484039050221,16648.73256437258,0.05714285714285714,3.395297512944572e-5,0.36949503120526095,0.05714285714285714
Empesertib,12,22,287808.3333333333,422574,401549.6666666667,312223.3333333333,2093.6227772293014,19675.239693584423,10129.941033062993,15921.943861643695,377237.75,468338,461370.75,401829.5,18536.87079624462,18744.879852020036,5300.7847453623945,22549.288495796638,0.05714285714285714,0.39310754604872256,0.689274044385908,0.05714285714285714
Enzalutamide,2,18,381226.6666666667,488748.3333333333,489979.6666666667,433053.6666666667,17912.945272437286,14342.24042237939,14723.922722336372,29533.670045108403,368337.5,498647.5,478738,451676.5,2954.999238578582,6262.844760969251,22546.806824914256,48689.2516321621,0.0035650623885918,0.0427807486631016,0.4,0.2
Erlotinib,4,8,301874.3333333333,450788.3333333333,416588.3333333333,382268.3333333333,33733.390762467585,4680.5683771667445,20888.86867049849,28706.651308247943,374069.75,467922.25,447862.25,416246.75,13873.894367360113,8024.8734309852725,11755.618695613883,25298.83050491992,3.395297512944572e-5,0.2823180916144164,0.43950767601896323,0.11428571428571428
Everolimus,4,18,378571,504181.6666666667,461320,392944.3333333333,9354.890646073849,15547.366089898744,18128.184023779104,26910.90376284924,410717.5,498543.25,471943.5,435717.75,49028.08934002358,6375.905079542303,16060.214496284496,33837.613109033955,0.4211187505305153,0.013174734810289282,0.05714285714285714,0.05714285714285714
Ferrostatin-1,6,20,163122.33333333334,135633,217898.66666666666,173371.33333333334,22457.63603617561,51123.5579258721,7418.385561113236,27608.719136050724,367761,421462.75,416087.5,384875,116695.28368361766,139571.83390253445,81242.38989386431,78707.31254464225,0.715898480604363,0.4,0.4717018507722136,0.8571428571428571
FRAX1036,14,16,373635.6666666667,469805.6666666667,479074,424029,18055.147862405705,9906.547447690004,6662.3062073129,17220.598160342746,395637.75,479862.5,482008,411012.5,16995.22931835088,11870.546814139047,7486.531373072579,17796.75559383414,0.6504389360407938,0.05714285714285714,0.05714285714285714,0.8571428571428571
FRAX597,6,6,389281.6666666667,434575,428413,380568.3333333333,15119.782053102927,23850.899626638824,17076.159726355338,9947.871145794628,369852.8333333333,463922.8333333333,429557.3333333333,375499.3333333333,13187.096593513928,15137.115093922841,25225.81873134481,29387.60264918979,0.09704168264795769,0.023809523809523808,0.048218468136336824,0.09523809523809523
Fulvestrant,2,16,366307.3333333333,462955,491171,438728,35990.315979904,5289.639307173978,16030.882102991089,13750.904988399854,369427.5,495037.5,463160.5,429873,1413.5064555919084,1157.5338008023782,44576.718592781144,17854.446224960324,0.2,0.2,0.4,0.2
Ganetespib,6,8,269040.6666666667,328477.6666666667,304435.6666666667,273331,16685.11798979358,10099.542085329083,15069.790785984169,27081.518107373522,391322,467485,438046.75,398649.25,24238.003149324548,7317.457254174203,21548.91745734187,14545.204647924345,0.978734084274425,0.05714285714285714,0.19761554579035215,0.6285714285714286
Gefitinib,10,8,282133,407561,355031,353354.3333333333,36099.93239605858,26263.24467768596,10846.893195749648,9177.529969078463,362759.5,448320,427726.25,395181,89647.54241844373,65485.243666035174,9476.007857566743,8818.967853439539,0.4,0.05714285714285714,0.05714285714285714,0.11428571428571428
Gemcitabine,4,6,109373.66666666667,175812,173330.33333333334,163958.66666666666,9210.807040283351,4806.4588836273215,12702.394433071795,4909.828951535209,368621.3333333333,463798.8333333333,446245,391960.6666666667,18841.466574199225,13736.095652210153,18113.664554694613,42115.46759881299,0.07841871952761596,0.023809523809523808,0.3847417373621226,0.38095238095238093
GSK2606414,12,6,250106,421918,434144,364121,14020.349639006867,31008.080301753605,15493.470592478627,14864.08705571923,366266.25,485918.75,438371.25,379172.75,22330.91304858208,15180.148162979174,38646.43081730403,28168.47684173451,0.11428571428571428,0.05714285714285714,0.4,0.05714285714285714
Hydroxyurea,2,6,299636,470336,471280.3333333333,428841.3333333333,28141.86086597686,15909.172071481282,20171.594714680676,27974.09575541868,364732.25,475872,443652.75,429464.25,26181.097626277373,15929.258216669517,12974.29757571998,51294.60943981671,0.1117274591429686,0.22857142857142856,0.29853268429718516,0.6285714285714286
Infigratinib,8,6,385821.3333333333,463622.3333333333,464423.3333333333,393248.3333333333,20521.455049126835,26966.544946161222,7121.79347730144,15273.242692150654,383229.1666666667,411656,429432.3333333333,380294.8333333333,22742.77314152051,147666.07558406907,26977.92099971135,11488.678103535962,0.5476190476190476,0.023809523809523808,0.047619047619047616,0.5476190476190476
Ipatasertib,4,12,421571.6666666667,432653,433022,368082,25161.713978450145,47652.64167913464,14148.95441366605,41510.998747319965,425806,481532.75,474823.75,415109.25,32980.444690755765,16924.236238306294,24403.07904582261,45585.152212644854,0.06330593276684582,0.8571428571428571,0.13784811081193038,0.05714285714285714
IWR-1,8,22,388978.3333333333,467131,455234,373324.3333333333,20089.51690144224,6368.013583528226,3576.5911144552156,25846.16831047367,366691.75,384377.75,426588.75,371737,114567.06288567408,117556.872892443,84703.65821448721,69359.4777565883,0.4,0.22857142857142856,0.8571428571428571,0.4
KU-55933,12,4,317716.6666666667,467833.6666666667,436166.3333333333,377465,20929.70753100323,17342.140131290984,8239.706568399954,22593.35858167174,357920,498488,431497,367186.6666666667,17917.16961464617,989.4058823354549,44756.69915219396,29604.09188496302,0.08886623316749283,0.1,0.3587604242258026,0.08372803666921314
Laduviglusib,12,12,355171.3333333333,465389,467701.3333333333,403651.3333333333,27833.82295577331,20904.1679097734,10580.07392853818,13620.287968076642,361276,485261.5,442400.5,382277.25,11113.188651327755,5699.122125380364,34353.02558727542,20652.937053035985,0.6285714285714286,0.05714285714285714,0.4,0.1897971309736016
Lapatinib,10,18,402050.3333333333,410620.6666666667,359418.6666666667,321274.6666666667,2970.7164680146325,28414.774930189637,13013.852785909841,32244.82374480179,435588.25,482651.5,473814.5,427217.25,14235.9889569827,9209.306760011852,4185.819911717815,12415.211540015473,0.013174734810289282,0.05714285714285714,0.10021990439928441,3.395297512944572e-5
LB-100,16,16,392540,469127.6666666667,455873,413588.3333333333,9183.351022366509,14656.066195720234,5340.041104710712,18240.006094662724,420747,472955.5,467047.25,422635.25,30906.551031563948,6075.297551012077,14843.90639005335,27361.63542109036,0.11428571428571428,0.05714285714285714,3.395297512944572e-5,3.395297512944572e-5
Lonafarnib,14,20,289939,405790,444541.6666666667,378572.3333333333,26103.217349591217,17509.166427902845,11296.209378961305,9660.95876884553,384966.75,484344,471127.5,419286.5,24086.73141482671,4671.187643415751,19083.569451232124,14708.096647765135,0.7966577812452942,0.05714285714285714,3.395297512944572e-5,0.05714285714285714
Mifepristone,2,14,341814,477107.6666666667,474900.3333333333,440179,24747.924296797097,15683.760146512486,12983.838967475427,41104.7238282901,392619.5,496623.5,457418,437849.5,34211.94739414873,1085.4089091213505,36455.597210853644,6573.971744691333,0.4,0.2,0.0035650623885918,0.10154017249087789
Mirin,6,18,244199,441101.3333333333,418548,376189.3333333333,174293.9731258657,5722.7811711905715,30230.219764335157,31065.593835195446,427718.5,488661,470131.75,418585.25,30635.648303895905,12884.476551261212,11117.75188231266,4218.406047707277,0.04187668249978895,3.395297512944572e-5,3.395297512944572e-5,0.05714285714285714
Navitoclax,12,18,423709,487425.6666666667,493082,423546,21639.08611748657,23046.606525328916,12251.206185514959,14091.822415855233,410176.75,488085.25,478668.5,422603,28860.55744870497,6704.706624205616,11210.546299504469,14981.618359398515,0.05714285714285714,3.395297512944572e-5,0.053840270818754345,0.2517085791533157
