row,col,well,signal,groups,drugs,group_code,rand,comp_ctrl
2,1,B01,386680,bckg,bckg,0,4,bckg1
1,1,A01,414310,bckg,bckg,0,7,bckg1
4,1,D01,397116,bckg,bckg,0,10,bckg1
7,2,G02,407606,bckg,bckg,0,12,bckg2
7,1,G01,415462,bckg,bckg,0,15,bckg2
2,2,B02,388825,bckg,bckg,0,16,bckg2
6,1,F01,412063,bckg,bckg,0,17,bckg3
5,1,E01,437206,bckg,bckg,0,18,bckg3
3,2,C02,420641,bckg,bckg,0,19,bckg3
8,2,H02,428985,bckg,bckg,0,21,bckg4
4,2,D02,358128,bckg,bckg,0,24,bckg4
1,2,A02,412071,bckg,bckg,0,25,bckg4
6,2,F02,424141,bckg,bckg,0,26,bckg5
3,1,C01,439969,bckg,bckg,0,27,bckg5
8,1,H01,397535,bckg,bckg,0,31,bckg5
5,2,E02,459772,bckg,bckg,0,32,bckg5
11,2,K02,106121,staur,staur,10,1,staur1
12,1,L01,93247,staur,staur,10,2,staur1
16,2,P02,90976,staur,staur,10,3,staur1
10,1,J01,129141,staur,staur,10,5,staur2
13,1,M01,117921,staur,staur,10,6,staur2
15,2,O02,121065,staur,staur,10,8,staur2
12,2,L02,107413,staur,staur,10,9,staur3
14,1,N01,100048,staur,staur,10,11,staur3
15,1,O01,126549,staur,staur,10,13,staur3
16,1,P01,106922,staur,staur,10,14,staur4
11,1,K01,126056,staur,staur,10,20,staur4
13,2,M02,117200,staur,staur,10,22,staur4
9,2,I02,132800,staur,staur,10,23,staur5
10,2,J02,121843,staur,staur,10,28,staur5
9,1,I01,102793,staur,staur,10,29,staur5
14,2,N02,84209,staur,staur,10,30,staur5
12,24,L24,415678,bckg,bckg,0,4,bckg6
12,23,L23,388908,bckg,bckg,0,5,bckg6
11,24,K24,387691,bckg,bckg,0,9,bckg6
10,23,J23,403103,bckg,bckg,0,10,bckg7
16,24,P24,395151,bckg,bckg,0,11,bckg7
10,24,J24,409387,bckg,bckg,0,16,bckg7
14,23,N23,415365,bckg,bckg,0,17,bckg8
15,23,O23,379226,bckg,bckg,0,18,bckg8
9,23,I23,392169,bckg,bckg,0,21,bckg8
16,23,P23,395249,bckg,bckg,0,22,bckg9
11,23,K23,392846,bckg,bckg,0,23,bckg9
15,24,O24,411632,bckg,bckg,0,25,bckg9
9,24,I24,401857,bckg,bckg,0,26,bckg10
13,24,M24,392366,bckg,bckg,0,28,bckg10
14,24,N24,387485,bckg,bckg,0,29,bckg10
13,23,M23,391460,bckg,bckg,0,30,bckg10
3,23,C23,112680,staur,staur,10,1,staur6
8,24,H24,131916,staur,staur,10,2,staur6
5,23,E23,145154,staur,staur,10,3,staur6
4,23,D23,98569,staur,staur,10,6,staur7
7,24,G24,144355,staur,staur,10,7,staur7
8,23,H23,140889,staur,staur,10,8,staur7
6,24,F24,138436,staur,staur,10,12,staur8
1,23,A23,121130,staur,staur,10,13,staur8
1,24,A24,95265,staur,staur,10,14,staur8
5,24,E24,123271,staur,staur,10,15,staur9
7,23,G23,145376,staur,staur,10,19,staur9
4,24,D24,130891,staur,staur,10,20,staur9
6,23,F23,126627,staur,staur,10,24,staur10
3,24,C24,106756,staur,staur,10,27,staur10
2,23,B23,113471,staur,staur,10,31,staur10
2,24,B24,106243,staur,staur,10,32,staur10
