row,col,signal
1,1,101
1,2,101
1,3,101
1,4,101
1,5,101
1,6,101
1,7,101
1,8,101
1,9,101
1,10,101
1,11,101
1,12,101
1,13,101
1,14,101
1,15,101
1,16,101
1,17,101
1,18,101
1,19,101
1,20,101
1,21,101
1,22,101
1,23,101
1,24,101
2,1,102
2,2,102
2,3,102
2,4,102
2,5,102
2,6,102
2,7,102
2,8,102
2,9,102
2,10,102
2,11,102
2,12,102
2,13,102
2,14,102
2,15,102
2,16,102
2,17,102
2,18,102
2,19,102
2,20,102
2,21,102
2,22,102
2,23,102
2,24,102
3,1,103
3,2,103
3,3,103
3,4,103
3,5,103
3,6,103
3,7,103
3,8,103
3,9,103
3,10,103
3,11,103
3,12,103
3,13,103
3,14,103
3,15,103
3,16,103
3,17,103
3,18,103
3,19,103
3,20,103
3,21,103
3,22,103
3,23,103
3,24,103
4,1,104
4,2,104
4,3,104
4,4,104
4,5,104
4,6,104
4,7,104
4,8,104
4,9,104
4,10,104
4,11,104
4,12,104
4,13,104
4,14,104
4,15,104
4,16,104
4,17,104
4,18,104
4,19,104
4,20,104
4,21,104
4,22,104
4,23,104
4,24,104
5,1,105
5,2,105
5,3,105
5,4,105
5,5,105
5,6,105
5,7,105
5,8,105
5,9,105
5,10,105
5,11,105
5,12,105
5,13,105
5,14,105
5,15,105
5,16,105
5,17,105
5,18,105
5,19,105
5,20,105
5,21,105
5,22,105
5,23,105
5,24,105
6,1,106
6,2,106
6,3,106
6,4,106
6,5,106
6,6,106
6,7,106
6,8,106
6,9,106
6,10,106
6,11,106
6,12,106
6,13,106
6,14,106
6,15,106
6,16,106
6,17,106
6,18,106
6,19,106
6,20,106
6,21,106
6,22,106
6,23,106
6,24,106
7,1,107
7,2,107
7,3,107
7,4,107
7,5,107
7,6,107
7,7,107
7,8,107
7,9,107
7,10,107
7,11,107
7,12,107
7,13,107
7,14,107
7,15,107
7,16,107
7,17,107
7,18,107
7,19,107
7,20,107
7,21,107
7,22,107
7,23,107
7,24,107
8,1,108
8,2,108
8,3,108
8,4,108
8,5,108
8,6,108
8,7,108
8,8,108
8,9,108
8,10,108
8,11,108
8,12,108
8,13,108
8,14,108
8,15,108
8,16,108
8,17,108
8,18,108
8,19,108
8,20,108
8,21,108
8,22,108
8,23,108
8,24,108
9,1,109
9,2,109
9,3,109
9,4,109
9,5,109
9,6,109
9,7,109
9,8,109
9,9,109
9,10,109
9,11,109
9,12,109
9,13,109
9,14,109
9,15,109
9,16,109
9,17,109
9,18,109
9,19,109
9,20,109
9,21,109
9,22,109
9,23,109
9,24,109
10,1,110
10,2,110
10,3,110
10,4,110
10,5,110
10,6,110
10,7,110
10,8,110
10,9,110
10,10,110
10,11,110
10,12,110
10,13,110
10,14,110
10,15,110
10,16,110
10,17,110
10,18,110
10,19,110
10,20,110
10,21,110
10,22,110
10,23,110
10,24,110
11,1,111
11,2,111
11,3,111
11,4,111
11,5,111
11,6,111
11,7,111
11,8,111
11,9,111
11,10,111
11,11,111
11,12,111
11,13,111
11,14,111
11,15,111
11,16,111
11,17,111
11,18,111
11,19,111
11,20,111
11,21,111
11,22,111
11,23,111
11,24,111
12,1,112
12,2,112
12,3,112
12,4,112
12,5,112
12,6,112
12,7,112
12,8,112
12,9,112
12,10,112
12,11,112
12,12,112
12,13,112
12,14,112
12,15,112
12,16,112
12,17,112
12,18,112
12,19,112
12,20,112
12,21,112
12,22,112
12,23,112
12,24,112
13,1,113
13,2,113
13,3,113
13,4,113
13,5,113
13,6,113
13,7,113
13,8,113
13,9,113
13,10,113
13,11,113
13,12,113
13,13,113
13,14,113
13,15,113
13,16,113
13,17,113
13,18,113
13,19,113
13,20,113
13,21,113
13,22,113
13,23,113
13,24,113
14,1,114
14,2,114
14,3,114
14,4,114
14,5,114
14,6,114
14,7,114
14,8,114
14,9,114
14,10,114
14,11,114
14,12,114
14,13,114
14,14,114
14,15,114
14,16,114
14,17,114
14,18,114
14,19,114
14,20,114
14,21,114
14,22,114
14,23,114
14,24,114
15,1,115
15,2,115
15,3,115
15,4,115
15,5,115
15,6,115
15,7,115
15,8,115
15,9,115
15,10,115
15,11,115
15,12,115
15,13,115
15,14,115
15,15,115
15,16,115
15,17,115
15,18,115
15,19,115
15,20,115
15,21,115
15,22,115
15,23,115
15,24,115
16,1,116
16,2,116
16,3,116
16,4,116
16,5,116
16,6,116
16,7,116
16,8,116
16,9,116
16,10,116
16,11,116
16,12,116
16,13,116
16,14,116
16,15,116
16,16,116
16,17,116
16,18,116
16,19,116
16,20,116
16,21,116
16,22,116
16,23,116
16,24,116
