plate,drugs,drug_avg,drug_sd,ctrl_count,ctrl_avg,ctrl_sd,ttest_pval,wilcox_pval,ttest_color,wilcox_color,drug_to_ctlr,d_t_c_SD
1,Hydroxyurea,1638.6666666666667,16.772994167212165,4,1668.75,71.64902883733549,0.4700797746898037,0.4,gray,gray,0.981972534332085,0.04334326153685983
1,Tazemetostat,1161,69.2820323027551,2,1472.5,342.94678887547553,0.4169352047148596,0.1386406338132186,gray,gray,0.7884550084889643,0.18956389488219968
1,Pemetrexed,1301,30.04995840263344,2,1500.5,382.54476862192223,0.5952560215979494,1,gray,gray,0.8670443185604798,0.22195383188776707
1,Raloxifene (hydrochloride),1688,82.93973715897586,2,1796,35.35533905932738,0.1452421990316095,0.2,gray,gray,0.9398663697104677,0.0497487062881428
1,Mifepristone,1569.3333333333333,131.8041476332719,2,1798,32.526911934581186,0.08540279826372105,0.2,gray,gray,0.8728216536892843,0.07498724197189839
1,Fulvestrant,1616.3333333333333,81.64761682580412,2,1799.5,34.64823227814083,0.045194110780696885,0.2,orange,gray,0.898212466425859,0.04855670878259822
1,Enzalutamide,1750,55.21775076911409,2,1880,79.19595949289332,0.2060901913795256,0.2,gray,gray,0.9308510638297872,0.04899275690357628
1,Rucaparib,1764.3333333333333,55.075705472861024,2,1896.5,55.86143571373726,0.10765777772073444,0.2,gray,gray,0.9303102205817734,0.03992804686813503
1,5-Fluorouracil,1631.3333333333333,58.96043871388114,2,1772,120.20815280171308,0.3202759235491084,0.4,gray,gray,0.9206170052671181,0.07076313744284671
1,Gemcitabine,955,117.14520903562382,6,1649.6666666666667,74.63689882803725,0.0031798564211483592,0.023809523809523808,orange,orange,0.578904829258436,0.07568773227373114
1,Erlotinib,1628.6666666666667,91.7841671168472,4,1600.25,250.81517099250595,0.8449175035443337,0.8571428571428571,gray,gray,1.0177576420350987,0.1695163551883343
1,Saracatinib,1645,28.21347195933177,4,1668.25,297.0593375068355,0.8860119846291088,0.4,gray,gray,0.986063239922074,0.17639735773830967
1,Ipatasertib,2139.3333333333335,96.00173609541305,4,1822.75,49.64121271685453,0.01615890660444297,0.05714285714285714,orange,gray,1.1736844511498195,0.06160931138534527
1,Vorinostat,2205,71.46327728281149,4,1842,82.98594258467314,0.0018240204577712619,0.05714285714285714,orange,gray,1.1970684039087949,0.06643541824494094
