drugs,drug_avg_1,drug_avg_2,drug_avg_3,drug_avg_4,drug_sd_1,drug_sd_2,drug_sd_3,drug_sd_4,ctrl_avg_1,ctrl_avg_2,ctrl_avg_3,ctrl_avg_4,ctrl_sd_1,ctrl_sd_2,ctrl_sd_3,ctrl_sd_4,drug_to_ctlr_1,drug_to_ctlr_2,drug_to_ctlr_3,drug_to_ctlr_4,d_t_c_SD_1,d_t_c_SD_2,d_t_c_SD_3,d_t_c_SD_4,ttest_pval_1,ttest_pval_2,ttest_pval_3,ttest_pval_4,wilcox_pval_1,wilcox_pval_2,wilcox_pval_3,wilcox_pval_4
Hydroxyurea,1638.6666666666667,1389.3333333333333,934,961,16.772994167212165,38.552993831002716,39.1279950930277,22.538855339169288,1668.75,1507.5,1100.75,1101.75,71.64902883733549,88.6998684704023,89.4031132940384,73.4047001219949,0.981972534332085,0.9216141514648977,0.8485123779241426,0.8722486952575448,0.04334326153685983,0.059954922478942144,0.07754370326422638,0.06160961604901217,0.4700797746898037,0.07148116027020411,0.026052138232166618,0.025491315837232405,0.4,0.11428571428571428,0.05714285714285714,0.05714285714285714
Tazemetostat,1161,1226,1033.3333333333333,1024,69.2820323027551,16.703293088490067,54.9939390599849,46.604720790924176,1472.5,1523,1090.5,1138.5,342.94678887547553,7.0710678118654755,53.033008588991066,17.67766952966369,0.7884550084889643,0.8049901510177282,0.9475775638086504,0.8994290733421169,0.18956389488219968,0.011586698855629787,0.06831381565577821,0.0432519090378742,0.4169352047148596,1.6882188537403186e-4,0.3493133550248998,0.03690466154753096,0.1386406338132186,0.2,0.8,0.2
Pemetrexed,1301,1298,1009.3333333333334,1076.3333333333333,30.04995840263344,56.66568626602876,101.36238618606674,41.50100400391939,1500.5,1645.5,1273,1169.5,382.54476862192223,166.17009357883867,205.0609665440988,61.518289963229634,0.8670443185604798,0.7888179884533576,0.7928777166797591,0.9203363260652699,0.22195383188776707,0.0867833913395488,0.15050797921039633,0.06002465660253512,0.5952560215979494,0.18669252831620986,0.29118931861399433,0.22989674675913085,1,0.2,0.2,0.2
Raloxifene (hydrochloride),1688,1627,1341.6666666666667,1193.3333333333333,82.93973715897586,197.28912793157153,92.50045044935368,66.78572701807875,1796,1800,1383,1282.5,35.35533905932738,52.32590180780452,49.49747468305833,98.2878425849301,0.9398663697104677,0.9038888888888889,0.9701132803085081,0.9304743339831059,0.0497487062881428,0.11271069078526477,0.07535884857988283,0.08829948924058001,0.1452421990316095,0.26581707762250734,0.5637452680629848,0.4000155612376751,0.2,0.4,0.8,0.8
Mifepristone,1569.3333333333333,1686.3333333333333,1199.3333333333333,1069,131.8041476332719,169.64767411707516,87.89956389728752,74.71947537289057,1798,1914,1397,1294,32.526911934581186,108.89444430272832,69.29646455628166,82.02438661763951,0.8728216536892843,0.8810518982932776,0.8585063230732521,0.8261205564142194,0.07498724197189839,0.1018274581378227,0.07597664431664257,0.0779518416544071,0.08540279826372105,0.1660849929962324,0.07557106016998189,0.08459262820985017,0.2,0.4,0.2,0.2
Fulvestrant,1616.3333333333333,1722.6666666666667,943.6666666666666,944,81.64761682580412,52.04164998665332,40.67349669420289,40.70626487409524,1799.5,1782.5,1349,1141,34.64823227814083,294.8635277547903,137.17871555019022,134.35028842544403,0.898212466425859,0.9664329125759701,0.6995305164319249,0.8273444347063978,0.04855670878259822,0.16251269295030887,0.07726071431434042,0.1037450955238987,0.045194110780696885,0.8223516003600836,0.13305106995357413,0.27144218534143155,0.2,1,0.2,0.2
Enzalutamide,1750,1749.3333333333333,1148.6666666666667,1111,55.21775076911409,103.12290401910398,20.526405757787536,93.552124508212,1880,1739.5,1228.5,1075,79.19595949289332,234.05234457274722,33.23401871576773,41.012193308819754,0.9308510638297872,1.0056529654115167,0.9350156016822684,1.0334883720930232,0.04899275690357628,0.14772898401708023,0.030314805274012157,0.09554055008241931,0.2060901913795256,0.9629192839669584,0.12921655728328021,0.60036724964742,0.2,1,0.2,0.7999999999999998
Rucaparib,1764.3333333333333,1594,992.6666666666666,936.3333333333334,55.075705472861024,97.07728879609277,37.072002014098636,28.37839553839035,1896.5,1812,1204.5,1131,55.86143571373726,131.52186130069785,0.7071067811865476,38.18376618407357,0.9303102205817734,0.8796909492273731,0.8241317282413172,0.8278809313292073,0.03992804686813503,0.0833500779233343,0.03078172018320241,0.03756048240800822,0.10765777772073444,0.20087981518120787,0.010024399414650229,0.034438721627751405,0.2,0.2,0.2,0.2
5-Fluorouracil,1631.3333333333333,1596.6666666666667,894.3333333333334,854.3333333333334,58.96043871388114,77.08653146518743,30.43572462310259,22.810816147900834,1772,1685,1190,1167,120.20815280171308,48.08326112068523,19.79898987322333,12.727922061357855,0.9206170052671181,0.9475766567754699,0.7515406162464986,0.7320765495572694,0.07076313744284671,0.05314234914172964,0.028469171262567743,0.02111440870424157,0.3202759235491084,0.2133515355627895,0.001014442831296835,2.919381961992744e-4,0.4,0.4,0.2,0.2
Gemcitabine,955,955.3333333333334,844.3333333333334,862.3333333333334,117.14520903562382,47.247574893674,6.8068592855540455,19.75685535031659,1649.6666666666667,1549.1666666666667,1126.6666666666667,1116.3333333333333,74.63689882803725,73.37142949859071,95.5775426900413,57.795040156285616,0.578904829258436,0.6166756320602474,0.7494082840236687,0.7724693938489102,0.07568773227373114,0.04222812518136741,0.06386033601549823,0.04373344824732341,0.0031798564211483592,5.125185070263462e-6,7.403869039629672e-4,3.4999930318447273e-05,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808
