drugs,drug_avg_1,drug_avg_2,drug_avg_3,drug_avg_4,drug_sd_1,drug_sd_2,drug_sd_3,drug_sd_4,ctrl_avg_1,ctrl_avg_2,ctrl_avg_3,ctrl_avg_4,ctrl_sd_1,ctrl_sd_2,ctrl_sd_3,ctrl_sd_4,drug_to_ctlr_1,drug_to_ctlr_2,drug_to_ctlr_3,drug_to_ctlr_4,d_t_c_SD_1,d_t_c_SD_2,d_t_c_SD_3,d_t_c_SD_4,ttest_pval_1,ttest_pval_2,ttest_pval_3,ttest_pval_4,wilcox_pval_1,wilcox_pval_2,wilcox_pval_3,wilcox_pval_4
Hydroxyurea,406564.3333333333,404156.3333333333,348387.6666666667,419589.3333333333,22016.12014714067,22624.971366464386,54819.59345282792,32154.50849155268,400899,373128.5,334366.25,414108.5,13491.400100310815,28929.348794376045,48509.03968248255,26584.9363675497,1.0141315726238611,1.08315589222837,1.0419343060690684,1.0132352591973681,0.06465766071160836,0.1035818399186667,0.22300129844720226,0.10129334249230956,0.7191743872815016,0.17284825638907114,0.7424550807550669,0.8224005039473457,0.4,0.22857142857142856,1,1
Tazemetostat,313809.3333333333,379520,364626.6666666667,422384.6666666667,19872.751453518795,25333.982947811422,39786.82913142656,16472.736060938187,357993.5,380720,318853,415614,32585.60179741967,7247.844507162112,2395.677774660023,5601.6999205598295,0.8765782991404406,0.9968480773271696,1.1435572714281086,1.016290756968405,0.09719958732933925,0.06919545729030521,0.12507656347873564,0.04193490669393342,0.266649009054347,0.9441634142574081,0.18387643532227027,0.5645636443319813,0.2,0.7999999999999998,0.2,0.7999999999999998
Pemetrexed,316342.6666666667,331677.6666666667,325715.6666666667,382525.6666666667,16935.16708902907,8666.973770199915,25843.495203500115,8474.13301366773,379999,382997.5,334875,430899,63706.07834422081,10468.715895466836,20262.851921681708,16014.554380312928,0.83248289249884,0.8660047824507123,0.9726485006843351,0.8877385806573389,0.14650699186813707,0.03274760219799015,0.09705419082587986,0.038409759531162754,0.3841391328083635,0.03173088942814675,0.6905669971067381,0.10367471375821133,0.2,0.2,0.8,0.2
Raloxifene (hydrochloride),434493.6666666667,410745.6666666667,438187,449173.6666666667,6648.484814853181,8344.433853373956,69188.86244909653,22958.218579265536,430325,406123,344406,438812.5,7465.633395767569,22235.679841192174,6783.982458703737,4823.175354473441,1.0096872518832665,1.0113824301176408,1.2722978113041004,1.0236118311731472,0.02335682452868795,0.05906330761461008,0.20245046242676742,0.053515032708083124,0.5870035673967904,0.8195458489426121,0.1415382661029666,0.5202137521771564,0.7999999999999998,1,0.2,1
Mifepristone,398091.6666666667,407078.6666666667,394358.3333333333,412310.3333333333,8491.486108646315,12749.988601302095,11355.201642125661,14937.68021927546,422990,436012,357147.5,429418,17838.88987577422,20033.749324577264,24803.184563680526,8462.6539572406,0.941137300330189,0.9336409701262045,1.104188978876608,0.9601608067974172,0.04447884703534592,0.05191730136261545,0.08301362990093628,0.03959929893728826,0.26897528424298256,0.246146900869761,0.25092251318256564,0.20166952066045557,0.2,0.2,0.2,0.4
Fulvestrant,407192,446061,372584.3333333333,406925.3333333333,20787.595988954567,19783.11969836911,44398.39034619761,20765.85939308396,423245,426410,357266,415200.5,18199.51433417936,33613.02795048372,24635.600256539317,11643.927365798878,0.9620716133681437,1.0460847541098943,1.042876549499066,0.9800694684455662,0.06421573788678907,0.09461621987808687,0.14357958443405477,0.05706873179514564,0.4398504020079301,0.5565614743200333,0.6550917918894092,0.6092125638339289,0.4,0.7999999999999998,0.7999999999999998,0.8
Enzalutamide,429441.3333333333,433086,358914.3333333333,431317.3333333333,17839.037147036084,9281.488889181519,43660.84335343665,10412.803865114012,437553,431792.5,353093,427130.5,2035.0533162548838,41225.03244995691,18734.08706075639,28515.495164909902,0.9814612934509267,1.0029956518466625,1.016486685755122,1.009802234523953,0.04102475127265208,0.09814305020437204,0.13490215114614065,0.07168749107409174,0.5143932792491593,0.971885946906631,0.85184798679192,0.8709727903586101,0.8,1,0.8,1
Rucaparib,413892.6666666667,409232.3333333333,315798,387007.6666666667,16471.197720060714,19661.782659091044,2379.696619319362,13284.326115137845,435107,449429.5,360771,439866,5494.219689819474,16282.54785038263,7875.7553288557665,10504.77834130735,0.9512434106246663,0.9105595723763867,0.8753419759348728,0.8798308272670919,0.03971547215235263,0.05479223539195214,0.020215430286617483,0.03679119265819599,0.14554392627682944,0.10027906088209536,0.06437314786642426,0.019824081213470478,0.2,0.2,0.2,0.2
5-Fluorouracil,359894.3333333333,372910,256843.33333333334,312917,23042.433602667348,9994.600492265812,6325.207216631984,12350.380722876522,428025,423655,328868.5,439918,4521.240758906785,20168.09961300271,37241.192844751895,10578.31744655075,0.8408254969530595,0.8802209344867876,0.7809909837315928,0.7113075618638018,0.05456205339742225,0.04808750014198913,0.09050690829820046,0.03287427814035992,0.030557700909776633,0.1351236978108934,0.21755759722286266,0.002336645813275657,0.2,0.2,0.2,0.2
Gemcitabine,138935.66666666666,133668.33333333334,116962.66666666667,151089.33333333334,2825.5623039199354,10270.17362722429,1651.0646060446372,12370.071719005244,395026.1666666667,368077.6666666667,316453.1666666667,402589.3333333333,13545.933078480295,25287.730729875046,22334.546867278652,10835.695006166732,0.3517125658764377,0.36315252306352014,0.3696049810424818,0.3752939306224375,0.014022220746558263,0.03742997467056504,0.026602528673957543,0.032344012437943055,1.440188097344815e-8,2.3515655285633142e-7,3.1064697322022487e-6,1.8270502665653147e-5,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808
