drugs,drug_avg_1,drug_avg_2,drug_avg_3,drug_avg_4,drug_sd_1,drug_sd_2,drug_sd_3,drug_sd_4,ctrl_avg_1,ctrl_avg_2,ctrl_avg_3,ctrl_avg_4,ctrl_sd_1,ctrl_sd_2,ctrl_sd_3,ctrl_sd_4,drug_to_ctlr_1,drug_to_ctlr_2,drug_to_ctlr_3,drug_to_ctlr_4,d_t_c_SD_1,d_t_c_SD_2,d_t_c_SD_3,d_t_c_SD_4,ttest_pval_1,ttest_pval_2,ttest_pval_3,ttest_pval_4,wilcox_pval_1,wilcox_pval_2,wilcox_pval_3,wilcox_pval_4
Hydroxyurea,607485.8958333334,529261.8854166666,430427.5416666667,437756,1403.1603869888086,14600.434827052151,16237.400816621557,5437.231875214055,611565.625,571787.046875,479223.6328125,478703.2578125,32480.52704293727,23335.927639428504,34095.159667946944,41162.87687746899,0.9933290410711579,0.9256276236218588,0.8981767846893203,0.9144621283765352,0.05280602259121498,0.04559739182890777,0.07232938333384906,0.07944913286491107,0.818020726053703,0.03225453406663751,0.05965349788137044,0.13983387507930983,0.4,0.05714285714285714,0.05714285714285714,0.11428571428571428
Tazemetostat,423208.0833333333,493004.9895833333,470179.84375,458935.625,35349.623007851165,8348.645708458622,18786.527608422777,29723.600846535734,554392.328125,578733.53125,476944.375,506972.4375,90105.26920430012,15031.985313680396,20376.38675423597,28096.71117375217,0.7633729073500305,0.8518687149826923,0.9858169388201716,0.9052476841997944,0.13949649249893661,0.026413594604649312,0.057665833983691045,0.07716473873782641,0.26518962586103306,0.04208474600778215,0.7418931690863857,0.18791879823177104,0.2,0.2,0.8,0.2
Pemetrexed,483885.0416666667,486512.4375,451106.0104166667,435170.4583333333,8827.443631743823,16899.227256539398,75257.46833241876,22467.042727564312,574754.515625,627837.875,550353.453125,506137.53125,118901.75092638402,54412.04358900013,83439.72713144512,26915.975431692106,0.841898634133357,0.774901382781343,0.8196659943809028,0.8597869777777585,0.17484279336183212,0.0723506645603424,0.18477567598758624,0.06372575910673445,0.47484411315056374,0.15116176778689688,0.30426894251734227,0.09491555409607896,0.2,0.2,0.4,0.2
Raloxifene (hydrochloride),611465.8958333334,593261.0208333334,548862.1770833334,495609.0104166667,28858.70433887304,62359.93770500107,61648.3503813091,19454.01143668938,659189.84375,667851.46875,592508.34375,537960.96875,507.8352514134136,2175.7233715371826,23823.70908921569,18089.161482140436,0.9276021189204394,0.8883128189322161,0.9263366210331673,0.9212731763203159,0.04378488087355862,0.09341879729054203,0.11051217419059113,0.047616957359119604,0.10326903114494886,0.17385570923036417,0.3558987591521613,0.10897797767665927,0.2,0.2,0.8,0.2
Mifepristone,583891.9791666666,611968.9791666666,516986.1770833333,470814.3020833333,30865.309052393102,63431.51983550392,44611.74846144718,27329.512362660156,651069.78125,696552.6875,594619,539629.34375,11991.337766230594,38413.929441349785,26808.627783473225,15729.722930016222,0.8968193517531138,0.8785681114275603,0.8694410657636794,0.8724772059494463,0.050202179229542475,0.10315231919889023,0.08464889023688944,0.056671835877687225,0.048830816775698074,0.1608068306823995,0.09366393514522499,0.037695992411861584,0.2,0.4,0.2,0.2
Fulvestrant,598702.625,634424.3333333334,437316.15625,434631.3541666667,17436.751687908538,14507.631861736674,24061.134136173743,23300.444262427645,653641.6875,665670.71875,575243.5,500739.703125,15628.562466132722,82087.62848038189,54209.72266123313,39268.534277674466,0.9159492676941601,0.9530602976268188,0.7602278969688488,0.8679786153449257,0.034514494929233044,0.11953090380985355,0.0829588621661872,0.08245275267334609,0.047343931461453125,0.6854597093948859,0.1394180102174022,0.20793348043780796,0.2,1,0.2,0.2
Enzalutamide,638068.625,645870.9583333334,473099.15625,481786.0625,9654.078740315865,42258.82161904433,3681.645379738309,28671.4341024173,680292.09375,644024,517089.3125,478145.671875,22060.803495369975,51474.54524325591,28032.71801005479,7315.748855242933,0.9379333243206606,1.002867840846511,0.9149273535797552,1.0076135597143954,0.03356339897800901,0.10358812296900882,0.05010893605815056,0.06191392303973782,0.1942871417838246,0.9703713325590742,0.26640005843506814,0.8504732552435246,0.2,0.8,0.2,0.7999999999999998
Rucaparib,648981,591743.9791666666,427369.0833333333,404388.2291666667,15939.099527454295,30385.581399243492,13607.332512681429,15503.664897571312,688689.5,657225.15625,498938.484375,483988.671875,10185.077687863382,32805.29103549956,2363.570707376771,947.5009897030616,0.9423419407439783,0.9003672083141852,0.8565566632300998,0.835532425996756,0.027016135861128224,0.06447680536748672,0.02757276899667937,0.03207485053603495,0.043148228858420117,0.14577829616836968,0.009444835222207786,0.012054578997502948,0.2,0.2,0.2,0.2
5-Fluorouracil,597366.5833333334,595604.2916666666,392194.2604166667,373968.9895833333,21821.475347669744,22727.969064528777,7623.569123705724,10979.912404321609,653885.4375,624752.1875,494381.4375,495114.1875,39035.29952531747,13118.421781268125,8808.208202371701,14786.354095565719,0.9135645926253456,0.9533448679067916,0.793302965418613,0.755318669965064,0.06393769446611423,0.04152313216331392,0.0209179048961799,0.03163269411954884,0.25138631030826153,0.1673455919451808,0.005535554523685061,0.015284924791932388,0.2,0.4,0.2,0.2
Gemcitabine,305645.3645833333,297307.8020833333,272408,274900.125,36393.167867525895,16280.803867518063,7153.217320901069,5770.339836196419,612200.5729166666,579683.3020833334,487233.015625,483356.1614583333,26942.677816622803,18629.767528382865,33082.821254153605,30529.527100341325,0.49925690713938303,0.5128797069276171,0.5590918334024791,0.568732017753946,0.06337709286995619,0.032565165198794,0.04070200855541073,0.037853765132763534,7.782064775912749e-4,5.0766709005821e-6,6.309956433302004e-6,5.881416367316625e-6,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808
