drugs,drug_avg_1,drug_avg_2,drug_avg_3,drug_avg_4,drug_sd_1,drug_sd_2,drug_sd_3,drug_sd_4,ctrl_avg_1,ctrl_avg_2,ctrl_avg_3,ctrl_avg_4,ctrl_sd_1,ctrl_sd_2,ctrl_sd_3,ctrl_sd_4,drug_to_ctlr_1,drug_to_ctlr_2,drug_to_ctlr_3,drug_to_ctlr_4,d_t_c_SD_1,d_t_c_SD_2,d_t_c_SD_3,d_t_c_SD_4,ttest_pval_1,ttest_pval_2,ttest_pval_3,ttest_pval_4,wilcox_pval_1,wilcox_pval_2,wilcox_pval_3,wilcox_pval_4
Hydroxyurea,299636,470336,471280.3333333333,428841.3333333333,28141.86086597686,15909.172071481282,20171.594714680676,27974.09575541868,364732.25,475872,443652.75,429464.25,26181.097626277373,15929.258216669517,12974.29757571998,51294.60943981671,0.8215231858438622,0.9883666195951852,1.0622729901557768,0.9985495494289299,0.09711226753798247,0.047034581000635595,0.055066448680631125,0.13589363647897454,0.03275681228007867,0.6701577865057291,0.12352874006650351,0.98444066931843,0.05714285714285714,1,0.22857142857142856,1
Tazemetostat,316132.6666666667,448548,471458.6666666667,484333,23559.584723278407,5908.160712099832,19026.27557703644,56057.06272183729,364099,469024,439584,436433,13146.529275820292,10609.430144922959,11240.16939374136,13665.545653211217,0.8682601893074869,0.9563433854131131,1.0725109800781345,1.1097533871178393,0.07190115544270807,0.02503300123726229,0.05123917965999628,0.13306102884745635,0.06200122889100992,0.1792254696378746,0.10026786596783013,0.2748964019254956,0.2,0.2,0.2,0.7999999999999998
Pemetrexed,329955,452698.3333333333,382521.3333333333,436337.6666666667,16152.411584651996,13930.266843579608,11899.088550529126,32253.234525134583,389487,469973.5,445297,445573,22757.524645707847,9266.634367449706,3160.7673119038673,26591.457613301307,0.8471527932896348,0.9632422537299088,0.8590251749581365,0.9792731307028628,0.06457526181178296,0.035203407240841096,0.02740853335132811,0.09303348016185435,0.10577695136881085,0.19621285528621682,0.007287802062444672,0.7529605352331924,0.2,0.4,0.2,1
Raloxifene (hydrochloride),409829.6666666667,513506.6666666667,503327,455117.3333333333,40112.27859812172,29007.65744304999,10188.71596424201,14702.392129627524,411195,480406,463129,448788.5,7942.223366287301,24020.41735690702,28379.0235561409,22044.053903490618,0.9966795964607222,1.0689014430849462,1.0867965512848472,1.0141020398992695,0.09943186366404853,0.08063705637281188,0.07013505066498733,0.05961908491720706,0.9590436060893965,0.2707117193190622,0.27560180310686044,0.7625788263661731,0.7999999999999998,0.4,0.2,0.7999999999999998
Mifepristone,341814,477107.6666666667,474900.3333333333,440179,24747.924296797097,15683.760146512486,12983.838967475427,41104.7238282901,392619.5,496623.5,457418,437849.5,34211.94739414873,1085.4089091213505,36455.597210853644,6573.971744691333,0.8705986330276515,0.960702960425084,1.0382196007444686,1.005320321251937,0.09863149933505992,0.0316505087143207,0.08747798208918045,0.09508435550615188,0.2327485448304696,0.16302573163511017,0.6190663358867783,0.9314946616328619,0.4,0.2,0.7999999999999998,0.7999999999999998
Fulvestrant,366307.3333333333,462955,491171,438728,35990.315979904,5289.639307173978,16030.882102991089,13750.904988399854,369427.5,495037.5,463160.5,429873,1413.5064555919084,1157.5338008023782,44576.718592781144,17854.446224960324,0.9915540487195277,0.9351917784006262,1.060476875726665,1.0205991071781666,0.09749570949127113,0.010906791491000743,0.10777428142780632,0.05310505183515088,0.8944792045258194,0.006108836543703695,0.532599531832028,0.6184709595525059,0.7999999999999998,0.2,0.7999999999999998,0.4
Enzalutamide,381226.6666666667,488748.3333333333,489979.6666666667,433053.6666666667,17912.945272437286,14342.24042237939,14723.922722336372,29533.670045108403,368337.5,498647.5,478738,451676.5,2954.999238578582,6262.844760969251,22546.806824914256,48689.2516321621,1.034992816823339,0.9801479669171776,1.0234818766562643,0.9587695323238351,0.04933562574552224,0.03128598891211755,0.05717840431842598,0.12229927536311351,0.33841133201731677,0.3730441308202163,0.6112904470068801,0.6890145616828718,0.2,0.4,0.7999999999999998,0.8
Rucaparib,373206.6666666667,489862.6666666667,424661.3333333333,406423.6666666667,23696.16286096408,5730.212416074411,13502.34106861967,26221.27945645165,349977,481619.5,466845,461041.5,23010.66887337263,30344.073301058314,5727.564927611035,35445.14162053807,1.0663748379655424,1.0171155168481896,0.9096409586336649,0.8815338026330963,0.09746896702007213,0.06517773192866819,0.031000974956057303,0.08847491511417224,0.37445883001525765,0.7667044416751403,0.019850997050803412,0.22115265417074056,0.7999999999999998,1,0.2,0.2
5-Fluorouracil,280286,433998.6666666667,348116.6666666667,332230.6666666667,19834.75149831729,6925.474520445031,4005.3205031973825,15392.967398566572,367958.5,481326,459787.5,426640.5,48440.35004518444,29929.00162050181,15708.377144059154,13205.219138658775,0.7617326410451178,0.9016730171789321,0.7571251212063544,0.7787133820316324,0.1138492789374281,0.057883115827366494,0.027294218274219545,0.043389594636195676,0.20979424580215186,0.2583748509601573,0.05376315106839657,0.008642783839662958,0.2,0.2,0.2,0.2
Gemcitabine,109373.66666666667,175812,173330.33333333334,163958.66666666666,9210.807040283351,4806.4588836273215,12702.394433071795,4909.828951535209,368621.3333333333,463798.8333333333,446245,391960.6666666667,18841.466574199225,13736.095652210153,18113.664554694613,42115.46759881299,0.29671008369926144,0.3790695175674224,0.38841966483284596,0.4183038774298781,0.029229469196310365,0.015278605295989667,0.03253984246761732,0.04665888673310992,2.2390842941860858e-8,1.1296011377746526e-9,3.2996380153042743e-7,3.2344188343261296e-5,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808
Erlotinib,301874.3333333333,450788.3333333333,416588.3333333333,382268.3333333333,33733.390762467585,4680.5683771667445,20888.86867049849,28706.651308247943,374069.75,467922.25,447862.25,416246.75,13873.894367360113,8024.8734309852725,11755.618695613883,25298.83050491992,0.8070001205211951,0.9633829836758848,0.9301706793402064,0.9183695328151711,0.09501675570684404,0.019314116183273625,0.05264523072971253,0.08872305896277166,0.05220349094427935,0.017430601019691436,0.10347448012507228,0.17702159807801676,0.05714285714285714,0.05714285714285714,0.11428571428571428,0.22857142857142856
