drugs,drug_avg_1,drug_avg_2,drug_avg_3,drug_avg_4,drug_sd_1,drug_sd_2,drug_sd_3,drug_sd_4,ctrl_avg_1,ctrl_avg_2,ctrl_avg_3,ctrl_avg_4,ctrl_sd_1,ctrl_sd_2,ctrl_sd_3,ctrl_sd_4,drug_to_ctlr_1,drug_to_ctlr_2,drug_to_ctlr_3,drug_to_ctlr_4,d_t_c_SD_1,d_t_c_SD_2,d_t_c_SD_3,d_t_c_SD_4,ttest_pval_1,ttest_pval_2,ttest_pval_3,ttest_pval_4,wilcox_pval_1,wilcox_pval_2,wilcox_pval_3,wilcox_pval_4
Hydroxyurea,2380,2002.6666666666667,2725.6666666666665,2003,183.09287260841148,150.646385065601,110.38719732529373,133.52527850560733,3343.25,2917,3455.75,2499,174.57830143902,123.58263092630237,315.06017943666996,177.5161964441555,0.7118821506019591,0.6865501085590219,0.7887337529238708,0.8015206082432973,0.06618944222135585,0.05927194784738455,0.07868433200693727,0.07808087882324061,0.0016150759313878396,0.0011764933020317527,0.013355846242205286,0.00840427904840377,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714
Tazemetostat,2553,2034.6666666666667,3164,2227.6666666666665,269.13936910084334,211.61364165226527,233.86106986841568,157.56057036369643,3512.5,2655,3495,2364.5,294.8635277547903,130.10764773832474,43.840620433565945,79.90306627407988,0.7268327402135232,0.7663527934714376,0.9052932761087268,0.9421301191231408,0.0979489967058804,0.08810829832060212,0.06786979860752729,0.07385086536685322,0.061640083773269155,0.027192278290998163,0.12775621957901273,0.29232856512986105,0.2,0.2,0.2,0.4
Pemetrexed,2679,2256.6666666666665,2418.6666666666665,1947.3333333333333,120.65239326262865,225.65534191180438,58.432297005451815,147.5951670392135,3744.5,2684,3764.5,2374.5,33.23401871576773,171.1198410471445,424.9711754931151,94.04520189781083,0.7154493256776606,0.8407848981619472,0.6424934696949572,0.8201024777146065,0.03284096586865578,0.09970930423227266,0.07417283183028585,0.07013344443383877,0.0020759873727122396,0.1021091971552509,0.1360584563684845,0.029395657746531485,0.2,0.2,0.2,0.2
Raloxifene (hydrochloride),3700.6666666666665,2772.6666666666665,3621,2388.6666666666665,275.66706972965295,317.90302504589874,293.54216051531677,318.7166976067199,3877.5,2893.5,3934.5,2521,154.8563850798539,125.15790027001891,184.55486988968892,113.13708498984761,0.954395013969482,0.9582397327342894,0.9203202439954251,0.9475076028031204,0.08066707536923921,0.1174263776447729,0.08619644511894595,0.1333841737525936,0.4275456383412378,0.5985039794605865,0.2395865064164845,0.5625185320193941,0.8,0.8,0.4,0.8
Mifepristone,2636.6666666666665,2098.6666666666665,3118,2098.3333333333335,213.74361588906774,294.5748348609116,339.6409869259009,219.40221815955584,3838.5,2906.5,3842.5,2518,210.0107140124046,106.77312395916867,54.44722215136416,117.37972567696688,0.6869002648604055,0.722059751132519,0.8114508783344176,0.8333333333333334,0.06717953929380041,0.10476403194993587,0.08913533616542223,0.09540089747672154,0.017326552592169135,0.02874589540974827,0.06126651572250903,0.0698866838701825,0.2,0.2,0.2,0.2
Fulvestrant,2549,2085.3333333333335,3070.3333333333335,1852.3333333333333,155.71448230656003,135.69205331681488,299.4567303189784,108.54645702800867,3674,2780.5,3971.5,2471.5,22.627416997969522,71.4177848998413,127.9863273947651,51.61879502661797,0.6937942297223735,0.7499850146856082,0.7730916110621512,0.7494773754130419,0.04259766966827023,0.0524657235706423,0.07941077515309942,0.04662539286420468,0.005182891462338768,0.005113440063921649,0.021819958290901657,0.0037592235028272576,0.2,0.2,0.2,0.2
Enzalutamide,3752.6666666666665,2839.6666666666665,3796.3333333333335,2544.6666666666665,348.35374740819617,129.26458653990787,120.50034578097,86.37900979597609,3649.5,2848,3746.5,2626.5,12.020815280171307,166.87720036002523,446.1843789287115,167.58430714121175,1.028268712609033,0.9970739700374531,1.013301303438765,0.968843200710705,0.09551252894212402,0.07398183622253439,0.12489038379566447,0.07002110799326766,0.65913194614894,0.9583171644118549,0.9008134553465554,0.6144210391735034,0.8,0.8,1,0.8
Rucaparib,3211.3333333333335,2710.3333333333335,2234.6666666666665,1889.3333333333333,132.719001402713,104.00641005886769,96.6247035355521,59.67690787342566,3571,2867.5,3518,2751,98.99494936611666,139.30003589374985,123.03657992645927,8.48528137423857,0.8992812470829833,0.9451903516419646,0.6352093992798938,0.6867805646431601,0.04475254130176565,0.058513901707117615,0.035325588158367234,0.02179598890449362,0.044710104649976296,0.3213245693073123,0.008772453817994947,0.0012146332786605776,0.2,0.4,0.2,0.2
5-Fluorouracil,2441,1986.3333333333333,2290,1618.6666666666667,148.09118812407442,25.92939130279254,98.97474425326898,3.5118845842842465,3744,2787,3639,2682,343.6538956566621,25.45584412271571,48.08326112068523,106.06601717798213,0.6519764957264957,0.7127137902164813,0.6292937620225336,0.6035297042008452,0.07173416998619589,0.011354990607932712,0.028440985654073346,0.023903897353940332,0.08759211937611915,3.554224490467052e-4,3.023814197804788e-4,0.044683655919010516,0.2,0.2,0.2,0.2
Gemcitabine,2177.6666666666665,2269,2261.3333333333335,1984.3333333333333,164.38471137345266,64.4437739428721,103.45208230544871,75.52703710151307,3333.8333333333335,2780.5,3528.6666666666665,2539.6666666666665,537.871515016985,385.5140723760937,404.627071099632,245.80615668991422,0.6532020196970454,0.8160402805250854,0.6408464009068582,0.7813361333508334,0.1163505549689749,0.11549280123057541,0.07911735890583613,0.0812603522558615,0.0023491302702109964,0.02177607777284668,3.2566437497296e-4,0.001805609148012131,0.047619047619047616,0.16666666666666666,0.023809523809523808,0.023809523809523808
