plate,drugs,drug_avg,drug_sd,ctrl_count,ctrl_avg,ctrl_sd,ttest_pval,wilcox_pval,ttest_color,wilcox_color,drug_to_ctlr,d_t_c_SD
1,Hydroxyurea,553085.4375,21035.035323909608,4,794601.484375,30652.2249972106,6.19774540967602e-5,0.05714285714285714,orange,gray,0.6960538689844428,0.037706092697496224
1,Tazemetostat,585418.7916666666,51695.23716086899,2,832417.5625,72573.46254534306,0.07016056304957172,0.2,gray,gray,0.7032753969155554,0.08727068345240896
1,Pemetrexed,724733.3125,37036.53759090685,2,895549.1875,16708.137744309282,0.006911087377869068,0.2,orange,gray,0.8092613143038556,0.0440260794062654
1,Raloxifene (hydrochloride),908483.6875,63736.973635518996,2,943844.84375,51592.23432814965,0.54921661525734,0.8,gray,gray,0.9625349902749839,0.08560605125275188
1,Mifepristone,639012.5416666666,97748.18677610817,2,975887.25,6277.428838331224,0.026324554964677237,0.2,orange,gray,0.6548016091681356,0.10025192417768634
1,Fulvestrant,604120.875,39715.872427774,2,937699.71875,47727.895768965165,0.016217729227773505,0.2,orange,gray,0.644258351495853,0.05356517960500062
1,Enzalutamide,903487.7916666666,80358.15435066831,2,901869.5,2943.6855300795974,0.975356518184907,0.8,gray,gray,1.0017943745371882,0.08916173177934099
1,Rucaparib,830889.2916666666,20473.23655470086,2,899318,664.6803743153547,0.028402542902688895,0.2,orange,gray,0.9239104428763425,0.022775530659772524
1,5-Fluorouracil,574754.5416666666,52244.46299027225,2,937833.96875,55134.48574850366,0.014316737272635117,0.2,orange,gray,0.6128531923755471,0.0663432981671439
1,Gemcitabine,393282.1875,69729.00577262009,6,786370.2395833334,126201.04765317308,6.282291599535411e-4,0.023809523809523808,orange,orange,0.5001234376677133,0.11960268054502358
1,Erlotinib,649405.2708333334,81567.58762418701,4,896410.375,103875.95887187797,0.017168772930959166,0.05714285714285714,orange,gray,0.7244508641852047,0.12380354249433095
1,Saracatinib,914085.8541666666,9547.795993696114,4,952149.5625,69116.55784784406,0.35284069024632486,0.8571428571428571,gray,gray,0.9600233935586844,0.0704058747058155
1,Ipatasertib,1114662.1666666667,48720.826626738475,4,1008492.328125,108498.96345872694,0.15140963700400187,0.22857142857142856,gray,gray,1.105275801888408,0.128350463359172
1,Vorinostat,693172.625,61008.60029066214,4,1041141.21875,88216.19300513375,0.001637774718229967,0.05714285714285714,orange,gray,0.6657815601924079,0.08133881026517661
1,Buparlisib,595554.625,34056.31441353561,4,997115.046875,74104.06848282155,4.1205288853931064e-4,0.05714285714285714,orange,gray,0.5972777432920032,0.056008184026920656
1,Everolimus,995733.25,26396.01493959659,4,997915.65625,113820.91312293767,0.9725097632187555,1,gray,gray,0.9978130353639293,0.1168426255335272
1,Topotecan (Hydrochloride),483812.0729166667,26479.575013597107,4,946525.5,120424.66683405751,0.0032926104045825303,0.05714285714285714,orange,gray,0.511145312954238,0.07079407151085654
1,Bortezomib,573989.6666666666,178416.17282315154,4,876199.234375,87134.27887880948,0.08188050293575588,0.11428571428571428,gray,gray,0.6550903540518362,0.21379238236462364
1,FRAX597,828013.7708333334,44932.790021786175,6,772802.7395833334,153875.64015992152,0.44581278597006935,0.9047619047619047,gray,gray,1.0714425925557247,0.2211200314870399
1,Ganetespib,497050.1770833333,49777.2006741777,4,952597.6875,64539.48096195492,1.3857408921237415e-4,0.05714285714285714,orange,gray,0.5217839425873405,0.06308898391493553
1,Afatinib,529781.5208333334,38098.943022285595,4,967687.609375,63719.027435810414,1.0990072691466971e-4,0.05714285714285714,orange,gray,0.5474716382650627,0.053381920770995885
1,Volasertib,597127.1666666666,62838.25079129045,4,1009428.703125,116332.36078938527,0.0022309053810128515,0.05714285714285714,orange,gray,0.5915496209074242,0.09231934233113788
1,PF-573228,1095119.3333333333,23581.039001286783,4,1068001.8125,65552.68003170077,0.4879388474684783,0.4,gray,gray,1.0253908940190428,0.066697889351162
1,ART558,1000935.4583333334,52926.59651422362,4,1066572.0625,26136.97866798351,0.1514920920035723,0.05714285714285714,gray,gray,0.9384602255446133,0.05469311326288459
1,Mirin,482367.9791666667,252210.81252832245,4,1084394.484375,36971.96323575724,0.05173903188421329,0.05714285714285714,gray,gray,0.4448270312299528,0.23307611376630755
1,Ferrostatin-1,330737.84375,16701.50758799678,4,855828.265625,328960.0760582521,0.04935705415320768,0.05714285714285714,orange,gray,0.38645351764406444,0.1498199777604213
1,Barasertib,763488.1875,25116.997484195712,4,760186.4375,267577.9526906306,0.9819336789125387,0.8571428571428571,gray,gray,1.0043433424185497,0.3550593811095449
1,Infigratinib,856848.8333333334,47722.38376440926,6,800814.53125,126840.75164172243,0.37188038015879477,0.5476190476190476,gray,gray,1.0699716350000152,0.17964452838792147
1,Prexasertib,596686.375,33269.83783674928,4,866507.859375,176640.3135632252,0.05213443846865995,0.11428571428571428,gray,gray,0.6886104592639027,0.14553159897004106
1,Silmitasertib,594526.0833333334,29021.523758260904,4,864644.59375,180887.41497946845,0.055949887649894156,0.11428571428571428,gray,gray,0.6875959066081113,0.14771205785898994
1,Olaparib,593851.7291666666,36408.91634958808,4,981155.875,68171.64346960072,2.815533501220832e-4,0.05714285714285714,orange,gray,0.6052572728738608,0.05608514937037703
1,T0070907,946443.5416666666,71792.87917771722,4,1009852.71875,44127.956696575515,0.26632412270038514,0.22857142857142856,gray,gray,0.9372094802479499,0.08204470220822864
1,Dabrafenib,859930.625,38172.23686525162,4,1003452.84375,88696.44690988924,0.04081887202498071,0.05714285714285714,orange,gray,0.8569716358432513,0.08476431081542142
1,Selumetinib,684730.9375,114967.52858665884,4,1015717.625,80855.4797633916,0.017925738033709573,0.05714285714285714,orange,gray,0.6741351342603709,0.12526556135531275
1,Y-27632,513079.1458333333,74186.32515888897,4,771109.78125,309526.6310222357,0.19461095915923488,0.4,gray,gray,0.6653775614175343,0.2838844436112264
1,IWR-1,881223.125,23065.70321005234,4,742413.65625,281713.8720347726,0.39774620420842377,1,gray,gray,1.1869705218666633,0.45147424538205627
1,Apoptozole,513742.8125,33294.594275889496,5,813634.4,96347.6861401849,0.0011230404260781212,0.03571428571428571,orange,orange,0.6314172710740844,0.08523552392074067
1,Gefitinib,591762.4375,11807.004929377465,4,790783.046875,150783.92609219663,0.07707678779667196,0.05714285714285714,gray,gray,0.7483246382664809,0.14346714152569093
1,Paclitaxel,509478.6666666667,17233.488177725652,4,779683.8125,169891.01298843615,0.049051331070255014,0.05714285714285714,orange,gray,0.6534426629085194,0.14408880715142092
1,SGI-1027,825181.0625,50130.602414585235,4,897386.890625,151431.7980467367,0.4256116150221876,0.6285714285714286,gray,gray,0.9195376833790039,0.16491904694099727
1,PFK-015,616739.125,7636.291948495438,4,935570.78125,75118.49513023747,0.003159090371936851,0.05714285714285714,orange,gray,0.6592116143002943,0.053554813730101215
1,Nedisertib,587603.3958333334,13076.391018611159,4,902713.1875,44162.40410443995,2.9286764820703274e-4,0.05714285714285714,orange,gray,0.6509303331002168,0.03498457299643757
1,Lapatinib,812255.3333333334,18298.018363649608,4,911274.8125,66385.55797257961,0.053162314363919966,0.05714285714285714,gray,gray,0.8913396070994044,0.06796706990806312
1,Dinaciclib,436617.4583333333,25962.527599895308,4,854608,148151.72612089798,0.009456488884996733,0.05714285714285714,orange,gray,0.510897930201137,0.09363277276805852
1,TAK-580,551443.8125,25263.485752276323,4,780516.53125,133568.7431375899,0.03850389648648779,0.05714285714285714,orange,gray,0.7065113811450743,0.12516199316289237
1,KU-55933,700221.7916666666,10888.614362520011,3,800441.8333333334,20238.782303060554,0.004448600930349565,0.1,orange,gray,0.8747940980929073,0.025967043429211894
1,GSK2606414,482696.8958333333,15261.613829282724,4,775715.734375,47742.261161915434,4.4950232314026894e-4,0.05714285714285714,orange,gray,0.6222600295999485,0.04305562249317003
1,Tipifarnib,504619.9583333333,35616.34947443507,4,755542.546875,46336.370171696406,4.8021180213268414e-4,0.05714285714285714,orange,gray,0.6678908559425174,0.062449796769610065
1,Axitinib,774668.1875,12333.690396348076,4,764110,58918.78055590859,0.7483642192109545,1,gray,gray,1.0138176276975828,0.0798222019348446
1,Laduviglusib,775403.8333333334,24394.67747542911,4,793515.515625,64723.86835008313,0.6347026122044341,0.4,gray,gray,0.9771753898505674,0.08542759101792376
1,Berzosertib,572861.84375,52885.7511073491,4,842251.265625,50077.51175205312,0.0018506347787610423,0.05714285714285714,orange,gray,0.6801555154979825,0.07468655935654218
1,Ceritinib,525169,29748.29605027036,4,847749.0625,42956.181117633554,7.938795572014948e-5,0.05714285714285714,orange,gray,0.6194863825048464,0.04708183752798851
1,Navitoclax,809508.2291666666,57115.58054111135,4,845831.8125,30989.216679833768,0.39485952257402873,0.4,gray,gray,0.9570557848539973,0.07608711394705443
1,Ro-3306,830449.4583333334,60455.084424349356,4,846277,45576.66115050119,0.7253287911038142,0.8571428571428571,gray,gray,0.9812974455566361,0.0888600830190676
1,Empesertib,520601.2708333333,28575.788245162315,4,777947.53125,82419.01590950286,0.004799402397088859,0.05714285714285714,orange,gray,0.6691984355253822,0.07984824252954884
1,SGX-523,474414.7916666667,41277.53281419431,2,740467.9375,74910.18529212166,0.08141175495292154,0.2,gray,gray,0.6406959270490583,0.08549108303745204
1,Alisertib,663087.125,44919.838871811764,4,726649.359375,46141.15899514271,0.1326410453026677,0.22857142857142856,gray,gray,0.9125269518854724,0.08472872001961025
1,Onvansertib,592394.9583333334,28373.259139971186,4,741314.53125,49187.416200916014,0.0043770039185366694,0.05714285714285714,orange,gray,0.7991141861666203,0.06539346781289893
1,AZD1390,528351.0520833334,43332.15527543926,4,784338.640625,43109.516372287675,9.638372864073088e-4,0.05714285714285714,orange,gray,0.6736261924598245,0.0665057276206388
1,Camptothecin,371404.8541666667,11090.643782314211,4,810215.4375,27042.669656363978,5.318204355595538e-6,0.05714285714285714,orange,gray,0.4584025889616139,0.020529744460933773
1,Tomivosertib,770521.7708333334,19535.530774312596,4,842435.90625,54773.529590518316,0.07319948767843124,0.05714285714285714,gray,gray,0.9146354816038367,0.06382918717414361
1,FRAX1036,784538.3958333334,5350.9416593649275,4,860164.890625,49815.46308981318,0.054904737628400764,0.05714285714285714,gray,gray,0.9120790727267233,0.0531870647467717
1,Trametinib,523705.4583333333,48769.09754386982,4,850898.265625,29980.940504377413,0.001647506185412909,0.05714285714285714,orange,gray,0.6154736464865894,0.06128024377166649
1,Lonafarnib,523808.6041666667,45735.38567719027,4,812051.6875,46134.446548833635,7.245142848076962e-4,0.05714285714285714,orange,gray,0.6450434279365581,0.06719363514878049
1,Niclosamide,801360.4583333334,23380.612246826608,4,766646.875,20977.205873653074,0.10978022696310348,0.11428571428571428,gray,gray,1.0452797558632627,0.04181043245105641
1,BML-277,498496.2291666667,37555.74103355474,2,697606.5625,14295.04746516254,0.005275480353673243,0.2,orange,gray,0.7145807622282319,0.05579099552849537
1,Ceralasertib,703740.5416666666,54429.27994731635,4,697670.046875,16510.326586429474,0.8671298610991294,0.6285714285714286,gray,gray,1.0087010970570653,0.0815860374116498
1,ZN-c3,621506.3541666666,48122.48034708112,4,738754.28125,57036.69497077125,0.033309854313821455,0.05714285714285714,orange,gray,0.8412896817532544,0.0919898356530932
1,(+)-JQ-1,580780.9583333334,59914.25559498592,4,771911.125,32448.496226431987,0.01688295749154982,0.05714285714285714,orange,gray,0.7523935586928266,0.08381466922460785
1,Adavosertib,423184.7291666667,5564.913131791728,4,775194.609375,49986.57480791235,6.695712470281076e-4,0.05714285714285714,orange,gray,0.5459077295543361,0.035926088238381684
1,Adapalene,748211.4166666666,35656.38705239509,4,821166.5,80439.57812818329,0.17621608889757093,0.22857142857142856,gray,gray,0.9111567710892573,0.09925653804703027
1,LB-100,743377.0208333334,10275.415765298238,4,849108,61025.262301280636,0.03801061337954629,0.05714285714285714,orange,gray,0.8754799399291178,0.06407376663031698
1,Palbociclib (monohydrochloride),507523.7083333333,25307.311123103846,4,810997.09375,88921.8743452747,0.004091650883101462,0.05714285714285714,orange,gray,0.6258021295570559,0.07537864007710504
1,Copanlisib (dihydrochloride),429914.7083333333,13825.723668839993,4,732698.90625,111351.56054860963,0.011317694312986615,0.05714285714285714,orange,gray,0.5867549475864027,0.091146425140002
1,Oxaliplatin,756842.8541666666,9673.96847422838,4,722549.1875,75053.96831079565,0.4301212308898081,0.8571428571428572,gray,gray,1.0474620513868707,0.10962458311388337
2,Hydroxyurea,506483.4479166667,32911.59042497197,4,669168.0625,15189.359069430946,0.0064442410152818685,0.05714285714285714,orange,gray,0.7568852673937448,0.052097216569060946
2,Tazemetostat,500518.3333333333,59815.050134592726,2,635899.5625,20403.212617747235,0.04576700142109496,0.2,orange,gray,0.7871028112766366,0.09739493217395268
2,Pemetrexed,568200.6666666666,34946.88935796972,2,633968.4375,17672.18945210949,0.07061317176795663,0.2,gray,gray,0.8962601811965862,0.060521427059787754
2,Raloxifene (hydrochloride),617611.0208333334,52994.60916445643,2,657028.09375,14939.089160302014,0.3280559674854602,0.8,gray,gray,0.9400070205648392,0.08344183245451121
2,Mifepristone,516228.1145833333,67770.15611935487,2,664574.53125,4266.8149002011005,0.06224052173582183,0.2,gray,gray,0.7767798648743859,0.10209713308291717
