drugs,drug_avg_1,drug_avg_2,drug_avg_3,drug_avg_4,drug_sd_1,drug_sd_2,drug_sd_3,drug_sd_4,ctrl_avg_1,ctrl_avg_2,ctrl_avg_3,ctrl_avg_4,ctrl_sd_1,ctrl_sd_2,ctrl_sd_3,ctrl_sd_4,drug_to_ctlr_1,drug_to_ctlr_2,drug_to_ctlr_3,drug_to_ctlr_4,d_t_c_SD_1,d_t_c_SD_2,d_t_c_SD_3,d_t_c_SD_4,ttest_pval_1,ttest_pval_2,ttest_pval_3,ttest_pval_4,wilcox_pval_1,wilcox_pval_2,wilcox_pval_3,wilcox_pval_4
Hydroxyurea,553085.4375,506483.4479166667,652442.3541666666,503651.71875,21035.035323909608,32911.59042497197,42352.72514302196,32793.5298114898,794601.484375,669168.0625,803209.09375,593750.5,30652.2249972106,15189.359069430946,70784.39032350319,33675.85580045783,0.6960538689844428,0.7568852673937448,0.8122945310797742,0.8482548119959478,0.037706092697496224,0.052097216569060946,0.08890899663788566,0.07324693372426926,6.19774540967602e-5,0.0064442410152818685,0.017898345618152102,0.01924627114326549,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714
Tazemetostat,585418.7916666666,500518.3333333333,725809.5625,580142.625,51695.23716086899,59815.050134592726,45586.79950226134,39982.085806685034,832417.5625,635899.5625,818686.5625,574772.03125,72573.46254534306,20403.212617747235,11192.439686011268,66.07028986711803,0.7032753969155554,0.7871028112766366,0.8865536528211919,1.0093438675822832,0.08727068345240896,0.09739493217395268,0.05698666863583299,0.06956173795569282,0.07016056304957172,0.04576700142109496,0.062132686440846095,0.8376683832188774,0.2,0.2,0.2,0.7999999999999998
Pemetrexed,724733.3125,568200.6666666666,627431.6041666666,507876.9375,37036.53759090685,34946.88935796972,32014.517152765864,31977.90046875574,895549.1875,633968.4375,888944.21875,593562.21875,16708.137744309282,17672.18945210949,88166.89064328557,26507.267712166282,0.8092613143038556,0.8962601811965862,0.7058166203599787,0.8556422923439313,0.0440260794062654,0.060521427059787754,0.07872468225013671,0.0660497190104197,0.006911087377869068,0.07061317176795663,0.12541781166631677,0.05663006176670052,0.2,0.2,0.2,0.2
Raloxifene (hydrochloride),908483.6875,617611.0208333334,846799.5833333334,574319.5520833334,63736.973635518996,52994.60916445643,54379.16151102302,95599.00724015423,943844.84375,657028.09375,934276.78125,627169.375,51592.23432814965,14939.089160302014,24056.9659386596,21020.428449375442,0.9625349902749839,0.9400070205648392,0.9063690764104959,0.9157327748717535,0.08560605125275188,0.08344183245451121,0.06270924197951655,0.1554885866362612,0.54921661525734,0.3280559674854602,0.09604115285051522,0.4424142216627472,0.8,0.8,0.2,0.8
Mifepristone,639012.5416666666,516228.1145833333,723230.8541666666,532693.0729166666,97748.18677610817,67770.15611935487,69547.71135068708,32451.94170788019,975887.25,664574.53125,917584.15625,653761.40625,6277.428838331224,4266.8149002011005,450.02927205141333,16586.382795423724,0.6548016091681356,0.7767798648743859,0.7881902158406701,0.8148126638007192,0.10025192417768634,0.10209713308291717,0.07579535393817745,0.05377135559230029,0.026324554964677237,0.06224052173582183,0.040124050660294314,0.012348144963049403,0.2,0.2,0.2,0.2
Fulvestrant,604120.875,505737.0833333333,718950.1666666666,482777.65625,39715.872427774,22931.867221552784,70743.03995980952,34561.97573405782,937699.71875,648238.0625,942377.90625,656200.46875,47727.895768965165,18836.440767333144,34613.62824003651,13137.027528448098,0.644258351495853,0.7801718420897775,0.7629106772330664,0.7357167195714533,0.05356517960500062,0.042016371069882666,0.08012816493990718,0.05469052708500974,0.016217729227773505,0.007163860868337946,0.01918824996217319,0.006101831152840081,0.2,0.2,0.2,0.2
Enzalutamide,903487.7916666666,648580.0833333334,885217.7291666666,598791.1666666666,80358.15435066831,24392.966810410784,33562.774265658554,24004.732384529194,901869.5,656925.9375,903664.875,652234.5625,2943.6855300795974,31122.951420535297,89362.12207435997,7528.389122597875,1.0017943745371882,0.98729559347522855,0.9795862975936368,0.9180610797003979,0.08916173177934099,0.05972154348094488,0.10374588215324568,0.038298979187780316,0.975356518184907,0.7820920873246197,0.8207613974928094,0.048514004186220844,0.8,0.8,1,0.2
Rucaparib,830889.2916666666,632427.5208333334,567859.1041666666,501021.4166666667,20473.23655470086,18913.9852509093,29453.803599963256,20707.68269957936,899318,661919.40625,853045.4375,653232.96875,664.6803743153547,24061.12019099907,17775.42704216273,6116.429463089812,0.9239104428763425,0.9554448998802615,0.6656844749452946,0.7669873393337768,0.022775530659772524,0.04497484495415206,0.03720998393698024,0.032503596876421174,0.028402542902688895,0.2922328229166477,8.896755809055923e-4,0.0029868555399286756,0.2,0.4,0.2,0.2
5-Fluorouracil,574754.5416666666,532260.9895833334,609305.6041666666,429645.1770833333,52244.46299027225,46142.79113159918,25884.077434781015,7706.915173183992,937833.96875,644933.375,876934.1875,627522.59375,55134.48574850366,39.244426355853385,16008.367195977546,30243.53155560835,0.6128531923755471,0.8252960851705549,0.694813376935047,0.6846688571256456,0.0663432981671439,0.07154661905733826,0.032126391226800194,0.03520913954197746,0.014316737272635117,0.05161487029299782,7.622857265086749e-4,0.05880882559806614,0.2,0.2,0.2,0.2
Gemcitabine,393282.1875,408140.53125,428698.3333333333,393158.6041666667,69729.00577262009,8368.273680199443,18930.80643722308,4717.324721042958,786370.2395833334,643689.7552083334,822298.71875,602889.90625,126201.04765317308,70808.92573063601,92735.99530898478,50987.59426682494,0.5001234376677133,0.6340640470779332,0.5213413611844245,0.6521233812191837,0.11960268054502358,0.07095126619831167,0.06314161843964841,0.055703647915042724,6.282291599535411e-4,3.7501621314486427e-4,7.43015616657547e-5,1.4208230218700402e-4,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808
Erlotinib,649405.2708333334,550615.6875,760360.6458333334,532101.4166666666,81567.58762418701,14303.727117133012,71749.87995899511,8511.660794337648,896410.375,652289.328125,850761.0625,612606.359375,103875.95887187797,29209.259760675235,40790.666643119526,54906.390131399035,0.7244508641852047,0.8441280023432853,0.8937417088635663,0.8685861785854345,0.12380354249433095,0.04369986268518247,0.09459822395675116,0.0790793923485859,0.017168772930959166,0.002479326031412109,0.14605970612610708,0.05868367085391703,0.05714285714285714,0.05714285714285714,0.22857142857142856,0.05714285714285714
Saracatinib,914085.8541666666,614195.4375,759352.4791666666,574577.4166666666,9547.795993696114,53128.60916537959,26318.634386792888,31400.095036824565,952149.5625,654241.625,899992.375,624563.875,69116.55784784406,29175.172591338254,65295.62506582642,48589.96567115971,0.9600233935586844,0.9387899119075463,0.843732125137912,0.9199658188150357,0.0704058747058155,0.09136245539113982,0.06784026231084826,0.08746490455783121,0.35284069024632486,0.3258039157396896,0.016285424232617522,0.16050053255109875,0.8571428571428571,0.4,0.05714285714285714,0.22857142857142856
Ipatasertib,1114662.1666666667,545124.4583333334,1016142.1458333334,660481.1666666666,48720.826626738475,121326.99498498774,58200.64477904532,22811.848779603322,1008492.328125,650977.09375,964770.484375,632090.59375,108498.96345872694,14973.318764703672,48245.19259317491,19325.73807057977,1.105275801888408,0.8373942241087241,1.0532475467381375,1.0449153542188219,0.128350463359172,0.18736938113706972,0.08008312327100041,0.04819855996945957,0.15140963700400187,0.26913194609574725,0.28368363672490604,0.15780623868193785,0.22857142857142856,0.4,0.22857142857142856,0.22857142857142856
Vorinostat,693172.625,318793.9479166667,434159.3958333333,464750.8854166667,61008.60029066214,152063.7225636706,45147.52978909219,8895.171905854351,1041141.21875,657541.90625,968856.796875,675575.96875,88216.19300513375,16893.933480513366,59980.28311319911,44469.32591131229,0.6657815601924079,0.48482681466610583,0.4481151365544352,0.6879328260840638,0.08133881026517661,0.23159611272855732,0.05423159728893077,0.04715811871144507,0.001637774718229967,0.05982047438122805,4.168231390785981e-5,0.0017746672538181798,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714
Buparlisib,595554.625,612452.6041666666,519545.4479166667,448569.1354166667,34056.31441353561,64191.989692857045,18496.323223004532,43993.84963555911,997115.046875,672699.71875,962805.078125,690061.59375,74104.06848282155,38308.83030935,37102.193081813144,42122.12747224148,0.5972777432920032,0.910439810060745,0.5396164392157626,0.6500421693939067,0.056008184026920656,0.10860017947009287,0.02831014964507938,0.07509298795313597,4.1205288853931064e-4,0.24257838216662927,1.0869242272411929e-5,0.001354669602844997,0.05714285714285714,0.4,0.05714285714285714,0.05714285714285714
Everolimus,995733.25,845047.9583333334,1000436.25,660109.4375,26396.01493959659,103927.90271177278,52021.239746789666,15842.863883997583,997915.65625,700814.890625,960428.015625,672606.265625,113820.91312293767,55913.86641437544,96359.80511013373,26566.318074193226,0.9978130353639293,1.2058076528306978,1.0416566715298956,0.9814202918353909,0.1168426255335272,0.17676792782115075,0.11771168235911358,0.04535898961142809,0.9725097632187555,0.1214538862378523,0.5142669417339887,0.4743061021398201,1,0.22857142857142856,0.8571428571428572,0.6285714285714286
Topotecan (Hydrochloride),483812.0729166667,420717.90625,400408.2395833333,442920.25,26479.575013597107,41016.38426459145,4912.51043517631,72298.57348099421,946525.5,702951.09375,908139.453125,673159.484375,120424.66683405751,51878.15081491687,112567.31339183763,26028.317404458296,0.511145312954238,0.5985023851454815,0.4409105211820585,0.6579722343379484,0.07079407151085654,0.07318167383041287,0.05491957923632804,0.11037393815193783,0.0032926104045825303,5.113613307394198e-4,0.0028295331613124616,0.023013646662367455,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714
Bortezomib,573989.6666666666,441015.8958333333,456748.0729166667,390901.0104166667,178416.17282315154,13522.815092780373,77211.59641529484,10326.014385908134,876199.234375,673018.640625,891447.5625,654697.765625,87134.27887880948,37629.96527309189,49393.692722772474,41498.891753098076,0.6550903540518362,0.6552803580949602,0.5123667303949431,0.59707094012074,0.21379238236462364,0.04178607318205836,0.09114766779982689,0.041001122230401414,0.08188050293575588,3.649359563116553e-4,0.0025903464577929623,0.00055646201194994025,0.11428571428571428,0.05714285714285714,0.05714285714285714,0.05714285714285714
FRAX597,828013.7708333334,647371.4791666666,906171.5833333334,635516.1458333334,44932.790021786175,37281.34084698347,19798.109150198587,32738.154718558926,772802.7395833334,613901.5572916666,786302.6041666666,601493.0208333334,153875.64015992152,83101.3453836743,116449.20050029237,51798.79342027529,1.0714425925557247,1.0545200146138387,1.1524463718312434,1.056564455150058,0.2211200314870399,0.15512702513918522,0.17252131480720134,0.1060248813746364,0.44581278597006935,0.43232265688838845,0.05297419303302067,0.2739061061393205,0.9047619047619047,0.9047619047619049,0.09523809523809523,0.38095238095238093
Ganetespib,497050.1770833333,400641.78125,449423.5208333333,459710.2083333333,49777.2006741777,8706.320054960883,24784.198369341553,31700.074895483005,952597.6875,689571.171875,886457.703125,633648.046875,64539.48096195492,31037.313258867973,16399.26066433832,46029.96729864141,0.5217839425873405,0.5810013492307436,0.5069881160138779,0.7254977121771521,0.06308898391493553,0.029039005166138845,0.029489950243628466,0.07266574154816,1.3857408921237415e-4,1.235296709525671e-4,5.942309821974402e-5,0.0019717454286500022,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714
Afatinib,529781.5208333334,399889.5729166667,649030.625,494241.7916666667,38098.943022285595,24423.9693527221,36718.93008461159,100110.35240357758,967687.609375,683212.171875,914623.984375,631433.015625,63719.027435810414,26576.2614425241,44820.202010289555,52086.497931310114,0.5474716382650627,0.5853080336950294,0.7096147007816651,0.7827303600485005,0.053381920770995885,0.042383353957361605,0.053112767351484784,0.1711879256162915,1.0990072691466971e-4,4.425680765385149e-5,3.880976427858253e-4,0.12494075618771483,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.11428571428571428
Volasertib,597127.1666666666,431161.2708333333,660621.2708333334,536510.5416666666,62838.25079129045,10520.84392637668,53536.91525277257,10242.440376232467,1009428.703125,650856.671875,978109.5625,608485.015625,116332.36078938527,14847.82952058417,38142.54168016228,37331.135874085245,0.5915496209074242,0.6624519490462254,0.6754062082215185,0.8817152894317284,0.09231934233113788,0.022128662676309228,0.06074236040980625,0.05665252246319758,0.0022309053810128515,2.951079273943602e-6,0.001738420206318769,0.025823058923702524,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.05714285714285714
PF-573228,1095119.3333333333,726525.75,1145188.4583333333,743444.1666666666,23581.039001286783,14103.517714452484,31633.166729452387,46705.80030712917,1068001.8125,668200.3125,1004935.875,657752.828125,65552.68003170077,40900.41056452067,22619.837954976047,61353.44391760299,1.0253908940190428,1.0872873544188892,1.1395637142850863,1.1302789359126584,0.066697889351162,0.06981939872583026,0.04060518900105385,0.12711223198901858,0.4879388474684783,0.05881612987280468,0.00452790432409287,0.09027653331809632,0.4,0.11428571428571428,0.05714285714285714,0.11428571428571428
ART558,1000935.4583333334,674427.7083333334,1038290.9791666666,704900.4583333334,52926.59651422362,8130.882845605287,2952.5554016376364,36678.8735421047,1066572.0625,699863.1875,1005985.390625,684079.203125,26136.97866798351,30161.38427087551,39548.018866750215,48014.880727754135,0.9384602255446133,0.9636564979828052,1.0321133774334394,1.0304369071786104,0.05469311326288459,0.0431242648012163,0.04068119308770113,0.09003244267491861,0.1514920920035723,0.19129985253902626,0.2007456287600953,0.5442878609887529,0.05714285714285714,0.6285714285714286,0.4,0.6285714285714286
Mirin,482367.9791666667,572457.03125,753729.875,639355.0625,252210.81252832245,50248.244124066245,6757.646173964718,23352.70576709541,1084394.484375,717629.390625,1005599.296875,665071.53125,36971.96323575724,35931.4399077204,70502.17105558138,34873.602996978756,0.4448270312299528,0.7977056663627363,0.7495330171195332,0.9613327776913471,0.23307611376630755,0.08061040822372419,0.05297740005905934,0.061432292292665724,0.05173903188421329,0.01752279429164093,0.005302001772184867,0.2960705822807272,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.4
